50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,2ac100fd-4b53-4c48-be38-497bec79c6d5,1,,,,3754311,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Norwich City,56,,0,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 23635, 'name': 'John Ruddy'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4808, 'name': 'Andre Wisdom'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 9930, 'name': 'Ryan Bennett'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 24}, {'player': {'id': 31296, 'name': 'Sébastien Aymar Bassong Nguena'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 3576, 'name': 'Martin Olsson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 9463, 'name': 'Alexander Banor Tettey'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 27}, {'player': {'id': 9452, 'name': ""Gary O''Neil""}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 28}, {'player': {'id': 9578, 'name': 'Jonathan Howson'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 8}, {'player': {'id': 10967, 'name': 'Robert Brady'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 12}, {'player': {'id': 10966, 'name': 'Wes Hoolahan'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 14}, {'player': {'id': 4807, 'name': 'Cameron Jerome'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Norwich City,56,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,8f94b9ee-0f65-420e-ac9f-076d0b265de8,2,,,,3754311,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Norwich City,56,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3262, 'name': 'Łukasz Fabiański'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3340, 'name': 'Kyle Naughton'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 26}, {'player': {'id': 3290, 'name': 'Federico Fernández'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 33}, {'player': {'id': 3644, 'name': 'Ashley Williams'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 9627, 'name': 'Neil Taylor'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 3605, 'name': 'Sung-Yeung Ki'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 3057, 'name': 'Jonjo Shelvey'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 3347, 'name': 'André Ayew Pelé'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 3944, 'name': 'Gylfi Þór Sigurðsson'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 23}, {'player': {'id': 7063, 'name': 'Jefferson Antonio Montero Vite'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 20}, {'player': {'id': 20521, 'name': 'Bafétimbi Gomis'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 18}]}",Swansea City,26,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,ff6c9d1f-1f89-4146-a18e-c273fed1b887,3,,,,3754311,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Norwich City,56,['7ca5a386-a7fb-4bf5-995f-e1612ca7ed59'],0,,,,,,,,,,,,,,,,,Swansea City,26,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,7ca5a386-a7fb-4bf5-995f-e1612ca7ed59,4,,,,3754311,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Norwich City,56,['ff6c9d1f-1f89-4146-a18e-c273fed1b887'],0,,,,,,,,,,,,,,,,,Norwich City,56,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,49b5bc8a-fd13-43af-b453-b4f5a92edda5,1898,,,,3754311,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,79,Swansea City,26,['ea8c30ed-138b-41ae-82bb-f99fd0b92351'],0,,,,,,,,,,,,,,,,,Norwich City,56,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,ea8c30ed-138b-41ae-82bb-f99fd0b92351,1899,,,,3754311,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,79,Swansea City,26,['49b5bc8a-fd13-43af-b453-b4f5a92edda5'],0,,,,,,,,,,,,,,,,,Swansea City,26,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.392431,,,,,,,,,,,,,,fe33a579-d45e-4531-a3b4-b6ca47f4f044,5,,,"[60.0, 40.0]",3754311,0,,,,-1.4968573,,Right Foot,,,"[60.2, 37.3]",,Ground Pass,,2.7073972,,,,Wes Hoolahan,10966.0,,,,,,Kick Off,1,From Kick Off,Jonathan Howson,9578.0,Right Midfield,2,Norwich City,56,['de51fc2c-9140-4e1c-84ab-f0e73b4481fa'],0,,,,,,,,,,,,,,,,,Norwich City,56,00:00:00.103,Pass,
,,,,,,,,,,,,,,,1.391326,,,,,,,,,,,,,,774cdf47-4de9-4b2a-a896-fecf5610aa44,7,,,"[60.0, 37.0]",3754311,0,,,,3.0137227,,Left Foot,,,"[53.0, 37.9]",,Ground Pass,,7.05762,,,,Gary O''Neil,9452.0,,,,,,,1,From Kick Off,Wes Hoolahan,10966.0,Center Attacking Midfield,2,Norwich City,56,['b4cefb3b-d910-4f60-ae0a-275015fad1c5'],0,,,,,,,,,,,,,,,,,Norwich City,56,00:00:00.495,Pass,
,,,,,,,,,,,,,,,3.207295,,,,,,,,,,,,,,ccd37fa5-3cf0-4f4f-bfb6-c9726b80020c,9,,,"[53.0, 37.9]",3754311,0,,,,-0.2937488,,Right Foot,,,"[93.0, 25.8]",,High Pass,,41.79007,,,Incomplete,,,,,,,,,1,From Kick Off,Gary O''Neil,9452.0,Left Defensive Midfield,2,Norwich City,56,['71a39cce-fd8f-4e93-8037-aaa755db5116'],1,,,,,,,,,,,,,,,,,Norwich City,56,00:00:01.887,Pass,
,,,,,,,,,,,,,,,1.514233,,,,,,,,,,,,,,71a39cce-fd8f-4e93-8037-aaa755db5116,10,,,"[27.1, 54.3]",3754311,0,,,,0.050317205,,Head,,,"[41.0, 55.0]",,High Pass,,13.917615,,,Incomplete,Sung-Yeung Ki,3605.0,,,,,,Recovery,1,From Kick Off,Federico Fernández,3290.0,Right Center Back,2,Norwich City,56,"['b4dc5eaa-feca-4e23-90ef-31918a79363e', 'c0ba6d9d-b9d4-441f-abfb-3a249ac12fae', 'ccd37fa5-3cf0-4f4f-bfb6-c9726b80020c']",5,,,,,,,,,,,,,,,,,Swansea City,26,00:00:05.094,Pass,
