50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,cfac1c45-a318-4bab-9a7f-937cdc20c7d4,1,,,3754289,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Watford,23,,0,,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 3522, 'name': 'Heurelho da Silva Gomes'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3991, 'name': 'Allan Romeo Nyom'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 3309, 'name': 'Sebastian Prödl'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 3306, 'name': 'Nathan Aké'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 16}, {'player': {'id': 3725, 'name': 'José Holebas'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 25}, {'player': {'id': 23488, 'name': 'Mario Suárez Mata'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 3626, 'name': 'Ben Watson'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 3302, 'name': 'Nordin Amrabat'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 11}, {'player': {'id': 3721, 'name': 'Etienne Capoue'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 29}, {'player': {'id': 3454, 'name': 'Troy Deeney'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 5458, 'name': 'Odion Jude Ighalo'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 24}]}",Watford,23,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,cc4f9dba-c3a4-4256-ae5e-ef172a37d558,2,,,3754289,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Watford,23,,0,,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 3815, 'name': 'Kasper Schmeichel'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3270, 'name': 'Danny Simpson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 17}, {'player': {'id': 3813, 'name': 'Wes Morgan'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 40123, 'name': 'Robert Huth'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 3812, 'name': 'Christian Fuchs'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 28}, {'player': {'id': 3814, 'name': 'Riyad Mahrez'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 26}, {'player': {'id': 3662, 'name': 'Danny Drinkwater'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 3961, 'name': ""N''Golo Kanté""}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 3307, 'name': 'Marc Albrighton'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 10960, 'name': 'Jamie Vardy'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 3810, 'name': 'Shinji Okazaki'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 20}]}",Leicester City,22,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,102506e9-62fc-4412-b329-48619ae80b71,3,,,3754289,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Watford,23,['593946ec-9f87-4901-ad6d-31f76f81e393'],0,,,,,,,,,,,,,,,,,,,Leicester City,22,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,593946ec-9f87-4901-ad6d-31f76f81e393,4,,,3754289,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Watford,23,['102506e9-62fc-4412-b329-48619ae80b71'],0,,,,,,,,,,,,,,,,,,,Watford,23,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,68afa1b7-0a84-46ae-8552-57ad90a6eb33,1686,,,3754289,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,112,Watford,23,['f39716fb-41e0-4771-8d03-338510a658f3'],0,,,,,,,,,,,,,,,,,,,Leicester City,22,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,f39716fb-41e0-4771-8d03-338510a658f3,1687,,,3754289,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,112,Watford,23,['68afa1b7-0a84-46ae-8552-57ad90a6eb33'],0,,,,,,,,,,,,,,,,,,,Watford,23,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.293475,,,,,,,,,,,,8cc17422-1bcd-4af6-a81f-3c468df0b4db,5,,"[61.0, 40.1]",3754289,0,,,,,1.9195673,,Right Foot,,,,"[60.2, 42.3]",Ground Pass,,2.34094,,,,Odion Jude Ighalo,5458.0,,,,,,Kick Off,1,From Kick Off,Nordin Amrabat,3302.0,Right Midfield,2,Watford,23,['0d614a5d-f0fc-4349-a9c8-306383b01891'],1,,,,,,,,,,,,,,,,,,,Watford,23,00:00:01.073,Pass,
,,,,,,,,,,,,,,,,2.024293,,,,,,,,,,,,989d1433-8d46-4878-aa36-f85840421516,8,,"[61.0, 41.5]",3754289,0,,,,,3.0644732,,Right Foot,,,,"[39.0, 43.2]",Ground Pass,,22.065584,,,,Ben Watson,3626.0,,,,,,,1,From Kick Off,Odion Jude Ighalo,5458.0,Left Center Forward,2,Watford,23,['97cfa4bf-0bee-4a99-8d4c-a72a73741b50'],1,,,,,,,,,,,,,,,,,,,Watford,23,00:00:01.413,Pass,
,,,,,,,,,,,,,,,,2.877578,,,,,,,,,,,,e44bb892-cdb2-4e36-81b5-65c56fe604cf,11,,"[40.8, 43.7]",3754289,0,,,,,-0.8594384,,Right Foot,,,,"[74.5, 4.6]",High Pass,,51.618793,,,,Troy Deeney,3454.0,,,,,,,1,From Kick Off,Ben Watson,3626.0,Left Defensive Midfield,2,Watford,23,['f8dda601-ffcd-434d-bcd8-0e0036b69797'],3,,,,,,,,,,,,,,,,,,,Watford,23,00:00:03.555,Pass,
,,,,,,,,,,,,,,,,0.96457,,,,,,,,,,,,d7445ad5-aacf-4fe6-9f37-f41ce2429b9c,13,,"[74.8, 4.9]",3754289,0,,,,,1.1246908,,Head,,,,"[80.3, 16.4]",Low Pass,,12.747549,,,,Etienne Capoue,3721.0,,,,,,,1,From Kick Off,Troy Deeney,3454.0,Right Center Forward,2,Watford,23,['e6340154-dfe4-48af-ae02-78a2fde84ff7'],6,,,,,,,,,,,,,,,,,,,Watford,23,00:00:06.451,Pass,
