50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_success_in_play,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,672f1a3b-cc2d-4245-bcb6-140c9762a822,1,,,3754261,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal,1,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3461, 'name': 'Petr Čech'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 33}, {'player': {'id': 3511, 'name': 'Héctor Bellerín Moruno'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 24}, {'player': {'id': 3475, 'name': 'Per Mertesacker'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 3394, 'name': 'Laurent Koscielny'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 3498, 'name': 'Ignacio Monreal Eraso'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 3437, 'name': 'Francis Joseph Coquelin'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 34}, {'player': {'id': 3517, 'name': 'Aaron Ramsey'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 3525, 'name': 'Alex Oxlade-Chamberlain'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 15}, {'player': {'id': 3496, 'name': 'Mesut Özil'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 11}, {'player': {'id': 3385, 'name': 'Alexis Alejandro Sánchez Sánchez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 3604, 'name': 'Olivier Giroud'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 12}]}",Arsenal,1,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,bb0322fe-d9e2-45fe-8638-410e43902a7d,2,,,3754261,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal,1,,0,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 3815, 'name': 'Kasper Schmeichel'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3270, 'name': 'Danny Simpson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 17}, {'player': {'id': 3813, 'name': 'Wes Morgan'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 40123, 'name': 'Robert Huth'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 3812, 'name': 'Christian Fuchs'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 28}, {'player': {'id': 3662, 'name': 'Danny Drinkwater'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 3961, 'name': ""N''Golo Kanté""}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 3814, 'name': 'Riyad Mahrez'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 26}, {'player': {'id': 3307, 'name': 'Marc Albrighton'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 3810, 'name': 'Shinji Okazaki'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 20}, {'player': {'id': 10960, 'name': 'Jamie Vardy'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Leicester City,22,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,5d6f685e-2a94-414e-a193-eed9660656fb,3,,,3754261,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal,1,['4c3315b1-ba07-4a35-8018-51eb08bf81b7'],0,,,,,,,,,,,,,,,,Leicester City,22,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,4c3315b1-ba07-4a35-8018-51eb08bf81b7,4,,,3754261,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal,1,['5d6f685e-2a94-414e-a193-eed9660656fb'],0,,,,,,,,,,,,,,,,Arsenal,1,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,3c9c1160-89e0-432b-89d4-8db261c18724,1876,,,3754261,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,100,Leicester City,22,['4c63fac0-4e33-40c4-aa13-44d8361b30c3'],0,,,,,,,,,,,,,,,,Arsenal,1,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,4c63fac0-4e33-40c4-aa13-44d8361b30c3,1877,,,3754261,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,100,Leicester City,22,['3c9c1160-89e0-432b-89d4-8db261c18724'],0,,,,,,,,,,,,,,,,Leicester City,22,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.216738,,,,,,,,,,,,,,,,1f8c9d59-4202-43c3-9f13-8bb0eecc3d69,5,,"[60.0, 40.0]",3754261,0,,,,,1.5458015,,Left Foot,,,"[60.1, 44.0]",,Ground Pass,,4.00125,,,,Mesut Özil,3496.0,,,,,Kick Off,1,From Kick Off,Olivier Giroud,3604.0,Center Forward,2,Arsenal,1,['da7cbb3e-6fe8-4b7c-8cfd-b74ade044111'],1,,,,,,,,,,,,,,,,Arsenal,1,00:00:01.653,Pass,
,,,,,,,,,,,,,,,,,,1.259807,,,,,,,,,,,,,,,,d1b731fa-3495-41d7-ace8-6cd0b3d6f4d7,8,,"[59.4, 42.1]",3754261,0,,,,,-2.4020338,,Other,,,"[48.0, 31.7]",,Ground Pass,,15.431137,,,,Aaron Ramsey,3517.0,,,,,,1,From Kick Off,Mesut Özil,3496.0,Center Attacking Midfield,2,Arsenal,1,['05a37bb0-9498-4ac1-94e6-5e9a6060bdc1'],2,,,,,,,,,,,,,,,,Arsenal,1,00:00:02.052,Pass,
,,,,,,,,,,,,,,,,,,6.151525,,,,,,,,,,,,,,,,83af651d-b19c-4d2f-9708-8a5231932745,12,,"[47.5, 31.5]",3754261,0,,,,,0.46602574,,Right Foot,,,"[114.7, 65.3]",,High Pass,,75.22154,,Incomplete,,,,,,,,,1,From Kick Off,Aaron Ramsey,3517.0,Left Defensive Midfield,2,Arsenal,1,"['0b3aa773-77e0-4e8e-a1c8-fb53dbd5118c', 'ee0ade6d-9333-4f08-a17a-b2f1e0d986d0']",3,,,,,,,,,,,,,,,,Arsenal,1,00:00:03.611,Pass,True
,,,,,,,,,,,,,,,,,,6.926325,,,,,,,,,,,,,,,,2b38f01d-6b0e-47af-a9fc-9861d2f20590,16,,"[15.3, 26.9]",3754261,0,,,,,-0.29501894,,Drop Kick,,,"[100.2, 1.1]",,High Pass,,88.73359,,Out,,Marc Albrighton,3307.0,,,,,,1,From Kick Off,Kasper Schmeichel,3815.0,Goalkeeper,2,Arsenal,1,['8a3a8701-be2c-4982-a448-f3305f2e4185'],20,,,,,,,,,,,,,,,,Leicester City,22,00:00:20.796,Pass,
