50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,cf04a1b8-763e-4834-8122-c7e16999e7ce,1,,,3754197,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tottenham Hotspur,38,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3099, 'name': 'Hugo Lloris'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3205, 'name': 'Kyle Walker'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 20005, 'name': 'Toby Alderweireld'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 3077, 'name': 'Jan Vertonghen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 3086, 'name': 'Ben Davies'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 33}, {'player': {'id': 10956, 'name': 'Eric Dier'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 3094, 'name': 'Bamidele Alli'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 3585, 'name': 'Erik Lamela'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 3083, 'name': 'Heung-Min Son'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 3043, 'name': 'Christian Dannemann Eriksen'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 23}, {'player': {'id': 10955, 'name': 'Harry Kane'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Tottenham Hotspur,38,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,70050657-789c-4f65-9b30-9f72677c08f9,2,,,3754197,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tottenham Hotspur,38,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3659, 'name': 'Wilfredo Daniel Caballero'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 7110, 'name': 'Bacary Sagna'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 19288, 'name': 'Martín Gastón Demichelis'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 26}, {'player': {'id': 3090, 'name': 'Nicolás Hernán Otamendi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 30}, {'player': {'id': 5596, 'name': 'Aleksandar Kolarov'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 11}, {'player': {'id': 16003, 'name': 'Fernando Francisco Reges'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 3054, 'name': 'Fernando Luiz Rosa'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 25}, {'player': {'id': 3089, 'name': 'Kevin De Bruyne'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 3087, 'name': 'Gnégnéri Yaya Touré'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 42}, {'player': {'id': 3233, 'name': 'Raheem Sterling'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 3237, 'name': 'Sergio Leonel Agüero del Castillo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Manchester City,36,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,024dac5c-522c-4fe9-bf2c-a06cfce20909,3,,,3754197,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tottenham Hotspur,38,['d64a2ca8-a052-4b25-9487-8a1bd88ab573'],0,,,,,,,,,,,,,,,,,Manchester City,36,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d64a2ca8-a052-4b25-9487-8a1bd88ab573,4,,,3754197,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tottenham Hotspur,38,['024dac5c-522c-4fe9-bf2c-a06cfce20909'],0,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9fe559db-5a49-4a9b-9118-5791604bf5c9,1850,,,3754197,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,98,Tottenham Hotspur,38,['9162e433-4abc-4a9e-a9bb-d12623c74cca'],0,,,,,,,,,,,,,,,,,Manchester City,36,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9162e433-4abc-4a9e-a9bb-d12623c74cca,1851,,,3754197,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,98,Tottenham Hotspur,38,['9fe559db-5a49-4a9b-9118-5791604bf5c9'],0,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.467815,,,,,,,,,,,,,13f8ede2-0982-4299-bf0d-cd6a845a080a,5,,"[61.0, 40.1]",3754197,0,,,,,-1.929567,,Right Foot,,,,"[60.4, 38.5]",,Ground Pass,,1.7088008,,,,Raheem Sterling,3233.0,,,,,Kick Off,1,From Kick Off,Sergio Leonel Agüero del Castillo,3237.0,Center Forward,2,Manchester City,36,['2e96b573-183e-4c91-847f-954db1bb2202'],0,,,,,,,,,,,,,,,,,Manchester City,36,00:00:00.457,Pass,
,,,,,,,,,,,,,,,,,1.088407,,,,,,,,,,,,,96df9a18-c802-4b4b-af82-93bc2a62ba3b,8,,"[58.9, 38.9]",3754197,0,,,,,2.4068425,,Right Foot,,,,"[47.5, 49.2]",,Ground Pass,,15.363918,,,,Fernando Luiz Rosa,3054.0,,,,,,1,From Kick Off,Raheem Sterling,3233.0,Left Wing,2,Manchester City,36,['a3c1e942-38e0-4d2a-a5b8-4a7ffb1f3e6a'],0,,,,,,,,,,,,,,,,,Manchester City,36,00:00:00.998,Pass,
,,,,,,,,,,,,,,,,,1.780308,,,,,,,,,,,,,2d4291f3-ab27-47ba-b599-4f0c709a0fd1,12,,"[46.5, 50.2]",3754197,0,,,,,2.2215672,,Right Foot,,,,"[31.5, 69.9]",,Ground Pass,,24.760654,,,,Bacary Sagna,7110.0,,,,,,1,From Kick Off,Fernando Luiz Rosa,3054.0,Left Defensive Midfield,2,Manchester City,36,"['65420180-3fbb-4e56-a83e-628eb34215b2', 'efea6461-fca0-49a5-95c3-7de1ccd17543']",2,,,,,,,,,,,,,,,,,Manchester City,36,00:00:02.861,Pass,True
,,,,,,,,,,,,,,,,,1.041846,,,,,,,,,,,,,c826008a-9b28-4154-a03b-dc0876bb47e0,15,,"[31.5, 69.9]",3754197,0,,,,,-0.49988553,,Left Foot,,,,"[44.5, 62.8]",,Ground Pass,,14.812494,,,,Fernando Luiz Rosa,3054.0,,,,,,1,From Kick Off,Bacary Sagna,7110.0,Right Back,2,Manchester City,36,['92d3d383-8e86-4bf7-98be-70140349d66d'],5,,,,,,,,,,,,,,,,,Manchester City,36,00:00:05.760,Pass,
