50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,50051145-180a-4988-826c-ea96c8ee6a1b,1,,,3754125,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea,33,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3509, 'name': 'Thibaut Courtois'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 5594, 'name': 'Branislav Ivanović'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 3456, 'name': 'Kurt Happy Zouma'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 20287, 'name': 'John Terry'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 26}, {'player': {'id': 3957, 'name': 'César Azpilicueta Tanco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 28}, {'player': {'id': 5475, 'name': 'John Michael Nchekwube Obinna'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 3381, 'name': 'Nemanja Matić'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 3472, 'name': 'Willian Borges da Silva'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 22}, {'player': {'id': 3478, 'name': 'Francesc Fàbregas i Soler'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 4}, {'player': {'id': 3958, 'name': 'Pedro Eliezer Rodríguez Ledesma'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 5198, 'name': 'Diego da Silva Costa'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Chelsea,33,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,7fe0f2da-5e5f-4a23-a62b-e9af9313876a,2,,,3754125,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea,33,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 13042, 'name': 'Tim Howard'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 24}, {'player': {'id': 5836, 'name': 'Bryan Oviedo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 8}, {'player': {'id': 3244, 'name': 'John Stones'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 20046, 'name': 'Phil Jagielka'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 3518, 'name': 'Leighton Baines'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 3633, 'name': 'Gareth Barry'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 3476, 'name': 'Muhamed Bešić'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 3953, 'name': 'Aaron Lennon'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 12}, {'player': {'id': 4275, 'name': 'Ross Barkley'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 20}, {'player': {'id': 4317, 'name': 'Kevin Mirallas'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 3289, 'name': 'Romelu Lukaku Menama'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Everton,29,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,409ec18c-40f7-49f8-a6bd-45141e080a04,3,,,3754125,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea,33,['4060516c-6e36-427b-abeb-bc34e023dbd2'],0,,,,,,,,,,,,,,,,,Chelsea,33,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,4060516c-6e36-427b-abeb-bc34e023dbd2,4,,,3754125,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea,33,['409ec18c-40f7-49f8-a6bd-45141e080a04'],0,,,,,,,,,,,,,,,,,Everton,29,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,ee2ea61c-1c14-4561-a009-0ebdfc04cfa1,2097,,,3754125,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,93,Everton,29,['b26ab912-a498-4f9c-a2ea-512e6e0b0d97'],0,,,,,,,,,,,,,,,,,Everton,29,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,b26ab912-a498-4f9c-a2ea-512e6e0b0d97,2098,,,3754125,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,93,Everton,29,['ee2ea61c-1c14-4561-a009-0ebdfc04cfa1'],0,,,,,,,,,,,,,,,,,Chelsea,33,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.409123,,,,,,,,,,,d3402317-e752-4c52-9133-2e1e44a43a7f,5,,"[61.0, 40.1]",3754125,0,,,,,1.4631065,,Right Foot,,,,"[61.4, 43.8]",,Ground Pass,,3.7215588,,,Francesc Fàbregas i Soler,3478.0,,,,,Kick Off,1,From Kick Off,Diego da Silva Costa,5198.0,Center Forward,2,Chelsea,33,['0dffdacd-b4b1-41ea-98e8-228de0cc060f'],0,,,,,,,,,,,,,,,,,Chelsea,33,00:00:00.423,Pass,
,,,,,,,,,,,,,,,,,,1.516449,,,,,,,,,,,e29e0834-9b65-42b2-b981-33e45539d0ea,8,,"[58.9, 44.2]",3754125,0,,,,,2.9247901,,Right Foot,,,,"[36.2, 49.2]",,Ground Pass,,23.244139,,,Kurt Happy Zouma,3456.0,,,,,,1,From Kick Off,Francesc Fàbregas i Soler,3478.0,Center Attacking Midfield,2,Chelsea,33,['a5082e3f-ff62-4f56-b881-1aac1c292327'],2,,,,,,,,,,,,,,,,,Chelsea,33,00:00:02.624,Pass,
,,,,,,,,,,,,,,,,,,1.51209,,,,,,,,,,,8bb78233-75b9-4a14-add1-f1a3406dbb6f,11,,"[36.0, 47.9]",3754125,0,,,,,-1.9662766,,Left Foot,,,,"[27.4, 27.3]",,Ground Pass,,22.323082,,,John Terry,20287.0,,,,,,1,From Kick Off,Kurt Happy Zouma,3456.0,Right Center Back,2,Chelsea,33,['0685266c-debe-4824-964c-64abe068dd10'],5,,,,,,,,,,,,,,,,,Chelsea,33,00:00:05.528,Pass,
,,,,,,,,,,,,,,,,,,2.083671,,,,,,,,,,,40a95bfe-e2a9-4458-9684-19be7d6dc61d,14,,"[22.5, 25.0]",3754125,0,,,,,3.0386965,,Left Foot,,,,"[4.1, 26.9]",,Ground Pass,,18.497837,,,Thibaut Courtois,3509.0,,,,,,1,From Kick Off,John Terry,20287.0,Left Center Back,2,Chelsea,33,['41dc5aac-9b85-473c-93fc-decfebd17c54'],8,,,,,,,,,,,,,,,,,Chelsea,33,00:00:08.545,Pass,
