ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,b51aedfa-1e32-469e-bee0-5ce645ec7296,1,,,3754240,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal,1,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3461, 'name': 'Petr Čech'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 33}, {'player': {'id': 3511, 'name': 'Héctor Bellerín Moruno'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 24}, {'player': {'id': 6746, 'name': 'Gabriel Armando de Abreu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 3394, 'name': 'Laurent Koscielny'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 3498, 'name': 'Ignacio Monreal Eraso'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 11386, 'name': 'Santiago Cazorla González'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 19}, {'player': {'id': 3437, 'name': 'Francis Joseph Coquelin'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 34}, {'player': {'id': 3517, 'name': 'Aaron Ramsey'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 16}, {'player': {'id': 3496, 'name': 'Mesut Özil'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 11}, {'player': {'id': 3385, 'name': 'Alexis Alejandro Sánchez Sánchez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 3668, 'name': 'Theo Walcott'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 14}]}",Arsenal,1,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,70dea332-145f-4853-be3f-c22349e070f2,2,,,3754240,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal,1,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3537, 'name': 'Jack Butland'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3643, 'name': 'Phil Bardsley'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 3480, 'name': 'Geoff Cameron'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 20}, {'player': {'id': 6560, 'name': 'Marc Muniesa Martínez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 3467, 'name': 'Erik Pieters'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 8251, 'name': 'Marco van Ginkel'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 9625, 'name': 'Glenn Whelan'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 3533, 'name': 'Xherdan Shaqiri'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 22}, {'player': {'id': 3603, 'name': 'Mame Biram Diouf'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 18}, {'player': {'id': 3325, 'name': 'Marko Arnautović'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 3265, 'name': 'José Luis Sanmartín Mato'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Stoke City,30,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,1ec7b931-c638-4e10-99dd-89b5ef902f27,3,,,3754240,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal,1,['e97f12fc-5e96-4375-9d10-47430d75289b'],0,,,,,,,,,,,,,,,,,,Stoke City,30,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,e97f12fc-5e96-4375-9d10-47430d75289b,4,,,3754240,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal,1,['1ec7b931-c638-4e10-99dd-89b5ef902f27'],0,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,c036efee-fdce-4431-98f2-489efffe9739,1772,,,3754240,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,86,Arsenal,1,['8a802824-b3c6-4e70-88ed-a47d78f045a4'],0,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,8a802824-b3c6-4e70-88ed-a47d78f045a4,1773,,,3754240,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,86,Arsenal,1,['c036efee-fdce-4431-98f2-489efffe9739'],0,,,,,,,,,,,,,,,,,,Stoke City,30,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.199069,,,,,,,,,,,a6f1096a-7412-4d16-8194-9550bc029493,5,,"[61.0, 40.1]",3754240,0,,,,,2.6779451,,Right Foot,,,,"[60.2, 40.5]",,Ground Pass,,0.8944272,,,,,Mame Biram Diouf,3603.0,,,,,,Kick Off,1,From Kick Off,José Luis Sanmartín Mato,3265.0,Center Forward,2,Stoke City,30,['5cb33df1-3abd-48c1-839f-ba9feef885a6'],0,,,,,,,,,,,,,,,,,,Stoke City,30,00:00:00.921,Pass,
,,,,,,,,,,,,,,,,,0.611769,,,,,,,,,,,8e21b80f-9c27-4199-b096-6cc1e7b778ac,8,,"[61.1, 39.9]",3754240,0,,,,,2.9375746,,Right Foot,,,,"[55.3, 41.1]",,Ground Pass,,5.9228373,,,,,Glenn Whelan,9625.0,,,,,,,1,From Kick Off,Mame Biram Diouf,3603.0,Center Attacking Midfield,2,Stoke City,30,['eaaec837-b711-4e95-9012-21648cace2af'],1,,,,,,,,,,,,,,,,,,Stoke City,30,00:00:01.344,Pass,
,,,,,,,,,,,,,,,,,1.486802,,,,,,,,,,,05d7c26d-5977-44e5-a680-b3f0e55b23f5,12,,"[55.5, 45.0]",3754240,0,,,,,1.5831413,,Right Foot,,,,"[55.1, 77.4]",,Ground Pass,,32.40247,,,,,Xherdan Shaqiri,3533.0,,,,,,,1,From Kick Off,Glenn Whelan,9625.0,Left Defensive Midfield,2,Stoke City,30,['bf50809f-66da-4fbd-8b2d-27a171f646a0'],3,,,,,,,,,,,,,,,,,,Stoke City,30,00:00:03.093,Pass,
,,,,,,,,,,,,,,,,,1.391731,,,,,,,,,,,c84e2a48-5456-4598-bd2b-9fc33ac21024,15,,"[52.4, 76.5]",3754240,0,,,,,-2.2389517,,Left Foot,,,,"[33.3, 52.3]",,Ground Pass,,30.829369,,,,,Geoff Cameron,3480.0,,,,,,,1,From Kick Off,Xherdan Shaqiri,3533.0,Right Wing,2,Stoke City,30,['31ca10a4-a7ab-4d26-b413-5847a081d166'],6,,,,,,,,,,,,,,,,,,Stoke City,30,00:00:06.635,Pass,
