50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,82bc07e1-b929-4f26-93b4-8852569cf3e7,1,,,3754127,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Stoke City,30,,0,,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 3537, 'name': 'Jack Butland'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4724, 'name': 'Glen Johnson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 8}, {'player': {'id': 40121, 'name': 'Philipp Wollscheid'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 26}, {'player': {'id': 6560, 'name': 'Marc Muniesa Martínez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 3467, 'name': 'Erik Pieters'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 9625, 'name': 'Glenn Whelan'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 4891, 'name': 'Ibrahim Afellay'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 4346, 'name': 'Gilbert Gianelli Imbula Wanga'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 3533, 'name': 'Xherdan Shaqiri'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 22}, {'player': {'id': 3325, 'name': 'Marko Arnautović'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 3603, 'name': 'Mame Biram Diouf'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 18}]}",Stoke City,30,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,807b8ec2-e285-4299-8cb2-f49c4c5d9552,2,,,3754127,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Stoke City,30,,0,,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 16309, 'name': 'Joel Robles Blázquez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4589, 'name': 'Séamus Coleman'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 20046, 'name': 'Phil Jagielka'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 4629, 'name': 'José Ramiro Funes Mori'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 25}, {'player': {'id': 5836, 'name': 'Bryan Oviedo'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 8}, {'player': {'id': 3607, 'name': 'James McCarthy'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 3633, 'name': 'Gareth Barry'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 3953, 'name': 'Aaron Lennon'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 12}, {'player': {'id': 4275, 'name': 'Ross Barkley'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 20}, {'player': {'id': 3683, 'name': 'Tom Cleverley'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 15}, {'player': {'id': 3289, 'name': 'Romelu Lukaku Menama'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Everton,29,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,f1f9d348-92d0-4d96-afe3-ba96221111ce,3,,,3754127,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Stoke City,30,['22e3b701-6642-4ae9-bb03-bbeb9f169ec3'],0,,,,,,,,,,,,,,,,,,,Everton,29,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,22e3b701-6642-4ae9-bb03-bbeb9f169ec3,4,,,3754127,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Stoke City,30,['f1f9d348-92d0-4d96-afe3-ba96221111ce'],0,,,,,,,,,,,,,,,,,,,Stoke City,30,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,2eab92b6-ac55-4ca1-b7eb-a811f2b2bdf8,1984,,,3754127,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,87,Everton,29,['67967207-5970-4866-9bbd-5c54593e6a1e'],0,,,,,,,,,,,,,,,,,,,Stoke City,30,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,67967207-5970-4866-9bbd-5c54593e6a1e,1985,,,3754127,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,87,Everton,29,['2eab92b6-ac55-4ca1-b7eb-a811f2b2bdf8'],0,,,,,,,,,,,,,,,,,,,Everton,29,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.78336,,,,,,,,,,,,,,,,,ae390930-6e47-402d-a4f0-c337e84d2657,5,,"[60.0, 40.0]",3754127,0,,,,,1.5707964,,Right Foot,,,,"[60.0, 42.6]",,Ground Pass,,2.6,,,,,Gilbert Gianelli Imbula Wanga,4346.0,,,,,,Kick Off,1,From Kick Off,Mame Biram Diouf,3603.0,Center Forward,2,Stoke City,30,['f883548c-ece4-4144-87d8-9df20ca474cb'],0,,,,,,,,,,,,,,,,,,,Stoke City,30,00:00:00.165,Pass,
,,,,,,,,,,,,,,,0.762854,,,,,,,,,,,,,,,,,4b52f0a6-f2b1-4bc3-8dba-533d7d399306,8,,"[59.4, 42.6]",3754127,0,,,,,-2.6224465,,Right Foot,,,,"[53.1, 39.0]",,Ground Pass,,7.256032,,,,,Glenn Whelan,9625.0,,,,,,,1,From Kick Off,Gilbert Gianelli Imbula Wanga,4346.0,Left Center Midfield,2,Stoke City,30,['50b6ff39-5020-4c7e-bad6-1e0b36918bf7'],1,,,,,,,,,,,,,,,,,,,Stoke City,30,00:00:01.081,Pass,
,,,,,,,,,,,,,,,1.611579,,,,,,,,,,,,,,,,,fb42a454-6e4b-4130-81a7-b21a97315ad1,11,,"[48.0, 43.1]",3754127,0,,,,,1.8189665,,Right Foot,,,,"[42.4, 65.2]",,Ground Pass,,22.798466,,,,,Glen Johnson,4724.0,,,,,,,1,From Kick Off,Glenn Whelan,9625.0,Center Defensive Midfield,2,Stoke City,30,['1a9b0dcc-8d89-46a0-ae99-e853c695301b'],2,,,,,,,,,,,,,,,,,,,Stoke City,30,00:00:02.920,Pass,
,,,,,,,,,,,,,,,1.543709,,,,,,,,,,,,,,,,,c54134e5-5505-4534-a070-8b8701724e9d,14,,"[41.4, 65.2]",3754127,0,,,,,0.50449026,,Right Foot,,,,"[57.7, 74.2]",,Ground Pass,,18.619614,,,,,Xherdan Shaqiri,3533.0,,,,,,,1,From Kick Off,Glen Johnson,4724.0,Right Back,2,Stoke City,30,['364fc456-df0b-43db-a79e-bb45823cfd45'],6,,,,,,,,,,,,,,,,,,,Stoke City,30,00:00:06.388,Pass,
