ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,69d801be-03c1-4437-bb6b-812d6e9f6392,1,,,3754128,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AFC Bournemouth,28,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 20074, 'name': 'Artur Boruc'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3608, 'name': 'Simon Francis'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 9626, 'name': 'Tommy Elphick'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 3341, 'name': 'Steve Cook'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 3345, 'name': 'Charlie Daniels'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 11}, {'player': {'id': 3049, 'name': 'Matt Ritchie'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 30}, {'player': {'id': 3343, 'name': 'Dan Gosling'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 3344, 'name': 'Andrew Surman'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 3646, 'name': 'Marc Pugh'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 3346, 'name': 'Joshua King'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 17}, {'player': {'id': 3616, 'name': 'Callum Wilson'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 13}]}",AFC Bournemouth,28,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,9d235e73-54b8-4b8f-8cfc-e800336776e4,2,,,3754128,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AFC Bournemouth,28,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 12608, 'name': 'Bradley Guzan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 9533, 'name': 'Leandro Bacuna'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 7}, {'player': {'id': 42700, 'name': 'Micah Richards'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 3041, 'name': 'Ciaran Clark'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 4347, 'name': 'Jordan Amavi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 3583, 'name': 'Ashley Westwood'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 7153, 'name': 'Jordan Veretout'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 3436, 'name': 'Idrissa Gana Gueye'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 3450, 'name': 'Jordan Ayew'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 11117, 'name': 'Scott Sinclair'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 9}, {'player': {'id': 42699, 'name': 'Gabriel Imuetinyan Agbonlahor'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Aston Villa,59,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,b2eef156-e1e7-43d2-a798-0289762df971,3,,,3754128,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AFC Bournemouth,28,['d85c17ec-38c7-464b-bf3c-b2a66f7ece22'],0,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,d85c17ec-38c7-464b-bf3c-b2a66f7ece22,4,,,3754128,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AFC Bournemouth,28,['b2eef156-e1e7-43d2-a798-0289762df971'],0,,,,,,,,,,,,,,,,,Aston Villa,59,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,26ac8886-8ae7-4b4f-8659-95a29e8072e1,1906,,,3754128,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,92,AFC Bournemouth,28,['cd2b043f-a5b2-442d-b7e3-8726942942df'],0,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,cd2b043f-a5b2-442d-b7e3-8726942942df,1907,,,3754128,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,92,AFC Bournemouth,28,['26ac8886-8ae7-4b4f-8659-95a29e8072e1'],0,,,,,,,,,,,,,,,,,Aston Villa,59,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.331489,,,,,,,,,,,,4708b230-b8af-4854-be26-10806f19c32c,5,,"[60.0, 40.0]",3754128,0,,,,,2.3127437,,Right Foot,,,"[58.9, 41.2]",,Ground Pass,,1.627882,,,Jordan Veretout,7153.0,,,,,Kick Off,1,From Kick Off,Gabriel Imuetinyan Agbonlahor,42699.0,Center Forward,2,Aston Villa,59,['a51d6a8d-b226-4c17-b507-4e7c0a95381a'],0,,,,,,,,,,,,,,,,,Aston Villa,59,00:00:00.701,Pass,
,,,,,,,,,,,,,,,0.943567,,,,,,,,,,,,a0337733-6153-43ed-91d0-e731c4258d46,8,,"[59.3, 41.2]",3754128,0,,,,,-2.8657868,,Right Foot,,,"[48.7, 38.2]",,Ground Pass,,11.016352,,,Ashley Westwood,3583.0,,,,,,1,From Kick Off,Jordan Veretout,7153.0,Right Center Midfield,2,Aston Villa,59,['94fbe6d7-4767-4a20-a09d-5b57b66127ac'],1,,,,,,,,,,,,,,,,,Aston Villa,59,00:00:01.151,Pass,
,,,,,,,,,,,,,,,1.255002,,,,,,,,,,,,3b735bc3-3944-431e-9ddb-1f42644b0967,12,,"[48.7, 40.4]",3754128,0,,,,,1.8651785,,Right Foot,,,"[43.0, 59.2]",,Ground Pass,,19.645102,,,Leandro Bacuna,9533.0,,,,,,1,From Kick Off,Ashley Westwood,3583.0,Center Defensive Midfield,2,Aston Villa,59,['e26cc934-bb14-43c4-96e4-be2f77469b59'],2,,,,,,,,,,,,,,,,,Aston Villa,59,00:00:02.702,Pass,
,,,,,,,,,,,,,,,1.785293,,,,,,,,,,,,3019cb17-812f-4442-9fad-2d6a5bc2728a,16,,"[42.5, 60.4]",3754128,0,,,,,-0.27256176,,Right Foot,,,"[84.0, 48.8]",,High Pass,,43.090717,Incomplete,,Gabriel Imuetinyan Agbonlahor,42699.0,,,Through Ball,True,,1,From Kick Off,Leandro Bacuna,9533.0,Right Back,2,Aston Villa,59,"['09772c3e-4335-4c21-9309-0db83eaad900', 'c408f45f-ac7a-48ad-bc69-cbfe87149d44']",5,,,,,,,,,,,,,,,,,Aston Villa,59,00:00:05.296,Pass,
