50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f44b08a5-b70a-4448-84f7-3974d4957a53,1,,,3754134,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Ham United,40,,0,,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 20066, 'name': 'Darren Randolph'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3349, 'name': 'Michail Antonio'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 30}, {'player': {'id': 4280, 'name': 'Winston Reid'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 3843, 'name': 'Angelo Obinze Ogbonna'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 21}, {'player': {'id': 3062, 'name': 'Aaron Cresswell'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 3684, 'name': 'Cheikhou Kouyaté'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3874, 'name': 'Mark Noble'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 3595, 'name': 'Manuel Lanzini'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 28}, {'player': {'id': 3491, 'name': 'Dimitri Payet'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 27}, {'player': {'id': 3962, 'name': 'Diafra Sakho'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 15}, {'player': {'id': 4271, 'name': 'Andy Carroll'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",West Ham United,40,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d2714fd1-3993-4d1b-90e8-569e79f312de,2,,,3754134,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Ham United,40,,0,,,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 3333, 'name': 'David de Gea Quintana'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3267, 'name': 'Luis Antonio Valencia Mosquera'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 25}, {'player': {'id': 10958, 'name': 'Chris Smalling'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 12}, {'player': {'id': 3311, 'name': 'Daley Blind'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 17}, {'player': {'id': 3602, 'name': 'Faustino Marcos Alberto Rojo'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 5}, {'player': {'id': 3600, 'name': 'Morgan Schneiderlin'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 28}, {'player': {'id': 3294, 'name': 'Juan Manuel Mata García'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 8}, {'player': {'id': 3606, 'name': 'Ander Herrera Agüera'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 3538, 'name': 'Wayne Mark Rooney'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 20039, 'name': 'Anthony Martial'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 9}, {'player': {'id': 3318, 'name': 'Marcus Rashford'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 39}]}",Manchester United,39,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4bd1b881-ae2f-4273-90cc-4365d2f0edcb,3,,,3754134,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Ham United,40,['c790d7dd-42cb-412e-83f6-836edc048a29'],0,,,,,,,,,,,,,,,,,,,Manchester United,39,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c790d7dd-42cb-412e-83f6-836edc048a29,4,,,3754134,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Ham United,40,['4bd1b881-ae2f-4273-90cc-4365d2f0edcb'],0,,,,,,,,,,,,,,,,,,,West Ham United,40,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,40cf427c-4b3f-4eb8-b376-49614cc4e5d0,1735,,,3754134,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,90,West Ham United,40,['b447fb50-5dc8-40b7-b3a8-f7650f15453f'],0,,,,,,,,,,,,,,,,,,,West Ham United,40,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b447fb50-5dc8-40b7-b3a8-f7650f15453f,1736,,,3754134,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,90,West Ham United,40,['40cf427c-4b3f-4eb8-b376-49614cc4e5d0'],0,,,,,,,,,,,,,,,,,,,Manchester United,39,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.457649,,,,,,,,,,,,,6613cab1-e6bf-4481-8c29-1f92f1938632,5,,"[61.0, 40.1]",3754134,0,,,,,2.0736396,,Right Foot,,,,"[59.9, 42.1]",,Ground Pass,,2.2825425,,,,Andy Carroll,4271.0,,,,,,Kick Off,1,From Kick Off,Manuel Lanzini,3595.0,Right Midfield,2,West Ham United,40,['698d40b1-3648-4db6-8233-9f5b44f64504'],0,,,,,,,,,,,,,,,,,,,West Ham United,40,00:00:00.320,Pass,
,,,,,,,,,,,,,,,,,,,1.491405,,,,,,,,,,,,,7cd0e5a4-be07-4c6e-93fd-f1f205b6b205,8,,"[60.1, 43.2]",3754134,0,,,,,-3.0172377,,Right Foot,,,,"[44.1, 41.2]",,Ground Pass,,16.124516,,,,Cheikhou Kouyaté,3684.0,,,,,,,1,From Kick Off,Andy Carroll,4271.0,Left Center Forward,2,West Ham United,40,['f099db4d-d670-4d41-bcf6-b8bd38493fa8'],0,,,,,,,,,,,,,,,,,,,West Ham United,40,00:00:00.920,Pass,
,,,,,,,,,,,,,,,,,,,1.2217,,,,,,,,,,,,,2999110f-7a18-4276-9a7a-57784479a708,11,,"[43.9, 41.2]",3754134,0,,,,,-2.596614,,Right Foot,,,,"[24.6, 29.5]",,Ground Pass,,22.569448,,,,Angelo Obinze Ogbonna,3843.0,,,,,,,1,From Kick Off,Cheikhou Kouyaté,3684.0,Right Defensive Midfield,2,West Ham United,40,['31ff4bf2-55d4-4d9d-845a-a1b62680a078'],3,,,,,,,,,,,,,,,,,,,West Ham United,40,00:00:03.590,Pass,
,,,,,,,,,,,,,,,,,,,1.137818,,,,,,,,,,,,,06cc20b0-ba6b-4a8c-85e8-9e2502cf1db6,14,,"[24.6, 29.5]",3754134,0,,,,,-1.4788576,,Left Foot,,,,"[25.9, 15.4]",,Ground Pass,,14.159802,,,,Aaron Cresswell,3062.0,,,,,,,1,From Kick Off,Angelo Obinze Ogbonna,3843.0,Left Center Back,2,West Ham United,40,['6a120004-1531-4ae7-b8bb-1e3d20afbc6b'],5,,,,,,,,,,,,,,,,,,,West Ham United,40,00:00:05.696,Pass,
