50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,556ec251-c78d-4cdc-9051-3a99f16ae689,1,,,3754244,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Norwich City,56,,0,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 23635, 'name': 'John Ruddy'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 21212, 'name': 'Russell Martin'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 5}, {'player': {'id': 9461, 'name': 'Timm Klose'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 17}, {'player': {'id': 31296, 'name': 'Sébastien Aymar Bassong Nguena'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 10967, 'name': 'Robert Brady'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 3286, 'name': 'Nathan Redmond'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 22}, {'player': {'id': 9452, 'name': ""Gary O''Neil""}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 28}, {'player': {'id': 9578, 'name': 'Jonathan Howson'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 9528, 'name': 'Steven Naismith'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 10966, 'name': 'Wes Hoolahan'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 14}, {'player': {'id': 4807, 'name': 'Cameron Jerome'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Norwich City,56,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2acaf142-3e75-445b-9a7e-686de29d0e5f,2,,,3754244,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Norwich City,56,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 3623, 'name': 'Adrián San Miguel del Castillo'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 3586, 'name': 'Samuel Mark Byram'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 3482, 'name': 'James Collins'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 19}, {'player': {'id': 3843, 'name': 'Angelo Obinze Ogbonna'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 21}, {'player': {'id': 3062, 'name': 'Aaron Cresswell'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 27053, 'name': 'Alexandre Dimitri Song-Billong'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 3874, 'name': 'Mark Noble'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 3897, 'name': 'Pedro Mba Obiang Avomo'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 3349, 'name': 'Michail Antonio'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 30}, {'player': {'id': 3491, 'name': 'Dimitri Payet'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 27}, {'player': {'id': 28559, 'name': 'Enner Remberto Valencia Lastra'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",West Ham United,40,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,cd5dcb32-bf79-41a6-afec-3aa023f93b57,3,,,3754244,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Norwich City,56,['1e5d15d0-6e7e-48d1-833c-ae83175312fd'],0,,,,,,,,,,,,,,,,West Ham United,40,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1e5d15d0-6e7e-48d1-833c-ae83175312fd,4,,,3754244,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Norwich City,56,['cd5dcb32-bf79-41a6-afec-3aa023f93b57'],0,,,,,,,,,,,,,,,,Norwich City,56,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d4b15c85-e3da-4eea-b556-12e539433393,1592,,,3754244,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,106,West Ham United,40,['091fd88d-77e9-482b-ab47-e7a91c226510'],0,,,,,,,,,,,,,,,,West Ham United,40,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,091fd88d-77e9-482b-ab47-e7a91c226510,1593,,,3754244,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,106,West Ham United,40,['d4b15c85-e3da-4eea-b556-12e539433393'],0,,,,,,,,,,,,,,,,Norwich City,56,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.405724,,,,,,,,,,,,,bf983228-cf00-4332-ac2f-4b8e9f28f5f4,5,,"[61.0, 40.1]",3754244,0,,,,1.4758446,,Right Foot,,,,"[61.2, 42.2]",,Ground Pass,,2.1095023,,Mark Noble,3874.0,,,,,,Kick Off,1,From Kick Off,Enner Remberto Valencia Lastra,28559.0,Center Forward,2,West Ham United,40,['93271ffe-39ae-476b-84d0-9256eec12978'],0,,,,,,,,,,,,,,,,West Ham United,40,00:00:00.248,Pass,
,,,,,,,,,,,,,,,,,1.875596,,,,,,,,,,,,,862803a6-f98a-4b03-8cc1-08fd155e7fde,8,,"[64.0, 40.0]",3754244,0,,,,-2.148161,,Right Foot,,,,"[45.5, 11.6]",,Ground Pass,,33.8941,,Aaron Cresswell,3062.0,,,,,,,1,From Kick Off,Mark Noble,3874.0,Right Center Midfield,2,West Ham United,40,['d5f5cdd5-f953-49bb-878f-83e6597a1310'],1,,,,,,,,,,,,,,,,West Ham United,40,00:00:01.658,Pass,
,,,,,,,,,,,,,,,,,1.8792,,,,,,,,,,,,,69bb406b-8c79-490b-a031-93da1586794c,11,,"[48.1, 11.5]",3754244,0,,,,0.33473682,,Left Foot,,,,"[84.9, 24.3]",,High Pass,,38.962547,,Mark Noble,3874.0,,,,,,,1,From Kick Off,Aaron Cresswell,3062.0,Left Back,2,West Ham United,40,['2d43de25-d21f-42fe-9549-16b940c10418'],4,,,,,,,,,,,,,,,,West Ham United,40,00:00:04.741,Pass,
,,,,,,,,,,,,,,,,,1.451119,,,,,,,,,,,,,1202dbe0-1f0c-4bab-95ee-e73c7a3b7312,15,,"[33.5, 54.4]",3754244,0,,,True,0.12591262,,,,,,"[41.4, 55.4]",,High Pass,,7.9630394,,Gary O''Neil,9452.0,,,,,,Recovery,1,Regular Play,Timm Klose,9461.0,Right Center Back,3,Norwich City,56,"['37928751-0ee1-4dfe-b29f-2b508c53567b', '897ef32c-4794-41cb-aa9e-e7c15fe29a3a']",8,,,,,,,,,,,,,,,,Norwich City,56,00:00:08.332,Pass,True
