50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,59dc1011-2543-4cd6-b742-7ffbd2bfb852,1,,,3754267,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Watford,23,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3522, 'name': 'Heurelho da Silva Gomes'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3991, 'name': 'Allan Romeo Nyom'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 3309, 'name': 'Sebastian Prödl'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 3263, 'name': 'Craig Cathcart'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 40118, 'name': 'Ikechi Anya'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 3721, 'name': 'Etienne Capoue'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 29}, {'player': {'id': 5540, 'name': 'Valon Behrami'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 5556, 'name': 'Miguel Arturo Layún Prado'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 5458, 'name': 'Odion Jude Ighalo'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 24}, {'player': {'id': 6870, 'name': 'José Manuel Jurado Marín'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 3454, 'name': 'Troy Deeney'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Watford,23,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,a666b562-eab9-4f0c-bde3-252b8a685738,2,,,3754267,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Watford,23,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 5108, 'name': 'Glyn Oliver Myhill'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 3523, 'name': 'Craig Dawson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 25}, {'player': {'id': 3596, 'name': 'Gareth McAuley'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 20527, 'name': 'Jonas Olsson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 3541, 'name': 'Chris Brunt'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 11}, {'player': {'id': 4022, 'name': 'Darren Fletcher'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 3967, 'name': 'Claudio Ariel Yacob'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 3490, 'name': 'James Morrison'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 7}, {'player': {'id': 9485, 'name': 'Craig Gardner'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 8}, {'player': {'id': 40124, 'name': 'Rickie Lambert'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 17}, {'player': {'id': 4630, 'name': 'Saido Berahino'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 18}]}",West Bromwich Albion,27,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,dc57bf67-ff6e-40a8-96b8-bc81d351b571,3,,,3754267,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Watford,23,['9424415a-1b64-4d4b-8464-131699dea830'],0,,,,,,,,,,,,,,,,,,Watford,23,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,9424415a-1b64-4d4b-8464-131699dea830,4,,,3754267,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Watford,23,['dc57bf67-ff6e-40a8-96b8-bc81d351b571'],0,,,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,16e62bcc-6c37-46c3-a5fb-8b8a0bd61698,1667,,,3754267,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,96,Watford,23,['8bcbb62f-c33e-414b-b33a-39af69fc41fa'],0,,,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,8bcbb62f-c33e-414b-b33a-39af69fc41fa,1668,,,3754267,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,96,Watford,23,['16e62bcc-6c37-46c3-a5fb-8b8a0bd61698'],0,,,,,,,,,,,,,,,,,,Watford,23,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.987192,,,,,,,,,,,,,,790c04bf-b4a7-4c8d-89da-cde092f2ae61,5,,"[61.0, 40.1]",3754267,0,,,,,-2.7842338,,Right Foot,,,,"[37.7, 31.4]",Ground Pass,24.87127,,,Craig Cathcart,3263.0,,,,,Kick Off,1,From Kick Off,Troy Deeney,3454.0,Center Forward,2,Watford,23,['164ce1ea-9cd7-4978-852f-58b255c2d3bc'],0,,,,,,,,,,,,,,,,,,Watford,23,00:00:00.834,Pass,
,,,,,,,,,,,,,,,,,1.513426,,,,,,,,,,,,,,1b0f8d74-4882-4e58-9942-3cef68191ba5,8,,"[36.5, 30.2]",3754267,0,,,,,1.8732256,,Left Foot,,,,"[28.7, 55.2]",Ground Pass,26.188547,,,Sebastian Prödl,3309.0,,,,,,1,From Kick Off,Craig Cathcart,3263.0,Left Center Back,2,Watford,23,['e2e133a2-ab85-4001-9067-c2503aa1b78e'],4,,,,,,,,,,,,,,,,,,Watford,23,00:00:04.012,Pass,
,,,,,,,,,,,,,,,,,1.362486,,,,,,,,,,,,,,88b7ac7e-ccfe-4200-bdd4-1176b659a7d5,11,,"[29.6, 56.0]",3754267,0,,,,,1.1052182,,Right Foot,,,,"[40.0, 76.7]",Ground Pass,23.165707,,,Allan Romeo Nyom,3991.0,,,,,,1,From Kick Off,Sebastian Prödl,3309.0,Right Center Back,2,Watford,23,['eb3c0587-62d6-4d19-b41b-d1c3c4bf9909'],7,,,,,,,,,,,,,,,,,,Watford,23,00:00:07.209,Pass,
,,,,,,,,,,,,,,,,,2.241492,,,,,,,,,,,,,,10be2775-5fb7-49c6-9f8c-7d1172b518b0,15,,"[42.9, 77.5]",3754267,0,,,,,-0.09830595,,Right Foot,,,,"[86.5, 73.2]",High Pass,43.811527,Incomplete,,Troy Deeney,3454.0,,,,,,1,From Kick Off,Allan Romeo Nyom,3991.0,Right Back,2,Watford,23,"['41d81f0d-d43e-438d-859a-969db45ce841', 'b0141cb0-be36-4449-bc2a-77292189baab', 'e9e9bcd2-4f9a-490d-9257-3dab1a8cd427']",9,,,,,,,,,,,,,,,,,,Watford,23,00:00:09.683,Pass,True
