50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,4.05408,,,,,,,,,,,,,,a5289600-35bf-4abc-81c5-348c14ae4123,18,,"[8.5, 33.5]",3754206,0,,,,,-0.14189705,,Right Foot,,,"[72.9, 24.3]",,High Pass,,65.053825,,,Incomplete,,,,,,,,,1,From Kick Off,Joe Hart,3291.0,Goalkeeper,2,Manchester City,36,"['c8b6ee51-1838-4931-8e8b-81eeefdd124c', 'c90f3ded-dfa9-449d-a57e-e6023d7592cc']",8,,,,,,,,,,,,,,,,Manchester City,36,00:00:08.304,Pass,True
,,,,,,,,,,,,,,,,,,,0.194799,,,,,,,,,,,,,,c90f3ded-dfa9-449d-a57e-e6023d7592cc,19,,"[47.2, 55.8]",3754206,0,,,,,-0.18311082,,Head,,,"[49.9, 55.3]",,Low Pass,,2.745906,,,Incomplete,,,,,,,,Recovery,1,From Kick Off,Cheik Ismaël Tioté,42900.0,Right Defensive Midfield,2,Manchester City,36,"['a5289600-35bf-4abc-81c5-348c14ae4123', 'ed8c321e-20fc-4ae9-a3db-7fd6d7b9fc69']",12,,,,,,,,,,,,,,,,Newcastle United,37,00:00:12.359,Pass,
,,,,,,,,,,,,,,,,,,,1.121924,,,,,,,,,,,,,,47a1cb5d-d3cd-4df5-8192-e02e1cf82f86,21,,"[52.8, 58.1]",3754206,0,,,,,0.96163285,,Right Foot,,,"[55.8, 62.4]",,Low Pass,,5.2430906,,,,,Moussa Sissoko,3091.0,,,,,Recovery,1,Regular Play,Cheik Ismaël Tioté,42900.0,Right Defensive Midfield,3,Newcastle United,37,['55719011-aa10-4581-b554-8377ff4e2191'],13,,,,,,,,,,,,,,,,Newcastle United,37,00:00:13.867,Pass,
,,,,,,,,,,,,,,,,,,,0.765798,,,,,,,,,,,,,,731f909d-4052-4c00-8f62-8bdf47f56b2e,24,,"[71.0, 77.7]",3754206,0,,,,,-0.17219082,,Right Foot,,,"[80.2, 76.1]",,Low Pass,,9.338094,,,Incomplete,,Andros Townsend,3297.0,,,,,,1,Regular Play,Moussa Sissoko,3091.0,Center Attacking Midfield,3,Newcastle United,37,"['9a2ab6bf-92f6-4e93-bd0a-e77d70b92a41', 'ef644478-ada0-42d5-a73f-397b42bdc0cd']",19,,,,,,,,,,,,,,,,Newcastle United,37,00:00:19.172,Pass,
,,,,,,,,,,,,,,,,,,,1.016557,,,,,,,,,,,,,,d84f3997-2f9d-442c-968d-f3f6da83ac26,27,,"[69.5, 80.0]",3754206,0,,,,,-0.72989964,,,,,"[75.2, 74.9]",,Low Pass,,7.648529,,,,,Moussa Sissoko,3091.0,,,,,Throw-in,1,From Throw In,Vurnon Anita,16072.0,Right Back,4,Newcastle United,37,['c8faf5b2-70b9-48d0-bd36-26bcb1ac26ad'],31,,,,,,,,,,,,,,,,Newcastle United,37,00:00:31.742,Pass,
,,,,,,,,,,,,,,,,,,,0.632343,,,,,,,,,,,,,,edef416b-2d9e-408f-825c-ec80d7f5e9b2,29,,"[77.3, 74.9]",3754206,0,,,,,2.9195108,,Right Foot,,,"[68.0, 77.0]",,Ground Pass,,9.534149,,,,,Vurnon Anita,16072.0,,,,,,1,From Throw In,Moussa Sissoko,3091.0,Center Attacking Midfield,4,Newcastle United,37,['91725878-122e-4e73-8933-f7b37bd86025'],32,,,,,,,,,,,,,,,,Newcastle United,37,00:00:32.759,Pass,
,,,,,,,,,,,,,,,,,,,0.572819,,,,,,,,,,,,,,2c247d97-a222-4ac8-917b-d1717c272b79,31,,"[68.6, 77.0]",3754206,0,,,,,-1.1808785,,Right Foot,,,"[71.6, 69.7]",,Ground Pass,,7.892401,,,,,Andros Townsend,3297.0,,,,,,1,From Throw In,Vurnon Anita,16072.0,Right Back,4,Newcastle United,37,['ffcf7fd1-7fb1-447f-acba-52bbb135a3ac'],33,,,,,,,,,,,,,,,,Newcastle United,37,00:00:33.391,Pass,
,,,,,,,,,,,,,,,,,,,0.962109,,,,,,,,,,,,,,b37a1ae6-6999-48f3-986f-cc528a8bf215,40,,"[26.2, 16.1]",3754206,0,,,,,0.5936443,,Right Foot,,,"[42.5, 27.1]",,Ground Pass,,19.664434,,,,,Sergio Leonel Agüero del Castillo,3237.0,,,,,,1,Regular Play,Fernando Francisco Reges,16003.0,Left Defensive Midfield,5,Manchester City,36,['0436dcf9-d694-4bfd-bfe1-d18583c7fb72'],40,,,,,,,,,,,,,,,,Manchester City,36,00:00:40.011,Pass,
,,,,,,,,,,,,,,,,,,,2.259947,,,,,,,,,,,,,,69c2852c-9737-42f9-bcd8-44663ac20648,43,,"[42.0, 26.9]",3754206,0,,,,,-0.9357696,,Left Foot,,,"[58.8, 4.1]",,Ground Pass,,28.321016,,,,,Kevin De Bruyne,3089.0,,,,,,1,Regular Play,Sergio Leonel Agüero del Castillo,3237.0,Center Forward,5,Manchester City,36,"['4ccbad09-de68-4555-a182-d1d0ed8b8a18', 'cf418b37-91a6-41f1-aadc-bbfe7e2d4a67']",40,,,,,,,,,,,,,,,,Manchester City,36,00:00:40.973,Pass,True
,,,,,,,,,,,,,,,,,,,1.549367,,,,,,,,,,,,,,11775d4a-13ba-4d6d-b248-ba44f1566772,47,,"[89.2, 10.0]",3754206,0,,,,,1.2891772,,Right Foot,,,"[98.4, 41.8]",,Low Pass,,33.10408,,,Incomplete,,Jesús Navas González,6821.0,,,,,,1,Regular Play,Kevin De Bruyne,3089.0,Center Attacking Midfield,5,Manchester City,36,"['062592a5-4be8-40fe-8a8e-ffb0455b28fa', '0c1247fd-9664-4a9c-9571-a75d21d10f3b', '89ace546-cae5-4ec1-8176-b7fc99423a77']",46,,,,,,,,,,,,,,,,Manchester City,36,00:00:46.409,Pass,True
