50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,d1e68119-35ee-4313-baa8-63315cf31fa2,1,,,,3754286,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Watford,23,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 3522, 'name': 'Heurelho da Silva Gomes'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3991, 'name': 'Allan Romeo Nyom'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 3263, 'name': 'Craig Cathcart'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 3288, 'name': 'Miguel Ángel Britos Cabrera'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 3306, 'name': 'Nathan Aké'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 16}, {'player': {'id': 3626, 'name': 'Ben Watson'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 3721, 'name': 'Etienne Capoue'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 29}, {'player': {'id': 40118, 'name': 'Ikechi Anya'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 21}, {'player': {'id': 6870, 'name': 'José Manuel Jurado Marín'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 5458, 'name': 'Odion Jude Ighalo'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 24}, {'player': {'id': 3454, 'name': 'Troy Deeney'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Watford,23,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,631a3d18-9a31-4e50-904d-ae770961700e,2,,,,3754286,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Watford,23,,0,,,,,,,,,,,,,,,,"{'formation': 451, 'lineup': [{'player': {'id': 9014, 'name': 'Declan Rudd'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 4808, 'name': 'Andre Wisdom'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 9930, 'name': 'Ryan Bennett'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 24}, {'player': {'id': 31296, 'name': 'Sébastien Aymar Bassong Nguena'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 3576, 'name': 'Martin Olsson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 9463, 'name': 'Alexander Banor Tettey'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 27}, {'player': {'id': 3286, 'name': 'Nathan Redmond'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 22}, {'player': {'id': 16334, 'name': 'Graham Dorrans'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 9578, 'name': 'Jonathan Howson'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 10967, 'name': 'Robert Brady'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 12}, {'player': {'id': 9593, 'name': 'Lewis Grabban'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Norwich City,56,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,f7afc2b0-0cf9-4e79-a5e9-065fcc20ac80,3,,,,3754286,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Watford,23,['ffe22fe0-329e-4324-826f-5f295a5944a3'],0,,,,,,,,,,,,,,,,,Watford,23,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,ffe22fe0-329e-4324-826f-5f295a5944a3,4,,,,3754286,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Watford,23,['f7afc2b0-0cf9-4e79-a5e9-065fcc20ac80'],0,,,,,,,,,,,,,,,,,Norwich City,56,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,cc59fd0d-f0cf-41fa-8f6c-9e103093ba72,1551,,,,3754286,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,97,Watford,23,['18099641-c387-40c1-9c0a-d19ab538ede4'],0,,,,,,,,,,,,,,,,,Norwich City,56,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,18099641-c387-40c1-9c0a-d19ab538ede4,1552,,,,3754286,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,97,Watford,23,['cc59fd0d-f0cf-41fa-8f6c-9e103093ba72'],0,,,,,,,,,,,,,,,,,Watford,23,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.6513,,,,,,,,,,,,,,,ce8cee83-7845-4e12-9eeb-c9c1868ec7b1,5,,,"[60.0, 40.0]",3754286,0,,,,,1.0516502,,Left Foot,,"[61.2, 42.1]",,Ground Pass,,2.4186773,,,,Troy Deeney,3454.0,,,,,,Kick Off,1,From Kick Off,Odion Jude Ighalo,5458.0,Right Center Forward,2,Watford,23,['7da6e947-bf2a-4f08-9897-6ab6af54fffe'],1,,,,,,,,,,,,,,,,,Watford,23,00:00:01.226,Pass,
,,,,,,,,,,,,,,,,,0.9113,,,,,,,,,,,,,,,c13277bf-b480-47a8-ba21-c5cc54962df7,8,,,"[64.6, 40.5]",3754286,0,,,,,2.816232,,Right Foot,,"[48.0, 46.1]",,Ground Pass,,17.519133,,,,Ben Watson,3626.0,,,,,,,1,From Kick Off,Troy Deeney,3454.0,Left Center Forward,2,Watford,23,['a9fd6236-4008-48df-b769-34d517d729f1'],1,,,,,,,,,,,,,,,,,Watford,23,00:00:01.917,Pass,
,,,,,,,,,,,,,,,,,5.639899,,,,,,,,,,,,,,,a1175722-2690-4a73-97f3-c6ae206d63d7,12,,,"[47.7, 47.1]",3754286,0,,,,,-0.6402876,,Right Foot,,"[102.6, 6.2]",,High Pass,,68.46035,,,,José Manuel Jurado Marín,6870.0,,,True,,,,1,From Kick Off,Ben Watson,3626.0,Right Defensive Midfield,2,Watford,23,"['1be33c53-1857-4a68-8db2-135edc650769', '1e3b831f-5557-4d57-8c76-a8fa1a1e608a']",4,,,,,,,,,,,,,,,,,Watford,23,00:00:04.690,Pass,True
,,,,,,,,,,,,,,,,,1.6543,,,,,,,,,,,,,,,704e709f-6a31-4fcb-9a0e-35309bf0d7d5,18,,,"[109.2, 0.1]",3754286,0,,,,,1.6632153,,,,"[107.3, 20.6]",,Low Pass,,20.58786,,,,Troy Deeney,3454.0,,,,,,Throw-in,1,From Throw In,Nathan Aké,3306.0,Left Back,3,Watford,23,['9953262d-2ebc-416a-a2ab-0081cd5a5f7f'],20,,,,,,,,,,,,,,,,,Watford,23,00:00:20.528,Pass,
