ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,6.032162,,,,,,,,,,,,,,f8be741a-152a-4cda-849c-3b789c002f0a,2038,,"[110.9, 7.6]",3753994,54,,,,1.5638423,,Left Foot,True,,"[111.4, 79.5]",,High Pass,,71.90174,,,Jason Puncheon,19688.0,,True,,,,2,Regular Play,Dwight Gayle,3092.0,Right Center Forward,116,Crystal Palace,31,['f437e84b-c221-4be6-8828-c6ef1571b8bd'],47,,,,,,,,,,,,,,,,Crystal Palace,31,00:09:47.219,Pass,
,,,,,,,,,,,,,,,1.045413,,,,,,,,,,,,,,59c64df7-1706-4691-bec2-9084d04a662e,2041,,"[111.4, 79.5]",3753994,54,,,,-2.4345677,,Left Foot,,,"[101.1, 70.7]",,Ground Pass,,13.547324,,,Sullay Kaikai,4116.0,,,,,,2,Regular Play,Jason Puncheon,19688.0,Right Midfield,116,Crystal Palace,31,['24610ec8-b29e-4e6d-b816-0578a6859d78'],54,,,,,,,,,,,,,,,,Crystal Palace,31,00:09:54.180,Pass,
,,,,,,,,,,,,,,,1.577556,,,,,,,,,,,,,,77eb458d-2777-4ea7-98b6-c2c8c4359387,2045,,"[106.2, 72.3]",3753994,54,,,,-1.3428979,,Right Foot,True,,"[113.9, 39.1]",,High Pass,,34.081226,Incomplete,,Emmanuel Adebayor,26699.0,,,,,,2,Regular Play,Sullay Kaikai,4116.0,Left Midfield,116,Crystal Palace,31,"['5b96baf0-63d0-4329-9ac9-68dd26607067', 'a69f7e74-5fd2-4f6a-87b7-a1bdf755fe57']",57,,,,,,,,,,,,,,,,Crystal Palace,31,00:09:57.401,Pass,
,,,,,,,,,,,,,,,1.715276,,,,,,,,,,,,,,a7485671-656d-453d-aa79-844163cc42c1,2054,,"[71.7, 5.1]",3753994,55,True,,,2.6069984,,Right Foot,,,"[56.5, 14.1]",,Ground Pass,,17.664654,,,Damien Delaney,3693.0,,,,,,2,Regular Play,Emmanuel Adebayor,26699.0,Left Center Forward,116,Crystal Palace,31,['c5074ace-8a89-4297-848a-c8cb896816ef'],9,,,,,,,,,,,,,,,,Crystal Palace,31,00:10:09.109,Pass,
,,,,,,,,,,,,,,,2.334494,,,,,,,,,,,,,,c4b13318-9dfa-43ab-9842-cfe8c2bb40af,2058,,"[54.2, 8.5]",3753994,55,,,,1.8327225,,Right Foot,,,"[47.9, 32.0]",,Ground Pass,,24.329817,,,Adrian Mariappa,3731.0,,,,,,2,Regular Play,Damien Delaney,3693.0,Left Center Back,116,Crystal Palace,31,"['449fd16f-5867-4e28-814b-a31dc6462884', '56d8ddf8-fd2d-4049-aec7-33138dcc0745']",12,,,,,,,,,,,,,,,,Crystal Palace,31,00:10:12.382,Pass,True
,,,,,,,,,,,,,,,8.837386,,,,,,,,,,,,,,b2466796-63a0-44da-8c67-829767044c42,2060,,"[48.6, 31.8]",3753994,55,,,,-0.15152422,,Left Foot,,,"[115.4, 21.6]",,High Pass,,67.57426,Incomplete,,,,,,,,,2,Regular Play,Adrian Mariappa,3731.0,Right Center Back,116,Crystal Palace,31,['b08bbd6b-991d-44f0-9bb0-c31480fedb27'],14,,,,,,,,,,,,,,,,Crystal Palace,31,00:10:14.717,Pass,
,,,,,,,,,,,,,,,3.909661,,,,,,,,,,,,,,a9860619-e657-48fc-a307-6f8dd6e7e8c5,2063,,"[11.8, 53.1]",3753994,55,,,,-0.18356405,,Drop Kick,,,"[82.9, 39.9]",,High Pass,,72.31493,,,Shane Long,3842.0,,,,,,2,Regular Play,Fraser Forster,3970.0,Goalkeeper,117,Southampton,25,['4600e90f-d038-4418-8156-c457454f05ce'],42,,,,,,,,,,,,,,,,Southampton,25,00:10:42.569,Pass,
,,,,,,,,,,,,,,,1.416259,,,,,,,,,,,,,,51895d5f-1cb7-4078-8f0c-75d82a63e165,2067,,"[84.3, 39.2]",3753994,55,,,,-1.6020361,,Other,,,"[83.9, 26.4]",,Low Pass,,12.806249,,,Dušan Tadić,3831.0,,,,,,2,Regular Play,Shane Long,3842.0,Center Forward,117,Southampton,25,"['830dec1e-116c-434a-82c3-f0c09fdb33f9', '9c300953-6127-4de1-8dc3-2997682db062']",46,,,,,,,,,,,,,,,,Southampton,25,00:10:46.558,Pass,True
,,,,,,,,,,,,,,,1.354561,,,,,,,,,,,,,,79b1392c-ae58-445f-9f08-7660f48f7850,2071,,"[92.3, 21.9]",3753994,55,,,,0.4840068,,Left Foot,,,"[109.8, 31.1]",,Ground Pass,,19.770939,Incomplete,,Sadio Mané,3629.0,,,Through Ball,True,,2,Regular Play,Dušan Tadić,3831.0,Left Wing,117,Southampton,25,"['1004c79e-7e97-4948-a677-208e88c49c5e', 'ae9538d1-c9a1-4cc0-94d9-5089674c78e0', 'f8bd4358-0b68-4385-a1fa-e76cbd790d16']",49,,,,,,,,,,,,,,,,Southampton,25,00:10:49.273,Pass,True
,,,,,,,,,,,,,,,0.749168,,,,,,,,,,,,,,cef3f99f-2c1c-4309-84df-2ac441a1a093,2074,,"[104.0, 0.1]",3753994,56,,,,0.836899,,,,,"[108.6, 5.2]",,Low Pass,,6.868042,,,Steven Davis,3828.0,,,,,Throw-in,2,From Throw In,Ryan Bertrand,20045.0,Left Back,118,Southampton,25,['1a84aefd-c126-4f25-95ea-35ad9a4f5eb2'],9,,,,,,,,,,,,,,,,Southampton,25,00:11:09.807,Pass,
,,,,,,,,,,,,,,,0.864866,,,,,,,,,,,,,,3b2085e3-9a11-4320-8906-2a56f72411b6,2078,,"[108.4, 6.3]",3753994,56,,,,-2.100043,,Left Foot,,,"[105.3, 1.0]",,Ground Pass,,6.140033,,,Ryan Bertrand,20045.0,,,,,,2,From Throw In,Steven Davis,3828.0,Center Attacking Midfield,118,Southampton,25,"['10dc0316-5e70-40c8-9f84-93cf4a02f28d', 'f69a52cd-acfd-430e-b19f-1e01a6c36a9c']",11,,,,,,,,,,,,,,,,Southampton,25,00:11:11.396,Pass,True
,,,,,,,,,,,,,,,0.457996,,,,,,,,,,,,,,e8fd3660-a9a9-47f6-8932-7d2b29919158,2081,,"[105.3, 1.0]",3753994,56,,,,1.8724154,,Left Foot,,,"[103.9, 5.5]",,Ground Pass,,4.7127485,,,Steven Davis,3828.0,,,,,,2,From Throw In,Ryan Bertrand,20045.0,Left Back,118,Southampton,25,"['10dc0316-5e70-40c8-9f84-93cf4a02f28d', '77d31510-8324-4e5b-b4a4-12b62fc531ed']",12,,,,,,,,,,,,,,,,Southampton,25,00:11:12.980,Pass,True
,,,,,,,,,,,,,,,0.751964,,,,,,,,,,,,,,693abd15-ebe7-44da-9d6c-9151d1c992ee,2084,,"[103.9, 5.2]",3753994,56,,,,-0.15991312,,Left Foot,,,"[110.1, 4.2]",,Ground Pass,,6.2801275,,,Ryan Bertrand,20045.0,,,,,,2,From Throw In,Steven Davis,3828.0,Center Attacking Midfield,118,Southampton,25,['8a8f5227-0990-47d2-aa55-645aa6ba146b'],13,,,,,,,,,,,,,,,,Southampton,25,00:11:13.478,Pass,
,,,,,,,,,,,,,,,1.425043,,,,,,,,,,,,,,8f057d35-4273-48ab-916f-b98fbbf3e13d,2090,,"[111.1, 4.4]",3753994,56,,,,1.3988769,,Right Foot,True,,"[116.5, 35.5]",,High Pass,,31.565329,Incomplete,,Virgil van Dijk,3669.0,,,,,Free Kick,2,From Free Kick,Steven Davis,3828.0,Center Attacking Midfield,119,Southampton,25,"['612ebe3b-2528-4ca9-bc96-2d67dc8786ef', 'ea07e77c-2ac4-4e67-b7be-a0195249aedc']",50,,,,,,,,,,,,,,,,Southampton,25,00:11:50.505,Pass,
,,,,,,,,,,,,,,,1.64742,,,,,,,,,,,,,,d4b54a37-6eb0-4eda-8b6e-45c0461664cc,2097,,"[111.8, 21.6]",3753994,56,,,,1.5080217,,Right Foot,True,,"[112.9, 39.1]",,High Pass,,17.534538,Incomplete,,,,,,,,,2,From Free Kick,Sadio Mané,3629.0,Right Wing,119,Southampton,25,"['d7d0ce9e-49b6-4b8c-93e3-aaf340c1be81', 'faccae5e-53b9-476b-b315-37b4901c470c']",56,,,,,,,,,,,,,,,,Southampton,25,00:11:56.582,Pass,True
,,,,,,,,,,,,,,,0.254448,,,,,,,,,,,,,,7b1f569f-69cb-49eb-ba1d-af7a61d047f8,2102,,"[112.0, 56.1]",3753994,57,,,,-1.5142529,,Left Foot,,,"[112.3, 50.8]",,Low Pass,,5.3084836,Incomplete,,,,,,,,,2,From Free Kick,Dušan Tadić,3831.0,Left Wing,119,Southampton,25,['345c7a46-40e5-4f2f-b599-c8e4dd9d60ce'],4,,,,,,,,,,,,,,,,Southampton,25,00:12:04.438,Pass,
,,,,,,,,,,,,,,,1.088651,,,,,,,,,,,,,,9031c2f0-746c-4135-87c4-2b251a085944,2107,,"[117.9, 51.9]",3753994,57,,,,-1.651503,,Right Foot,True,,"[116.8, 38.3]",,Low Pass,,13.644413,Incomplete,,,,,,,,,2,From Free Kick,Victor Wanyama,3098.0,Left Center Midfield,119,Southampton,25,"['1e1abf3b-3ad2-4b91-ab17-f820002301fc', '75a5c6a2-3dce-4184-abb8-4396bebe9c8d']",7,,,,,,,,,,,,,,,,Southampton,25,00:12:07.042,Pass,True
,,,,,,,,,,,,,,,1.897335,,,,,,,,,,,,,,b224a3a7-df3e-4bb5-8187-fda216dd4585,2112,,"[76.7, 20.5]",3753994,57,,,,-0.7822829,,Left Foot,,,"[92.8, 4.5]",,Ground Pass,,22.698238,,,Sadio Mané,3629.0,,,,,,2,From Free Kick,Ryan Bertrand,20045.0,Left Back,119,Southampton,25,['3243acf3-a01b-4f27-9eff-f17426b9bf37'],13,,,,,,,,,,,,,,,,Southampton,25,00:12:13.457,Pass,
