ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4e8b7de0-8995-4f89-997f-7814302e4324,1,,,,3754077,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester City,36,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3291, 'name': 'Joe Hart'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 7110, 'name': 'Bacary Sagna'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 3090, 'name': 'Nicolás Hernán Otamendi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 30}, {'player': {'id': 3389, 'name': 'Eliaquim Mangala'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 20}, {'player': {'id': 5596, 'name': 'Aleksandar Kolarov'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 11}, {'player': {'id': 3087, 'name': 'Gnégnéri Yaya Touré'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 42}, {'player': {'id': 3054, 'name': 'Fernando Luiz Rosa'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 25}, {'player': {'id': 6821, 'name': 'Jesús Navas González'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 15}, {'player': {'id': 3089, 'name': 'Kevin De Bruyne'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 17}, {'player': {'id': 3233, 'name': 'Raheem Sterling'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 3237, 'name': 'Sergio Leonel Agüero del Castillo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Manchester City,36,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d3f67b50-35c8-4c0d-969c-bd2e3e073074,2,,,,3754077,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester City,36,,0,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 3623, 'name': 'Adrián San Miguel del Castillo'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 21254, 'name': 'Carl Jenkinson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 12}, {'player': {'id': 3316, 'name': 'James Tomkins'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 4280, 'name': 'Winston Reid'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 3062, 'name': 'Aaron Cresswell'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 3897, 'name': 'Pedro Mba Obiang Avomo'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 3963, 'name': 'Victor Moses'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 20}, {'player': {'id': 3874, 'name': 'Mark Noble'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 3595, 'name': 'Manuel Lanzini'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 28}, {'player': {'id': 3491, 'name': 'Dimitri Payet'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 27}, {'player': {'id': 3962, 'name': 'Diafra Sakho'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 15}]}",West Ham United,40,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,57dbe6e7-7e1f-48f7-9104-3e1e7ff72dac,3,,,,3754077,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester City,36,['db2f9dd6-0356-4b39-a507-bfcb57f44876'],0,,,,,,,,,,,,,,,,,Manchester City,36,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,db2f9dd6-0356-4b39-a507-bfcb57f44876,4,,,,3754077,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester City,36,['57dbe6e7-7e1f-48f7-9104-3e1e7ff72dac'],0,,,,,,,,,,,,,,,,,West Ham United,40,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,99fe436a-a51d-4e54-a305-eafaee97434e,1942,,,,3754077,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,86,Manchester City,36,['270c1c46-b7fd-4a5a-bf26-8c50202d6fff'],0,,,,,,,,,,,,,,,,,Manchester City,36,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,270c1c46-b7fd-4a5a-bf26-8c50202d6fff,1943,,,,3754077,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,86,Manchester City,36,['99fe436a-a51d-4e54-a305-eafaee97434e'],0,,,,,,,,,,,,,,,,,West Ham United,40,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.572447,,,,,,,,,,,,,d5deba27-1b2d-475a-814d-9b0cb5897b5d,5,,,"[61.0, 40.1]",3754077,0,,,,,1.9936502,,Right Foot,,,,"[60.1, 42.1]",,Ground Pass,,2.1931713,,,Dimitri Payet,3491.0,,,,,,Kick Off,1,From Kick Off,Diafra Sakho,3962.0,Center Forward,2,West Ham United,40,['692c49c2-7017-48d8-8481-c2d4de670a76'],0,,,,,,,,,,,,,,,,,West Ham United,40,00:00:00.802,Pass,
,,,,,,,,,,,,,,,2.024808,,,,,,,,,,,,,e584cf2e-6311-418f-a0c1-06d89af6cd6a,8,,,"[53.7, 42.5]",3754077,0,,,,,1.9506824,,Right Foot,,,,"[42.6, 70.3]",,Ground Pass,,29.934093,,,Carl Jenkinson,21254.0,,,,,,,1,From Kick Off,Dimitri Payet,3491.0,Left Midfield,2,West Ham United,40,['5c33d7bd-1749-4f67-b549-67abc573584d'],1,,,,,,,,,,,,,,,,,West Ham United,40,00:00:01.949,Pass,
,,,,,,,,,,,,,,,1.818086,,,,,,,,,,,,,7e75acf8-e0f9-411b-8377-fd1f2039be2c,11,,,"[42.6, 70.3]",3754077,0,,,,,-2.0107954,,Right Foot,,,,"[28.1, 39.5]",,Ground Pass,,34.042473,,,Winston Reid,4280.0,,,,,,,1,From Kick Off,Carl Jenkinson,21254.0,Right Back,2,West Ham United,40,['64218114-2899-432d-a5a9-e5dc01a41a2b'],4,,,,,,,,,,,,,,,,,West Ham United,40,00:00:04.961,Pass,
,,,,,,,,,,,,,,,1.825688,,,,,,,,,,,,,fb4e4bcf-e9c0-4b14-ad20-4d91321da578,14,,,"[28.1, 39.5]",3754077,0,,,,,-1.2863287,,Right Foot,,,,"[38.1, 5.3]",,Ground Pass,,35.632008,,,Aaron Cresswell,3062.0,,,,,,,1,From Kick Off,Winston Reid,4280.0,Left Center Back,2,West Ham United,40,['4f64a84a-b484-4c46-9256-b1b280a85f44'],7,,,,,,,,,,,,,,,,,West Ham United,40,00:00:07.736,Pass,
