ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,ed987fa3-c3e1-4caf-b19c-b70bba54808a,1,,,,3754238,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AFC Bournemouth,28,,0,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 24888, 'name': 'Adam Federici'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 23}, {'player': {'id': 6409, 'name': 'Adam Smith'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 3608, 'name': 'Simon Francis'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 40218, 'name': 'Sylvain Distin'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 25}, {'player': {'id': 3345, 'name': 'Charlie Daniels'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 11}, {'player': {'id': 3049, 'name': 'Matt Ritchie'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 30}, {'player': {'id': 3344, 'name': 'Andrew Surman'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 3343, 'name': 'Dan Gosling'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 3463, 'name': 'Junior Stanislas'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 19}, {'player': {'id': 3304, 'name': 'Harry Arter'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 3346, 'name': 'Joshua King'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",AFC Bournemouth,28,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,5c0a75c3-8450-467d-af3c-09624dbb2487,2,,,,3754238,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AFC Bournemouth,28,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 3096, 'name': 'Rob Elliot'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 21}, {'player': {'id': 3650, 'name': 'Daryl Janmaat'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 3044, 'name': 'Chancel Mbemba Mangulu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 18}, {'player': {'id': 26207, 'name': 'Fabricio Coloccini'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 3065, 'name': 'Paul Dummett'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 3091, 'name': 'Moussa Sissoko'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 7}, {'player': {'id': 42900, 'name': 'Cheik Ismaël Tioté'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 24}, {'player': {'id': 16072, 'name': 'Vurnon Anita'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 3567, 'name': 'Georginio Wijnaldum'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 5}, {'player': {'id': 4269, 'name': 'Aleksandar Mitrović'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 45}, {'player': {'id': 3076, 'name': 'Ayoze Pérez Gutiérrez'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 17}]}",Newcastle United,37,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,b468a1e0-4c55-48ff-ab61-f03154e6ba5b,3,,,,3754238,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AFC Bournemouth,28,['6f26c183-37ca-476e-a724-624b01f8fbb0'],0,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,6f26c183-37ca-476e-a724-624b01f8fbb0,4,,,,3754238,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AFC Bournemouth,28,['b468a1e0-4c55-48ff-ab61-f03154e6ba5b'],0,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,dcb43c53-be2a-42da-9366-3dab45b42a8d,1784,,,,3754238,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,81,AFC Bournemouth,28,['c367e8ca-da71-4346-9024-961cc9016ffc'],0,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,c367e8ca-da71-4346-9024-961cc9016ffc,1785,,,,3754238,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,81,AFC Bournemouth,28,['dcb43c53-be2a-42da-9366-3dab45b42a8d'],0,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.832521,,,,,,,,,,,,28172a8e-ea70-4380-9c64-96a06ec79005,5,,,"[60.0, 40.0]",3754238,0,,,,,1.0460006,,Right Foot,,,"[61.1, 41.9]",,Ground Pass,,2.1954498,,,,Ayoze Pérez Gutiérrez,3076.0,,,,Kick Off,1,From Kick Off,Aleksandar Mitrović,4269.0,Right Center Forward,2,Newcastle United,37,['8a1b3ae6-a976-4e48-a84c-d93ae6821f18'],0,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:00.339,Pass,
,,,,,,,,,,,,,,,0.920446,,,,,,,,,,,,d5c804b9-e9ee-4c91-aa82-5bbb2f6c8ab6,8,,,"[61.3, 42.2]",3754238,0,,,,,2.8059542,,Right Foot,,,"[48.4, 46.7]",,Ground Pass,,13.662357,,,,Vurnon Anita,16072.0,,,,,1,From Kick Off,Ayoze Pérez Gutiérrez,3076.0,Left Center Forward,2,Newcastle United,37,['1993c179-8c44-4aac-bdb8-d7335a0cac37'],1,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:01.194,Pass,
,,,,,,,,,,,,,,,1.756723,,,,,,,,,,,,eca7c81c-497e-4e7f-8360-2cfea61fd883,11,,,"[49.3, 49.1]",3754238,0,,,,,1.9605875,,Left Foot,,,"[41.7, 67.6]",,Ground Pass,,20.00025,,,,Daryl Janmaat,3650.0,,,,,1,From Kick Off,Vurnon Anita,16072.0,Left Center Midfield,2,Newcastle United,37,['2b2cd6ad-859c-4336-8a63-5e1bd5d7d67d'],3,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:03.507,Pass,
,,,,,,,,,,,,,,,1.480547,,,,,,,,,,,,724a28a5-fe6d-48f3-adc5-7c9ec8c11be8,14,,,"[41.8, 67.6]",3754238,0,,,,,0.04469864,,Right Foot,,,"[73.1, 69.0]",,Low Pass,,31.331295,,,Incomplete,Moussa Sissoko,3091.0,,,,,1,From Kick Off,Daryl Janmaat,3650.0,Right Back,2,Newcastle United,37,"['405c0daf-36a3-46c7-a3d5-a80ab0fdda8d', '46c87139-b9b1-433c-8b6d-02458b95cb27']",6,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:06.077,Pass,
,,,,,,,,,,,,,,,0.867826,,,,,,,,,,,,384ef95c-6670-4852-9af5-ea332241b348,17,,,"[83.9, 80.0]",3754238,0,,,,,-0.560687,,,,,"[92.5, 74.6]",,Low Pass,,10.154801,,,,Moussa Sissoko,3091.0,,,,Throw-in,1,From Throw In,Daryl Janmaat,3650.0,Right Back,3,Newcastle United,37,['8ee77ad6-a87f-4d2f-8f82-b6c5466e8a28'],21,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:21.024,Pass,
,,,,,,,,,,,,,,,0.100989,,,,,,,,,,,,e869187b-b4cd-4a96-9a7d-c9a30411e393,21,,,"[90.2, 71.7]",3754238,0,,,,,2.067219,,Right Foot,,,"[88.9, 74.1]",,Ground Pass,,2.7294688,,,Incomplete,Daryl Janmaat,3650.0,,,,,1,From Throw In,Moussa Sissoko,3091.0,Right Midfield,3,Newcastle United,37,"['4089b8d6-ae8c-494a-94d2-9fca5db95202', '41e8bb8c-7abb-4f68-9444-e68555cf3a69', '4bd24081-044e-4f6a-bd93-5973d62c7992']",23,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:23.445,Pass,True
