ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,f1f5867a-6a94-415e-bf38-22730a209445,1,,,3754014,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Stoke City,30,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3537, 'name': 'Jack Butland'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4724, 'name': 'Glen Johnson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 8}, {'player': {'id': 4035, 'name': 'Ryan Shawcross'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 17}, {'player': {'id': 40121, 'name': 'Philipp Wollscheid'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 26}, {'player': {'id': 3467, 'name': 'Erik Pieters'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 3480, 'name': 'Geoff Cameron'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 9625, 'name': 'Glenn Whelan'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 3533, 'name': 'Xherdan Shaqiri'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 22}, {'player': {'id': 4891, 'name': 'Ibrahim Afellay'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 14}, {'player': {'id': 3325, 'name': 'Marko Arnautović'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 4913, 'name': 'Bojan Krkíc Pérez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 27}]}",Stoke City,30,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,5cf70435-cac4-4b68-99e8-b13f9ff8f03b,2,,,3754014,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Stoke City,30,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3333, 'name': 'David de Gea Quintana'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3612, 'name': 'Ashley Young'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 18}, {'player': {'id': 3314, 'name': 'Phil Jones'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 10958, 'name': 'Chris Smalling'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 12}, {'player': {'id': 3311, 'name': 'Daley Blind'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 17}, {'player': {'id': 4751, 'name': 'Michael Carrick'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 3606, 'name': 'Ander Herrera Agüera'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 3294, 'name': 'Juan Manuel Mata García'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 8}, {'player': {'id': 3296, 'name': 'Marouane Fellaini-Bakkioui'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 27}, {'player': {'id': 2988, 'name': 'Memphis Depay'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 20039, 'name': 'Anthony Martial'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Manchester United,39,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,c7913118-b8ba-488c-ac67-6418c0677e0c,3,,,3754014,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Stoke City,30,['b3557d32-b690-4d88-9b55-c576aa995e7e'],0,,,,,,,,,,,,,,,,,Stoke City,30,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,b3557d32-b690-4d88-9b55-c576aa995e7e,4,,,3754014,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Stoke City,30,['c7913118-b8ba-488c-ac67-6418c0677e0c'],0,,,,,,,,,,,,,,,,,Manchester United,39,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,8d15d8be-929f-4993-ac4c-400a339c35be,1482,,,3754014,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,90,Manchester United,39,['68cc4c2c-40a4-4223-b254-0577cf492de8'],0,,,,,,,,,,,,,,,,,Stoke City,30,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,68cc4c2c-40a4-4223-b254-0577cf492de8,1483,,,3754014,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,90,Manchester United,39,['8d15d8be-929f-4993-ac4c-400a339c35be'],0,,,,,,,,,,,,,,,,,Manchester United,39,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.587472,,,,,,,,,,,,,,301e66ea-09f1-44f1-a1e7-3fc30d6ded22,5,,"[61.0, 40.1]",3754014,0,,,,,-1.6421038,,Right Foot,,,,"[60.8, 37.3]",,Ground Pass,,2.8071337,,,,Ander Herrera Agüera,3606.0,,,,,Kick Off,1,From Kick Off,Anthony Martial,20039.0,Center Forward,2,Manchester United,39,['9a6b86c1-fdd3-4de8-af78-a40cd8b4cae2'],0,,,,,,,,,,,,,,,,,Manchester United,39,00:00:00.396,Pass,
,,,,,,,,,,,,,,,,,1.64781,,,,,,,,,,,,,,5b39b9d0-9d1f-45d1-90af-a0c844f14bca,8,,"[60.6, 37.3]",3754014,0,,,,,2.8005044,,Right Foot,,,,"[34.4, 46.6]",,Ground Pass,,27.801619,,,,Phil Jones,3314.0,,,,,,1,From Kick Off,Ander Herrera Agüera,3606.0,Left Center Midfield,2,Manchester United,39,['14c44715-5282-4482-8e04-121414380098'],0,,,,,,,,,,,,,,,,,Manchester United,39,00:00:00.992,Pass,
,,,,,,,,,,,,,,,,,3.201909,,,,,,,,,,,,,,23523854-4559-4b3b-ab0f-903d191e8d52,11,,"[39.0, 47.2]",3754014,0,,,,,-0.5826479,,Right Foot,,,,"[90.9, 13.0]",,High Pass,,62.15505,,Incomplete,,Marouane Fellaini-Bakkioui,3296.0,,,,,,1,From Kick Off,Phil Jones,3314.0,Right Center Back,2,Manchester United,39,"['3ed49a70-221d-4e27-9ea0-054fecab148b', 'cd2d243a-edb4-456a-9092-57676e48e930']",4,,,,,,,,,,,,,,,,,Manchester United,39,00:00:04.131,Pass,
,,,,,,,,,,,,,,,,,1.272542,,,,,,,,,,,,,,6a9de738-a8eb-4814-9a6d-0d96063e8993,14,,"[101.3, 0.1]",3754014,0,,,,,2.6934476,,,,,,"[85.7, 7.6]",,Low Pass,,17.309246,,,,Ander Herrera Agüera,3606.0,,,,,Throw-in,1,From Throw In,Daley Blind,3311.0,Left Back,3,Manchester United,39,['f704dff5-8551-4ec8-a81e-9cf8c226a5fc'],16,,,,,,,,,,,,,,,,,Manchester United,39,00:00:16.890,Pass,
