ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6e7792ba-a010-478a-bb59-92114f3923e6,1,,,3753977,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Watford,23,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 3522, 'name': 'Heurelho da Silva Gomes'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3991, 'name': 'Allan Romeo Nyom'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 3263, 'name': 'Craig Cathcart'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 3288, 'name': 'Miguel Ángel Britos Cabrera'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 3306, 'name': 'Nathan Aké'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 16}, {'player': {'id': 5540, 'name': 'Valon Behrami'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 23488, 'name': 'Mario Suárez Mata'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 6870, 'name': 'José Manuel Jurado Marín'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 7}, {'player': {'id': 3721, 'name': 'Etienne Capoue'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 29}, {'player': {'id': 5458, 'name': 'Odion Jude Ighalo'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 24}, {'player': {'id': 3454, 'name': 'Troy Deeney'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Watford,23,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,fe3328de-afe4-4fd1-af41-9ef225c6c852,2,,,3753977,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Watford,23,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3537, 'name': 'Jack Butland'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3643, 'name': 'Phil Bardsley'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 3480, 'name': 'Geoff Cameron'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 20}, {'player': {'id': 40121, 'name': 'Philipp Wollscheid'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 26}, {'player': {'id': 6560, 'name': 'Marc Muniesa Martínez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 5}, {'player': {'id': 9625, 'name': 'Glenn Whelan'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 4346, 'name': 'Gilbert Gianelli Imbula Wanga'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 3670, 'name': 'Jonathan Walters'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 4891, 'name': 'Ibrahim Afellay'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 14}, {'player': {'id': 3325, 'name': 'Marko Arnautović'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 3265, 'name': 'José Luis Sanmartín Mato'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Stoke City,30,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,39f160a0-d600-4072-a18c-63ff68165ecc,3,,,3753977,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Watford,23,['4bc4d63b-bb9c-44b9-b9b4-83b8d54b016a'],0,,,,,,,,,,,,,,,,,,Stoke City,30,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4bc4d63b-bb9c-44b9-b9b4-83b8d54b016a,4,,,3753977,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Watford,23,['39f160a0-d600-4072-a18c-63ff68165ecc'],0,,,,,,,,,,,,,,,,,,Watford,23,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c603cbcb-301a-4225-b380-0ac3f46e02c1,1735,,,3753977,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,104,Watford,23,['00faa886-19b5-411a-83c6-f3c91dfa2668'],0,,,,,,,,,,,,,,,,,,Watford,23,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,00faa886-19b5-411a-83c6-f3c91dfa2668,1736,,,3753977,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,104,Watford,23,['c603cbcb-301a-4225-b380-0ac3f46e02c1'],0,,,,,,,,,,,,,,,,,,Stoke City,30,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.817371,,,,,,,,,,,,,dace63b3-314a-4c05-86a8-819730e67146,5,,"[61.0, 40.1]",3753977,0,,,,,2.0852478,,Right Foot,,,"[59.7, 42.4]",,Ground Pass,,2.641969,,,,,Gilbert Gianelli Imbula Wanga,4346.0,,,,,,Kick Off,1,From Kick Off,Ibrahim Afellay,4891.0,Center Attacking Midfield,2,Stoke City,30,['dd367364-ac94-45b2-b58c-c5f5af8586c8'],0,,,,,,,,,,,,,,,,,,Stoke City,30,00:00:00.292,Pass,
,,,,,,,,,,,,,,0.912553,,,,,,,,,,,,,6137d5a0-2bc7-46f7-a808-cecc5286739d,8,,"[58.9, 43.0]",3753977,0,,,,,-2.6387494,,Left Foot,,,"[52.9, 39.7]",,Ground Pass,,6.847627,,,,,Glenn Whelan,9625.0,,,,,,,1,From Kick Off,Gilbert Gianelli Imbula Wanga,4346.0,Left Defensive Midfield,2,Stoke City,30,['64eda904-7cd6-49e4-ad9b-d87c61a946c9'],1,,,,,,,,,,,,,,,,,,Stoke City,30,00:00:01.189,Pass,
,,,,,,,,,,,,,,5.070229,,,,,,,,,,,,,6cb407fd-5412-46d1-9165-a53560d129a6,11,,"[52.9, 41.1]",3753977,0,,,,,0.61209434,,Right Foot,,,"[101.9, 75.5]",,High Pass,,59.869526,,,Incomplete,,José Luis Sanmartín Mato,3265.0,,,,,,,1,From Kick Off,Glenn Whelan,9625.0,Right Defensive Midfield,2,Stoke City,30,"['0130c677-7221-4aa8-9e7b-057a1afb53e3', 'a38489fe-3dc9-4e0c-8f8f-c9aa9b5a33e3']",3,,,,,,,,,,,,,,,,,,Stoke City,30,00:00:03.303,Pass,
,,,,,,,,,,,,,,3.404207,,,,,,,,,,,,,5d768ccc-1f43-44f0-b1f5-8a309c69e9de,16,,"[27.7, 0.1]",3753977,0,,,,,0.117610335,,,,,"[62.4, 4.2]",,High Pass,,34.94138,,,Incomplete,,Troy Deeney,3454.0,,,,,,Throw-in,1,From Throw In,Nathan Aké,3306.0,Left Back,3,Watford,23,"['373e2bf0-2f31-438a-9cd3-6e2ed295afe3', 'ee4dcdbf-c7f5-4c6c-9f14-9012b6547d24']",22,,,,,,,,,,,,,,,,,,Watford,23,00:00:22.768,Pass,
