ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,0833092e-5bb9-4d37-bca6-e64195d1f8b7,1727,,"[91.2, 53.9]",3753993,46,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Jeremain Lens,16457.0,Left Midfield,100,Sunderland,41,['fc3bdeee-94e6-499c-bd0b-ac02c5de649b'],17,,,,,,,,,,,,,,,,Sunderland,41,00:01:17.609,Dribble,True
,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,865823fa-8dbd-4f5f-a6ce-708e23294dfa,1821,,"[115.1, 74.8]",3753993,49,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Steven Whittaker,11124.0,Right Back,110,Norwich City,56,['5b456a10-b95f-45d7-81c2-7704eaa85fee'],39,,,,,,,,,,,,,,,,Norwich City,56,00:04:39.174,Dribble,True
,,,,,,,,,,True,Complete,,,,0.0,,,,,,,,,,,,0e15da5e-f1ba-44a1-be23-a1e1bcdaa9f6,1906,,"[72.8, 19.0]",3753993,51,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Lee Cattermole,10783.0,Right Defensive Midfield,113,Sunderland,41,"['456a2451-0580-4646-8020-7554ddb0f679', 'dcbd1a73-612e-490f-ab2f-01b3edcf61d9']",18,,,,,,,,,,,,,,,,Sunderland,41,00:06:18.016,Dribble,True
,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,23343177-c18d-40ce-9bbc-d7ea74944fc3,2081,,"[77.3, 18.3]",3753993,55,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Robert Brady,10967.0,Left Back,128,Norwich City,56,['6c30f0e0-1453-45f3-b68d-3087c0663bad'],59,,,,,,,,,,,,,,,,Norwich City,56,00:10:59.286,Dribble,True
,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,fb0027e8-c1ec-481b-8593-a42bf90ce870,2119,,"[83.1, 39.9]",3753993,56,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Cameron Jerome,4807.0,Center Forward,130,Norwich City,56,['3c9da0d2-3b03-4ce2-8507-733a2c18849b'],29,,,,,,,,,,,,,,,,Norwich City,56,00:11:29.346,Dribble,True
,,,,,,,,,,,Incomplete,,,,0.0,,,,,,,,,,,,95073429-1930-4373-b4d9-db8d7c1a5c68,2240,,"[50.3, 9.6]",3753993,59,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Robert Brady,10967.0,Left Back,135,Sunderland,41,['19a7cc45-1cdc-41ed-908f-a1adef4a9d03'],19,,,,,,,,,,,,,,,,Norwich City,56,00:14:19.635,Dribble,True
,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,a3dd0268-020e-4538-b9b0-2984012a8a5c,2261,,"[79.0, 49.1]",3753993,60,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Nathan Redmond,3286.0,Right Wing,137,Norwich City,56,['df47179b-c288-4e6f-8ea6-2eaadc604f11'],1,,,,,,,,,,,,,,,,Norwich City,56,00:15:01.525,Dribble,True
,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,b606e7e6-c0f0-4ad8-acba-7679681503d8,2275,,"[105.1, 46.1]",3753993,60,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Wes Hoolahan,10966.0,Center Attacking Midfield,137,Norwich City,56,"['2a7c385e-6b25-4e95-92cc-e9281e26e328', '75d81fa1-d490-4247-bcb1-e66ffdf3f21a', 'bdd6e064-30ac-4d82-adb6-66095e672c46']",16,,,,,,,,,,,,,,,,Norwich City,56,00:15:16.808,Dribble,True
,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,566f02ee-3e8c-4c15-afb6-5c1382cdbed0,2347,,"[80.0, 44.7]",3753993,62,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Jermain Defoe,3337.0,Left Center Forward,138,Sunderland,41,['f5d41c82-311e-4626-9abe-d72e9a8636a0'],9,,,,,,,,,,,,,,,,Sunderland,41,00:17:09.455,Dribble,True
,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,f68eb3cb-d280-4b18-a5f7-1991b443f8ad,2365,,"[41.1, 57.7]",3753993,62,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Nathan Redmond,3286.0,Right Wing,139,Norwich City,56,['496c3eb3-ec34-4b1c-9406-7cb683952ba4'],16,,,,,,,,,,,,,,,,Norwich City,56,00:17:16.665,Dribble,True
