ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ffddafcc-1dac-4165-969e-9cd743a6c740,1,,,3754271,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Watford,23,,0,,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 3522, 'name': 'Heurelho da Silva Gomes'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 36983, 'name': 'Juan Carlos Paredes Reasco'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 14}, {'player': {'id': 3263, 'name': 'Craig Cathcart'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 3288, 'name': 'Miguel Ángel Britos Cabrera'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 3306, 'name': 'Nathan Aké'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 16}, {'player': {'id': 3626, 'name': 'Ben Watson'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 3721, 'name': 'Etienne Capoue'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 29}, {'player': {'id': 5540, 'name': 'Valon Behrami'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 6870, 'name': 'José Manuel Jurado Marín'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 3454, 'name': 'Troy Deeney'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 5458, 'name': 'Odion Jude Ighalo'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 24}]}",Watford,23,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,df353d0b-dbe2-44dd-9c97-9a00497c46de,2,,,3754271,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Watford,23,,0,,,,,,,,,,,,,,,,,"{'formation': 3421, 'lineup': [{'player': {'id': 3096, 'name': 'Rob Elliot'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 21}, {'player': {'id': 3081, 'name': 'Jamaal Lascelles'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 26207, 'name': 'Fabricio Coloccini'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 2}, {'player': {'id': 3044, 'name': 'Chancel Mbemba Mangulu'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 18}, {'player': {'id': 3650, 'name': 'Daryl Janmaat'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 22}, {'player': {'id': 3391, 'name': 'Rolando Aarons'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 16}, {'player': {'id': 3057, 'name': 'Jonjo Shelvey'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 5110, 'name': 'Henri Saivet'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 3091, 'name': 'Moussa Sissoko'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 3567, 'name': 'Georginio Wijnaldum'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 5}, {'player': {'id': 4269, 'name': 'Aleksandar Mitrović'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 45}]}",Newcastle United,37,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ac0a513e-ff14-4e09-8e2d-594327bcedcb,3,,,3754271,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Watford,23,['0a61dbbc-3325-4953-8f24-124cfc750512'],0,,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0a61dbbc-3325-4953-8f24-124cfc750512,4,,,3754271,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Watford,23,['ac0a513e-ff14-4e09-8e2d-594327bcedcb'],0,,,,,,,,,,,,,,,,,,Watford,23,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,06d63887-93fb-46ad-82f6-969cbfe87c34,2081,,,3754271,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,105,Newcastle United,37,['daca42fb-4683-422e-9986-76c41c629f65'],0,,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,daca42fb-4683-422e-9986-76c41c629f65,2082,,,3754271,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,105,Newcastle United,37,['06d63887-93fb-46ad-82f6-969cbfe87c34'],0,,,,,,,,,,,,,,,,,,Watford,23,00:00:00.000,Half Start,
,,,,,,,,,,,,,,2.734292,,,,,,,,,,,,,bf7e6967-85f4-43d1-b60f-30511eba307f,5,,"[61.0, 40.1]",3754271,0,,,,,-2.7294688,,Left Foot,,,,"[42.7, 32.1]",,Ground Pass,,19.97223,,,Ben Watson,3626.0,,,,,Kick Off,1,From Kick Off,José Manuel Jurado Marín,6870.0,Center Attacking Midfield,2,Watford,23,['50b4e7c2-9818-440f-a724-453fc7879c09'],0,,,,,,,,,,,,,,,,,,Watford,23,00:00:00.854,Pass,
,,,,,,,,,,,,,,3.235756,,,,,,,,,,,,,179041b1-0cc9-4777-8246-1c00a9d77c38,7,,"[45.9, 34.2]",3754271,0,,,,,0.5569567,,Right Foot,,,,"[95.2, 64.9]",,High Pass,,58.077362,Incomplete,,,,,,,,,1,From Kick Off,Ben Watson,3626.0,Center Defensive Midfield,2,Watford,23,['3247e8f9-afe4-47b5-9ac3-084db33d381d'],3,,,,,,,,,,,,,,,,,,Watford,23,00:00:03.588,Pass,
,,,,,,,,,,,,,,3.042831,,,,,,,,,,,,,3247e8f9-afe4-47b5-9ac3-084db33d381d,8,,"[24.9, 15.2]",3754271,0,,,,,-0.3616407,,Head,,,,"[51.6, 5.1]",,High Pass,,28.546453,,,Rolando Aarons,3391.0,,,,,Recovery,1,Regular Play,Chancel Mbemba Mangulu,3044.0,Left Center Back,3,Newcastle United,37,"['179041b1-0cc9-4777-8246-1c00a9d77c38', '2b3e484b-b027-4087-bcb6-d224e6ea6f68']",6,,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:06.824,Pass,
,,,,,,,,,,,,,,1.24683,,,,,,,,,,,,,bd75487c-5b9f-4961-8a26-6b09d6887c8f,11,,"[49.4, 3.1]",3754271,0,,,,True,-0.19739556,,,,,,"[54.4, 2.1]",,Low Pass,,5.0990195,Incomplete,,Georginio Wijnaldum,3567.0,,,,,,1,Regular Play,Rolando Aarons,3391.0,Left Wing Back,3,Newcastle United,37,"['40c452ba-9399-4354-9f77-bb5de2bdf865', 'a558e121-43e6-4a83-8e94-3f47e13ab901', 'e2b0e5e0-d250-449e-811c-4e5dbd884c21']",9,,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:09.867,Pass,True
