50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,1.166334,,,,,,,,,,,,,,0bec5903-c188-42ed-b0b6-2eb551e73bac,22,,"[34.1, 58.6]",3753992,0,,,,,-1.6832235,,Right Foot,,,,"[32.0, 40.0]",,Ground Pass,,18.718172,,,Jan Vertonghen,3077.0,,,,,,,1,From Kick Off,Eric Dier,10956.0,Right Defensive Midfield,2,Tottenham Hotspur,38,['03901c8b-8355-43d0-b246-0277e434d3a9'],10,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:10.907,Pass,
,,,,,,,,,,,,,,,,,,2.506625,,,,,,,,,,,,,,952cef89-03e5-4bd7-8053-a596a90b8672,25,,"[33.3, 40.0]",3753992,0,,,,,-1.0200028,,Left Foot,,,,"[53.2, 7.6]",,Ground Pass,,38.02328,,,Danny Rose,3594.0,,,,,,,1,From Kick Off,Jan Vertonghen,3077.0,Left Center Back,2,Tottenham Hotspur,38,['58dfe163-a5f1-4b59-9426-c62ce77c4e20'],12,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:12.986,Pass,
,,,,,,,,,,,,,,,,,,1.474476,,,,,,,,,,,,,,e6a10a86-35d1-4eda-88b4-c65a4f31bf70,28,,"[53.3, 14.4]",3753992,0,,,,,2.6360116,,Left Foot,,,,"[42.1, 20.6]",,Ground Pass,,12.801562,,,Jan Vertonghen,3077.0,,,,,,,1,From Kick Off,Danny Rose,3594.0,Left Back,2,Tottenham Hotspur,38,['ae01b8d4-c34e-4804-b6f2-46b6334fa83d'],19,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:19.337,Pass,
,,,,,,,,,,,,,,,,,,1.081117,,,,,,,,,,,,,,76bd8d25-9496-4ff2-b610-2ed3d5ab7d65,31,,"[41.5, 22.0]",3753992,0,,,,,-1.0246297,,Left Foot,,,,"[47.7, 11.8]",,Ground Pass,,11.936499,,,Danny Rose,3594.0,,,,,,,1,From Kick Off,Jan Vertonghen,3077.0,Left Center Back,2,Tottenham Hotspur,38,['247a0add-2169-415b-82f8-a410164bf627'],22,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:22.658,Pass,
,,,,,,,,,,,,,,,,,,1.128101,,,,,,,,,,,,,,4077d678-7c98-4ea0-9cd3-ae86ea099d56,34,,"[47.1, 11.5]",3753992,0,,,,,-0.0865885,,Left Foot,,,,"[75.9, 9.0]",,Ground Pass,,28.908304,,,Harry Kane,10955.0,,,,,,,1,From Kick Off,Danny Rose,3594.0,Left Back,2,Tottenham Hotspur,38,['79c05d59-b042-41a3-834f-65814022e98d'],24,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:24.572,Pass,
,,,,,,,,,,,,,,,,,,0.711595,,,,,,,,,,,,,,ea29db68-97c2-4f51-816f-10e438751575,43,,"[46.2, 74.5]",3753992,0,,,,,-0.75092906,,Right Foot,,,,"[49.2, 71.7]",,Ground Pass,,4.103657,,,Rhu-endly Martina,3590.0,,,,,,,1,Regular Play,Sadio Mané,3629.0,Right Wing,3,Southampton,25,"['2dacc4dc-9d14-4d5a-8c71-e76274709328', '4c2e2fdb-43b3-48a8-a0a9-6604f0c8aea7']",30,,,,,,,,,,,,,,,,Southampton,25,00:00:30.401,Pass,True
,,,,,,,,,,,,,,,,,,0.516464,,,,,,,,,,,,,,d384b913-6795-4d62-a309-15de8ff7cf24,46,,"[49.2, 71.7]",3753992,0,,,,,-0.9324765,,Right Foot,,,,"[51.5, 68.6]",,Ground Pass,,3.8600519,,,Victor Wanyama,3098.0,,,,,,,1,Regular Play,Rhu-endly Martina,3590.0,Right Back,3,Southampton,25,['53b18333-4782-41a4-b9dd-bc54bd0c2ac1'],31,,,,,,,,,,,,,,,,Southampton,25,00:00:31.540,Pass,
,,,,,,,,,,,,,,,,,,1.582203,,,,,,,,,,,,,,dd581be5-5631-4b9e-b6b9-68548137e984,50,,"[55.3, 69.9]",3753992,0,,,,,0.6368933,,Left Foot,,,,"[62.6, 75.3]",,Ground Pass,,9.080198,,,Sadio Mané,3629.0,,,,,,,1,Regular Play,Victor Wanyama,3098.0,Right Defensive Midfield,3,Southampton,25,"['5e3c42c5-363f-494d-9d16-4914f9dbeb73', 'e954ad49-7c2e-4425-9858-b56b1074dcc4']",33,,,,,,,,,,,,,,,,Southampton,25,00:00:33.232,Pass,True
,,,,,,,,,,,,,,,,,,3.529951,,,,,,,,,,,,,,32307575-844f-4d7d-a09a-13376533e5da,53,,"[62.6, 76.3]",3753992,0,,,,,-0.3809248,,Right Foot,,,,"[103.8, 59.8]",,High Pass,,44.38119,Incomplete,,Shane Long,3842.0,,,,,,,1,Regular Play,Sadio Mané,3629.0,Right Wing,3,Southampton,25,"['6973e4e3-db8d-4d3d-a170-cbf8caaa8373', 'ebb541fb-4a9b-4d57-ab31-916361ad53b9']",35,,,,,,,,,,,,,,,,Southampton,25,00:00:35.628,Pass,
,,,,,,,,,,,,,,,,,,1.320452,,,,,,,,,,,,,,c7bd4ccb-58c2-47aa-9986-734790c47e52,58,,"[98.1, 80.0]",3753992,0,,,,,-0.90454936,,,,,,"[110.6, 64.1]",,High Pass,,20.225231,,,Shane Long,3842.0,,,,,,Throw-in,1,From Throw In,Rhu-endly Martina,3590.0,Right Back,4,Southampton,25,['e7d9bb33-b7fb-45c7-b7a9-a57fc3b5af8e'],56,,,,,,,,,,,,,,,,Southampton,25,00:00:56.952,Pass,
