bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.047755,,,,,,,,,,,,06c1c7fc-4995-442a-8d1f-e84347d9462a,217,,"[96.7, 18.8]",3754089,5,,,,True,1.8925469,,,,,,"[93.5, 28.4]",,High Pass,,10.119288,,,,,Damien Delaney,3693.0,,,,,,1,From Free Kick,Scott Dann,3407.0,Right Center Back,15,Crystal Palace,31,"['0da505a9-ae5a-4845-ad3c-0c2210f414c3', '7a5bb09f-674d-4194-962e-352920a6e48c']",40,,,,,,,,,,,,,,,,,Crystal Palace,31,00:05:40.356,Pass,True
,,,,,,,,,,,,,,,,0.813818,,,,,,,,,,,,1a024a13-e3ab-442e-9e28-0d04db6eeabc,220,,"[92.3, 29.0]",3754089,5,,,,,-2.9594243,,Left Foot,,,,"[80.9, 26.9]",,Ground Pass,,11.591807,,,,,Chung-Yong Lee,3326.0,,,,,,1,From Free Kick,Damien Delaney,3693.0,Left Center Back,15,Crystal Palace,31,['d074c7fa-b5b4-4d3e-a6da-e61a8e6c7df3'],42,,,,,,,,,,,,,,,,,Crystal Palace,31,00:05:42.181,Pass,
,,,,,,,,,,,,,,,,2.583876,,,,,,,,,,,,b3830398-f49f-4d48-9e68-2a395b9d263d,223,,"[77.3, 27.7]",3754089,5,,,,,1.1166421,,Right Foot,,,,"[95.9, 65.8]",,High Pass,,42.39776,,,Incomplete,,Wilfried Zaha,3507.0,,,,,,1,From Free Kick,Chung-Yong Lee,3326.0,Left Wing,15,Crystal Palace,31,"['cb5527ab-f7ac-4aba-a69f-da840afa6b1a', 'e94db95a-ccc4-4ead-a2a1-a9577b5b3a81']",43,,,,,,,,,,,,,,,,,Crystal Palace,31,00:05:43.965,Pass,
,,,,,,,,,,,,,,,,1.188688,,,,,,,,,,,,d65f1cb3-bc23-49a7-ab0a-961ad4cba5da,226,,"[91.6, 80.0]",3754089,5,,True,,,-2.1356013,,,,,,"[85.2, 69.9]",,Low Pass,,11.957006,,,,,James McArthur,3464.0,,,,,Throw-in,1,From Throw In,Wilfried Zaha,3507.0,Right Wing,16,Crystal Palace,31,['bc5a9045-c366-4fbd-b21c-f483e1874d70'],52,,,,,,,,,,,,,,,,,Crystal Palace,31,00:05:52.473,Pass,
,,,,,,,,,,,,,,,,0.802176,,,,,,,,,,,,24e211f7-6fe1-4dae-bf50-4afb9c23049c,229,,"[64.0, 72.4]",3754089,5,,,,,-0.61253756,,Right Foot,,,,"[78.8, 62.0]",,Low Pass,,18.08867,,,,,Jason Puncheon,19688.0,,,,,,1,From Throw In,James McArthur,3464.0,Left Defensive Midfield,16,Crystal Palace,31,"['a4218eff-f56f-4129-8291-d42b05fcff30', 'e34a8c17-2f34-4876-a7ae-57307ef93d92']",58,,,,,,,,,,,,,,,,,Crystal Palace,31,00:05:58.711,Pass,True
,,,,,,,,,,,,,,,,2.864076,,,,,,,,,,,,5222f556-2b47-4338-96bb-26b642bcd9bb,233,,"[42.4, 28.2]",3754089,6,,,,,1.4086382,,Left Foot,,,,"[49.5, 71.6]",,High Pass,,43.976925,,,,,Adam Smith,6409.0,,True,,,Recovery,1,Regular Play,Andrew Surman,3344.0,Center Defensive Midfield,17,AFC Bournemouth,28,['9f392b0a-75cc-4cba-9f05-aa415f99294c'],2,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:06:02.318,Pass,
,,,,,,,,,,,,,,,,0.958889,,,,,,,,,,,,2bc90c4a-687f-4c3e-94d0-7d817e7658b1,236,,"[53.1, 74.6]",3754089,6,,,,,-2.745903,,Right Foot,,,,"[37.3, 68.0]",,Ground Pass,,17.123083,,,,,Simon Francis,3608.0,,,,,,1,Regular Play,Adam Smith,6409.0,Right Back,17,AFC Bournemouth,28,['513ddd02-9a9b-4eff-a2fc-117f69937ddf'],9,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:06:09.543,Pass,
,,,,,,,,,,,,,,,,2.782909,,,,,,,,,,,,9f58a015-8662-4dfc-a9da-462d38fb07a5,240,,"[43.2, 75.9]",3754089,6,,,,,-2.4635246,,Left Foot,,,,"[10.3, 49.4]",,Ground Pass,,42.245235,,,,,Artur Boruc,20074.0,,,,,,1,Regular Play,Simon Francis,3608.0,Right Center Back,17,AFC Bournemouth,28,"['4736b4b2-6871-4538-a44d-de5bac50b183', 'e6610dcf-f66c-4195-a247-bad32a19b264']",17,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:06:17.941,Pass,True
,,,,,,,,,,,,,,,,1.991269,,,,,,,,,,,,22740666-b374-4219-ad89-4675046ae3fd,243,,"[12.4, 47.9]",3754089,6,,,,,-1.0602033,,Right Foot,,,,"[28.7, 18.8]",,Ground Pass,,33.35416,,,,,Steve Cook,3341.0,,,,,,1,Regular Play,Artur Boruc,20074.0,Goalkeeper,17,AFC Bournemouth,28,['fd835dcf-6383-4e57-92f9-9be598cf2b66'],22,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:06:22.102,Pass,
,,,,,,,,,,,,,,,,1.071348,,,,,,,,,,,,2f24aaa3-19cc-4c25-8b88-63c9ee8ee7d5,247,,"[55.4, 14.3]",3754089,6,,,,,-0.66377914,,Right Foot,,,,"[65.5, 6.4]",,Ground Pass,,12.822637,,,,,Charlie Daniels,3345.0,,,,,,1,Regular Play,Steve Cook,3341.0,Left Center Back,17,AFC Bournemouth,28,['c55f1ed3-d049-4a7c-8dd6-406fca07cff9'],27,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:06:27.493,Pass,
