50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,39508337-f2d7-4c46-9c42-ec75caaa609b,1,,,3754241,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Ham United,40,,0,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 3623, 'name': 'Adrián San Miguel del Castillo'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 3316, 'name': 'James Tomkins'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 4280, 'name': 'Winston Reid'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 2}, {'player': {'id': 3843, 'name': 'Angelo Obinze Ogbonna'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 21}, {'player': {'id': 3349, 'name': 'Michail Antonio'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 30}, {'player': {'id': 3062, 'name': 'Aaron Cresswell'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 3}, {'player': {'id': 3684, 'name': 'Cheikhou Kouyaté'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3874, 'name': 'Mark Noble'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 3595, 'name': 'Manuel Lanzini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 28}, {'player': {'id': 3491, 'name': 'Dimitri Payet'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 27}, {'player': {'id': 4271, 'name': 'Andy Carroll'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",West Ham United,40,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,76f4faa4-5413-46eb-8f64-7c29ced05f01,2,,,3754241,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Ham United,40,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 4276, 'name': 'David Ospina Ramírez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 3511, 'name': 'Héctor Bellerín Moruno'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 24}, {'player': {'id': 6746, 'name': 'Gabriel Armando de Abreu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 3394, 'name': 'Laurent Koscielny'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 3498, 'name': 'Ignacio Monreal Eraso'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 3568, 'name': 'Mohamed Naser Elsayed Elneny'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 35}, {'player': {'id': 3437, 'name': 'Francis Joseph Coquelin'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 34}, {'player': {'id': 3385, 'name': 'Alexis Alejandro Sánchez Sánchez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 3496, 'name': 'Mesut Özil'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 11}, {'player': {'id': 3647, 'name': 'Alex Iwobi'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 45}, {'player': {'id': 3569, 'name': 'Daniel Nii Tackie Mensah Welbeck'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 23}]}",Arsenal,1,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,51b3a7fe-a117-4a41-a7f7-45a3260bce23,3,,,3754241,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Ham United,40,['b3986606-5e3c-4dc3-bc61-e8c082533ab8'],0,,,,,,,,,,,,,,,,Arsenal,1,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,b3986606-5e3c-4dc3-bc61-e8c082533ab8,4,,,3754241,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Ham United,40,['51b3a7fe-a117-4a41-a7f7-45a3260bce23'],0,,,,,,,,,,,,,,,,West Ham United,40,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,10b25798-f911-4202-b907-eaa2a9f10a4c,1692,,,3754241,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,109,West Ham United,40,['e1678308-7a22-4aca-b80c-90fb1b0cc849'],0,,,,,,,,,,,,,,,,Arsenal,1,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,e1678308-7a22-4aca-b80c-90fb1b0cc849,1693,,,3754241,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,109,West Ham United,40,['10b25798-f911-4202-b907-eaa2a9f10a4c'],0,,,,,,,,,,,,,,,,West Ham United,40,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.142109,,,,,,,,,,,,50f2f629-e899-42b1-bef2-73db2147e235,5,,"[61.0, 40.1]",3754241,0,,,,,-2.4980915,,Right Foot,,,,"[60.2, 39.5]",,Ground Pass,,1.0,,,,,Manuel Lanzini,3595.0,,,,,,Kick Off,1,From Kick Off,Andy Carroll,4271.0,Center Forward,2,West Ham United,40,['e05261b0-2289-497a-b727-bb5742c33c6a'],0,,,,,,,,,,,,,,,,West Ham United,40,00:00:00.145,Pass,
,,,,,,,,,,,,,,,2.400745,,,,,,,,,,,,bb93f1b6-a6de-4792-9bd1-150ee7c3640b,8,,"[69.8, 34.0]",3754241,0,,,,,-2.010639,,Right Foot,,,,"[57.0, 6.8]",,Ground Pass,,30.061272,,,,,Aaron Cresswell,3062.0,,,,,,,1,From Kick Off,Manuel Lanzini,3595.0,Right Wing,2,West Ham United,40,['1eb31fe9-cedc-4d40-9546-28d859ac9ded'],3,,,,,,,,,,,,,,,,West Ham United,40,00:00:03.558,Pass,
,,,,,,,,,,,,,,,1.838036,,,,,,,,,,,,f2c9b4a3-913f-40cf-854b-f1b380efb61b,11,,"[55.5, 8.3]",3754241,0,,,,,2.827554,,Left Foot,,,,"[32.1, 15.9]",,Ground Pass,,24.603252,,,,,Angelo Obinze Ogbonna,3843.0,,,,,,,1,From Kick Off,Aaron Cresswell,3062.0,Left Wing Back,2,West Ham United,40,['f34cfd5d-27a1-4482-9dee-cc2d2cc117bf'],6,,,,,,,,,,,,,,,,West Ham United,40,00:00:06.794,Pass,
,,,,,,,,,,,,,,,1.249622,,,,,,,,,,,,7cfcb196-50a5-4727-b03a-65a3c647e98e,14,,"[39.9, 17.6]",3754241,0,,,,,0.8060849,,Left Foot,,,,"[47.0, 25.0]",,Ground Pass,,10.255242,,,,,Mark Noble,3874.0,,,,,,,1,From Kick Off,Angelo Obinze Ogbonna,3843.0,Left Center Back,2,West Ham United,40,['694ed883-9fe7-4381-add1-96289c2b8458'],13,,,,,,,,,,,,,,,,West Ham United,40,00:00:13.527,Pass,
