50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,31fa0add-7804-4f10-a6be-30bebd2b4877,1,,,3754242,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AFC Bournemouth,28,,0,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 20074, 'name': 'Artur Boruc'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3608, 'name': 'Simon Francis'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 9626, 'name': 'Tommy Elphick'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 3341, 'name': 'Steve Cook'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 3345, 'name': 'Charlie Daniels'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 11}, {'player': {'id': 3343, 'name': 'Dan Gosling'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 3344, 'name': 'Andrew Surman'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 3463, 'name': 'Junior Stanislas'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 19}, {'player': {'id': 3646, 'name': 'Marc Pugh'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 9593, 'name': 'Lewis Grabban'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 28}, {'player': {'id': 3346, 'name': 'Joshua King'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",AFC Bournemouth,28,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,94d995b0-06ae-45ff-b05a-139ecc8807a3,2,,,3754242,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AFC Bournemouth,28,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3339, 'name': 'Asmir Begović'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3957, 'name': 'César Azpilicueta Tanco'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 28}, {'player': {'id': 5475, 'name': 'John Michael Nchekwube Obinna'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 12}, {'player': {'id': 5594, 'name': 'Branislav Ivanović'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 12325, 'name': 'Abdul Rahman Baba'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 6}, {'player': {'id': 3478, 'name': 'Francesc Fàbregas i Soler'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 3381, 'name': 'Nemanja Matić'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 3958, 'name': 'Pedro Eliezer Rodríguez Ledesma'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 3621, 'name': 'Eden Hazard'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 3472, 'name': 'Willian Borges da Silva'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 22}, {'player': {'id': 5198, 'name': 'Diego da Silva Costa'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Chelsea,33,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,1f9e2965-eede-4ced-9891-b54726289d36,3,,,3754242,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AFC Bournemouth,28,['3021712d-fa42-4deb-be9c-ae12d34a99ad'],0,,,,,,,,,,,,,,,,,Chelsea,33,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,3021712d-fa42-4deb-be9c-ae12d34a99ad,4,,,3754242,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AFC Bournemouth,28,['1f9e2965-eede-4ced-9891-b54726289d36'],0,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,528ed67e-88d8-411c-8cfa-32d44c1ccf81,1916,,,3754242,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,109,AFC Bournemouth,28,['14f109d7-d8c3-43f1-be93-0d5f770e36a6'],0,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,14f109d7-d8c3-43f1-be93-0d5f770e36a6,1917,,,3754242,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,109,AFC Bournemouth,28,['528ed67e-88d8-411c-8cfa-32d44c1ccf81'],0,,,,,,,,,,,,,,,,,Chelsea,33,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.32,,,,,,,,,,,,c5ccf362-4af0-4508-9520-708c6ed3dfbb,5,,"[60.0, 40.0]",3754242,0,,,,,-1.217806,,Right Foot,,,,"[60.7, 38.1]",,Ground Pass,,2.0248456,,,Willian Borges da Silva,3472.0,,,,,Kick Off,1,From Kick Off,Diego da Silva Costa,5198.0,Center Forward,2,Chelsea,33,['e931902a-087d-42f7-86f6-0aebeae9a9d1'],0,,,,,,,,,,,,,,,,,Chelsea,33,00:00:00.407,Pass,
,,,,,,,,,,,,,,,,0.865048,,,,,,,,,,,,f324378e-3248-488c-b265-0115b0f16d3f,8,,"[58.2, 37.7]",3754242,0,,,,,3.0548544,,Right Foot,,,,"[53.6, 38.1]",,Ground Pass,,4.6173587,,,Francesc Fàbregas i Soler,3478.0,,,,,,1,From Kick Off,Willian Borges da Silva,3472.0,Left Wing,2,Chelsea,33,['cabab881-3d60-4056-b450-feb07e7f3d5a'],0,,,,,,,,,,,,,,,,,Chelsea,33,00:00:00.807,Pass,
,,,,,,,,,,,,,,,,1.725626,,,,,,,,,,,,a57af6f4-d465-45b8-b3fe-1b04afabccf2,12,,"[54.8, 37.7]",3754242,0,,,,,1.9824677,,Right Foot,,,,"[42.4, 66.1]",,Ground Pass,,30.98903,,,César Azpilicueta Tanco,3957.0,,,,,,1,From Kick Off,Francesc Fàbregas i Soler,3478.0,Right Defensive Midfield,2,Chelsea,33,"['1d4f31f9-42ed-4256-9292-fbfd82220530', '5511d759-58bf-4d0c-aab9-ca9da78626cb']",1,,,,,,,,,,,,,,,,,Chelsea,33,00:00:01.712,Pass,True
,,,,,,,,,,,,,,,,6.53918,,,,,,,,,,,,43b2df0f-badc-467a-b790-0ba6b7bc34ec,15,,"[47.3, 64.8]",3754242,0,,,,,-0.7764915,,Right Foot,,,,"[109.6, 3.6]",,High Pass,,87.331154,Incomplete,,Eden Hazard,3621.0,,True,,,,1,From Kick Off,César Azpilicueta Tanco,3957.0,Right Back,2,Chelsea,33,"['13d8dacb-073f-4e32-8a70-d1b231d43a9e', 'ac01ef1f-9e47-429c-962b-85e1aa4d1a3c']",5,,,,,,,,,,,,,,,,,Chelsea,33,00:00:05.768,Pass,
