50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.540451,,,,,,,,,c1156ef3-7c25-4d2c-9143-24099ef9031b,2228,,,"[86.3, 55.4]",3754045,56,,,,-1.7738415,,Left Foot,,,,"[85.6, 52.0]",Ground Pass,,3.471311,,,,Kevin De Bruyne,3089.0,,,,,Free Kick,2,From Free Kick,David Josué Jiménez Silva,3064.0,Center Attacking Midfield,122,Manchester City,36,['947bbade-2522-4946-b663-60da69eb456f'],5,,,,,,,,,,,,,,,,,Manchester City,36,00:11:05.395,Pass,
,,,,,,,,,,,,,,,,,,0.194033,,,,,,,,,037ae500-9e05-4d23-b18f-d5321fc2d4df,2231,,,"[85.6, 52.0]",3754045,56,,,,-0.7292774,,Right Foot,,,,"[90.3, 47.8]",High Pass,,6.303174,,Incomplete,,,,,,,,,2,From Free Kick,Kevin De Bruyne,3089.0,Right Wing,122,Manchester City,36,['d476f4cb-5a7a-4024-b3a3-b51ebb323d0e'],6,,,,,,,,,,,,,,,,,Manchester City,36,00:11:06.016,Pass,
,,,,,,,,,,,,,,,,,,1.377606,,,,,,,,,e4422c7e-a9de-45c7-9a09-fcfd76aebd26,2236,,,"[32.1, 0.1]",3754045,56,True,,,1.1499242,,,,,,"[36.8, 10.6]",Low Pass,,11.503912,,,,Danny Drinkwater,3662.0,,,,,Throw-in,2,From Throw In,Christian Fuchs,3812.0,Left Back,123,Leicester City,22,['5e89f12f-33f0-4cf2-82cc-e7b5a765b4bf'],21,,,,,,,,,,,,,,,,,Leicester City,22,00:11:21.148,Pass,
,,,,,,,,,,,,,,,,,,0.894712,,,,,,,,,bdb2add3-3223-46bc-a62f-5c2d67da747e,2238,,,"[36.8, 10.6]",3754045,56,,,,-1.9731175,,Right Foot,,,,"[34.8, 5.9]",Ground Pass,,5.107837,,,,Christian Fuchs,3812.0,,,,,,2,From Throw In,Danny Drinkwater,3662.0,Right Center Midfield,123,Leicester City,22,['76c0932e-a4cc-4e4a-99e0-3aed918625b4'],23,,,,,,,,,,,,,,,,,Leicester City,22,00:11:23.016,Pass,
,,,,,,,,,,,,,,,,,,1.244758,,,,,,,,,979b71a8-2f97-4ef8-af56-89231807415e,2241,,,"[34.8, 5.9]",3754045,56,,,,-0.042377442,,Left Foot,,,,"[63.1, 4.7]",Ground Pass,,28.32543,,,,Marc Albrighton,3307.0,,,,,,2,From Throw In,Christian Fuchs,3812.0,Left Back,123,Leicester City,22,['92498a9d-14fd-4780-99ac-41def8f46d67'],25,,,,,,,,,,,,,,,,,Leicester City,22,00:11:25.190,Pass,
,,,,,,,,,,,,,,,,,,0.091851,,,,,,,,,e3767945-708f-4745-b177-16d52a0f17e9,2244,,,"[63.1, 4.7]",3754045,56,,,,1.9919164,,Right Foot,,,,"[58.8, 14.3]",Low Pass,,10.519031,,,,N''Golo Kanté,3961.0,,,,,,2,From Throw In,Marc Albrighton,3307.0,Left Midfield,123,Leicester City,22,['6223136d-f511-4ce4-95c8-8032581cb851'],26,,,,,,,,,,,,,,,,,Leicester City,22,00:11:26.939,Pass,
,,,,,,,,,,,,,,,,,,0.793967,,,,,,,,,7a913af9-37db-47c1-a0c9-09bb2c2e804b,2247,,,"[58.8, 14.3]",3754045,56,,,,2.7994368,,Right Foot,,,,"[51.5, 16.9]",Ground Pass,,7.7491937,,,,Danny Drinkwater,3662.0,,,,,,2,From Throw In,N''Golo Kanté,3961.0,Left Center Midfield,123,Leicester City,22,['ae146647-74a4-497c-832a-d32a3ceabc69'],28,,,,,,,,,,,,,,,,,Leicester City,22,00:11:28.093,Pass,
,,,,,,,,,,,,,,,,,,2.285179,,,,,,,,,35a6d49f-a96a-4697-841c-942d9488953e,2250,,,"[50.3, 11.7]",3754045,56,,,,-0.110892236,,Left Foot,,,,"[97.0, 6.5]",High Pass,,46.988617,,Incomplete,,Jamie Vardy,10960.0,,,,,,2,From Throw In,Danny Drinkwater,3662.0,Right Center Midfield,123,Leicester City,22,"['9f9353bc-8686-4316-aee2-aee1c3a38ec8', 'cf01f742-7982-4d39-92d7-3d2e058b54cb']",30,,,,,,,,,,,,,,,,,Leicester City,22,00:11:30.128,Pass,
,,,,,,,,,,,,,,,,,,0.946535,,,,,,,,,b433a4d4-2d13-43a6-b48a-dbdb59a7aefb,2253,,,"[97.9, 0.1]",3754045,57,,,,1.5707964,,,,,,"[97.9, 12.7]",Low Pass,,12.6,,,,N''Golo Kanté,3961.0,,,,,Throw-in,2,From Throw In,Christian Fuchs,3812.0,Left Back,124,Leicester City,22,['3c2971dc-fd36-4a45-8836-1947655a42e8'],1,,,,,,,,,,,,,,,,,Leicester City,22,00:12:01.925,Pass,
,,,,,,,,,,,,,,,,,,0.909566,,,,,,,,,1f71e283-ab2b-4ea8-b0a4-89b5542234ef,2255,,,"[97.9, 12.7]",3754045,57,,,,-1.2742505,,Right Foot,,,,"[99.0, 9.1]",Low Pass,,3.764306,,,,Christian Fuchs,3812.0,,,,,,2,From Throw In,N''Golo Kanté,3961.0,Left Center Midfield,124,Leicester City,22,['b3cb73f8-a4e4-4dad-b25c-cf6150cf6345'],2,,,,,,,,,,,,,,,,,Leicester City,22,00:12:02.871,Pass,
,,,,,,,,,,,,,,,,,,1.202132,,,,,,,,,08c006d2-7b88-41a3-b355-e5362e038080,2258,,,"[99.0, 9.1]",3754045,57,,,,-0.24347942,,Left Foot,,,,"[114.7, 5.2]",Low Pass,,16.177145,,Pass Offside,,Marc Albrighton,3307.0,,,,,,2,From Throw In,Christian Fuchs,3812.0,Left Back,124,Leicester City,22,['860d520e-16bb-49c0-a801-34dfe643fbec'],4,,,,,,,,,,,,,,,,,Leicester City,22,00:12:04.100,Pass,
,,,,,,,,,,,,,,,,,,2.187722,,,,,,,,,cb1ddd00-dbf8-4060-989e-519c2319a957,2260,,,"[11.1, 74.7]",3754045,57,True,,,-0.32297453,,Right Foot,,,,"[84.6, 50.1]",High Pass,,77.507484,,Incomplete,,,,,,,,Free Kick,2,From Free Kick,Joe Hart,3291.0,Goalkeeper,125,Manchester City,36,['873cb5c8-1427-4c5d-9f53-45d7b1f6afc1'],34,,,,,,,,,,,,,,,,,Manchester City,36,00:12:34.729,Pass,
,,,,,,,,,,,,,,,,,,0.739575,,,,,,,,,1318c0c8-fbbe-405a-aab0-f849955106b9,2263,,,"[46.5, 28.6]",3754045,57,,,,0.86217004,,Head,,,,"[50.1, 32.8]",Low Pass,,5.531727,,,,Danny Drinkwater,3662.0,,,,,Recovery,2,From Free Kick,Gökhan İnler,20230.0,Center Defensive Midfield,125,Manchester City,36,['a161a55c-14b4-4133-937c-d05438be86f2'],40,,,,,,,,,,,,,,,,,Leicester City,22,00:12:40.172,Pass,
,,,,,,,,,,,,,,,,,,0.137375,,,,,,,,,40258a27-cfac-4b67-920c-8569742d0a30,2267,,,"[49.6, 34.0]",3754045,57,,,,-1.7016237,,Left Foot,,,,"[49.1, 30.2]",Ground Pass,,3.8327537,,Incomplete,,Gökhan İnler,20230.0,,,,,,2,From Free Kick,Danny Drinkwater,3662.0,Right Center Midfield,125,Manchester City,36,"['334282bd-3ed0-49be-86c8-97cb1e0365f6', '54aa2c27-88db-4ef0-894d-7774e9f741a5']",41,,,,,,,,,,,,,,,,,Leicester City,22,00:12:41.777,Pass,
,,,,,,,,,,,,,,,,,,1.275781,,,,,,,,,8ca3b666-6b00-4e38-b32f-3f6939f2e938,2272,,,"[78.1, 56.5]",3754045,57,,,,1.3429393,,Right Foot,,,,"[79.7, 63.4]",Ground Pass,,7.0830784,,,,Kevin De Bruyne,3089.0,,,,,,2,From Free Kick,Fernando Luiz Rosa,3054.0,Left Defensive Midfield,125,Manchester City,36,['d09ebe25-d20b-4d71-b34d-058295907f4d'],43,,,,,,,,,,,,,,,,,Manchester City,36,00:12:43.395,Pass,
,,,,,,,,,,,,,,,,,,1.468102,,,,,,,,,b94c2a08-3333-4574-b50c-98267259c169,2276,,,"[80.2, 62.7]",3754045,57,,,,-1.8230016,,Right Foot,,,,"[73.5, 36.7]",Ground Pass,,26.849394,,Incomplete,,David Josué Jiménez Silva,3064.0,,,,,,2,From Free Kick,Kevin De Bruyne,3089.0,Right Wing,125,Manchester City,36,"['1ae3767f-1576-4ce8-b03d-98bd3596289b', '655a4979-9c29-487d-9e39-1dbdb18c0a6e', 'af7b2ffc-1e00-41ee-b6c9-c8096f5d18e3']",45,,,,,,,,,,,,,,,,,Manchester City,36,00:12:45.755,Pass,True
,,,,,,,,,,,,,,,,,,1.248271,,,,,,,,,c5b492db-3013-43dd-a8c6-191e1565d01e,2290,,,"[61.0, 65.5]",3754045,57,,,,-0.5356234,,Right Foot,,,,"[85.6, 50.9]",High Pass,,28.606293,,Incomplete,,Sergio Leonel Agüero del Castillo,3237.0,,,,,,2,From Free Kick,Fernando Luiz Rosa,3054.0,Left Defensive Midfield,125,Manchester City,36,"['1b3a4caf-bf3e-4687-b66d-d5cc11efffd7', '5eb1b730-6c1e-4adf-ac5c-bb211e01e8be', '933f3365-0e65-4487-aff9-61105676876e']",55,,,,,,,,,,,,,,,,,Manchester City,36,00:12:55.221,Pass,True
,,,,,,,,,,,,True,,,,,,2.734148,,,,,,,,,5eb1b730-6c1e-4adf-ac5c-bb211e01e8be,2292,,,"[34.5, 29.2]",3754045,57,,,,3.030168,,Head,,,,"[5.9, 32.4]",Low Pass,,28.778463,,,,Kasper Schmeichel,3815.0,,,,,Interception,2,Regular Play,Robert Huth,40123.0,Left Center Back,126,Leicester City,22,"['91f1d2bc-2190-4b7b-8ab4-5b523a234bb6', 'c5b492db-3013-43dd-a8c6-191e1565d01e']",56,,,,,,,,,,,,,,,,,Leicester City,22,00:12:56.469,Pass,
,,,,,,,,,,,,,,,,,,3.369037,,,,,,,,,2b14768e-a953-4698-993d-9646305b4b0d,2297,,,"[20.1, 47.5]",3754045,58,,,,-0.031855684,,Right Foot,,,,"[86.0, 45.4]",High Pass,,65.93345,,,,Jamie Vardy,10960.0,,,,,,2,Regular Play,Kasper Schmeichel,3815.0,Goalkeeper,126,Leicester City,22,['34242350-1f9b-40b3-bf33-c2b108bb8617'],10,,,,,,,,,,,,,,,,,Leicester City,22,00:13:10.633,Pass,
,,,,,,,,,,,,,,,,,,0.956989,,,,,,,,,ef382586-099b-4ac0-aff5-ae19925dd667,2301,,,"[85.6, 46.0]",3754045,58,,,,1.5584513,,Right Foot,,,,"[85.8, 62.2]",Low Pass,,16.201235,,,,Riyad Mahrez,3814.0,,,,,,2,Regular Play,Jamie Vardy,10960.0,Center Forward,126,Leicester City,22,['98e51b16-95c4-40f0-bb63-b3b6b49b07cb'],15,,,,,,,,,,,,,,,,,Leicester City,22,00:13:15.145,Pass,
,,,,,,,,,,,,,,,,,,0.817643,,,,,,,,,ba4dc8e9-e84f-45b2-97a7-bf366bdca3d1,2304,,,"[80.6, 63.6]",3754045,58,,,,-2.4572978,,Left Foot,,,,"[73.0, 57.4]",Ground Pass,,9.80816,,,,Danny Drinkwater,3662.0,,,,,,2,Regular Play,Riyad Mahrez,3814.0,Right Midfield,126,Leicester City,22,['67759c87-7f11-4628-9750-6a81c4402ace'],18,,,,,,,,,,,,,,,,,Leicester City,22,00:13:18.100,Pass,
