bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1103f716-9bca-44ac-a864-772c5312f606,1,,,3754092,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea,33,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3339, 'name': 'Asmir Begović'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5594, 'name': 'Branislav Ivanović'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 3645, 'name': 'Gary Cahill'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 24}, {'player': {'id': 20287, 'name': 'John Terry'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 26}, {'player': {'id': 3957, 'name': 'César Azpilicueta Tanco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 28}, {'player': {'id': 5475, 'name': 'John Michael Nchekwube Obinna'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 3381, 'name': 'Nemanja Matić'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 3472, 'name': 'Willian Borges da Silva'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 22}, {'player': {'id': 3478, 'name': 'Francesc Fàbregas i Soler'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 4}, {'player': {'id': 3958, 'name': 'Pedro Eliezer Rodríguez Ledesma'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 5198, 'name': 'Diego da Silva Costa'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Chelsea,33,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,577319cc-ae4e-4dfa-9515-94d272a820fc,2,,,3754092,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea,33,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3099, 'name': 'Hugo Lloris'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3205, 'name': 'Kyle Walker'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 20005, 'name': 'Toby Alderweireld'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 3077, 'name': 'Jan Vertonghen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 3594, 'name': 'Danny Rose'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 10956, 'name': 'Eric Dier'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 3037, 'name': 'Mousa Sidi Yaya Dembélé'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 3083, 'name': 'Heung-Min Son'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 3043, 'name': 'Christian Dannemann Eriksen'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 23}, {'player': {'id': 3585, 'name': 'Erik Lamela'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 10955, 'name': 'Harry Kane'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Tottenham Hotspur,38,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9d95c23f-19ed-48e5-91dc-d87169db0524,3,,,3754092,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea,33,['cf0ccdde-a986-45e4-85b3-16c6bad517d2'],0,,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,cf0ccdde-a986-45e4-85b3-16c6bad517d2,4,,,3754092,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea,33,['9d95c23f-19ed-48e5-91dc-d87169db0524'],0,,,,,,,,,,,,,,,,,,Chelsea,33,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2a46a97d-6196-4490-8815-9d3593751242,1607,,,3754092,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,97,Tottenham Hotspur,38,['59dae661-7e0a-408d-9e83-fd2a3f6a74c6'],0,,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,59dae661-7e0a-408d-9e83-fd2a3f6a74c6,1608,,,3754092,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,97,Tottenham Hotspur,38,['2a46a97d-6196-4490-8815-9d3593751242'],0,,,,,,,,,,,,,,,,,,Chelsea,33,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.612464,,,,,,,,,,,,,22bf2981-d11c-4cb6-8b24-737fb0747037,5,,"[60.0, 40.0]",3754092,0,,,,,1.6052654,,Right Foot,,,,"[59.9, 42.9]",,Ground Pass,,2.9017236,,,Francesc Fàbregas i Soler,3478.0,,,,,,Kick Off,1,From Kick Off,Diego da Silva Costa,5198.0,Center Forward,2,Chelsea,33,['0c44a6da-0642-4300-93c5-f15dfc5917c7'],0,,,,,,,,,,,,,,,,,,Chelsea,33,00:00:00.770,Pass,
,,,,,,,,,,,,,,2.370301,,,,,,,,,,,,,d47b303d-a697-4e5e-a9dd-fe3ade1dc76a,8,,"[58.2, 42.2]",3754092,0,,,,,2.5738149,,Right Foot,,,,"[39.7, 54.0]",,Ground Pass,,21.94288,,,Gary Cahill,3645.0,,,,,,,1,From Kick Off,Francesc Fàbregas i Soler,3478.0,Center Attacking Midfield,2,Chelsea,33,['9dd06031-a586-4857-8b88-51aa61b7946c'],2,,,,,,,,,,,,,,,,,,Chelsea,33,00:00:02.115,Pass,
,,,,,,,,,,,,,,3.058065,,,,,,,,,,,,,86d04c65-4421-43d4-8cff-a8b3b3b9ac4a,12,,"[38.1, 57.1]",3754092,0,,,,,0.45289534,,Right Foot,,,,"[75.5, 75.3]",,High Pass,,41.59327,,,Branislav Ivanović,5594.0,,,,,,,1,From Kick Off,Gary Cahill,3645.0,Right Center Back,2,Chelsea,33,"['29352289-96cf-4082-b4ee-83ec8154575d', '49bb0c77-717e-4211-a266-30b4bce8d47e']",5,,,,,,,,,,,,,,,,,,Chelsea,33,00:00:05.024,Pass,True
,,,,,,,,,,,,,,2.533719,,,,,,,,,,,,,d690bdb0-22d6-451f-a7c1-53013a7853d4,15,,"[76.6, 75.4]",3754092,0,,,,True,0.18633756,,,,,,"[101.0, 80.0]",,Low Pass,,24.82982,Out,,,,,,,,,,1,From Kick Off,Branislav Ivanović,5594.0,Right Back,2,Chelsea,33,['116eb011-b1f3-45f7-b15c-3d671260b17e'],8,,,,,,,,,,,,,,,,,,Chelsea,33,00:00:08.082,Pass,True
