ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,cc2c59c8-d30c-4905-99a9-aed6d15564b6,1,,,,3754166,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Everton,29,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 13042, 'name': 'Tim Howard'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 24}, {'player': {'id': 4589, 'name': 'Séamus Coleman'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 3244, 'name': 'John Stones'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 4629, 'name': 'José Ramiro Funes Mori'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 25}, {'player': {'id': 3518, 'name': 'Leighton Baines'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 3633, 'name': 'Gareth Barry'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 4275, 'name': 'Ross Barkley'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 3683, 'name': 'Tom Cleverley'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 3726, 'name': 'Gerard Deulofeu Lázaro'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 26696, 'name': 'Arouna Koné'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 9}, {'player': {'id': 3289, 'name': 'Romelu Lukaku Menama'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Everton,29,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,57aeb9ef-d743-4f7b-b623-a65dd21eae40,2,,,,3754166,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Everton,29,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 3815, 'name': 'Kasper Schmeichel'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3270, 'name': 'Danny Simpson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 17}, {'player': {'id': 7884, 'name': 'Marcin Ryszard Wasilewski'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 27}, {'player': {'id': 3813, 'name': 'Wes Morgan'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 3812, 'name': 'Christian Fuchs'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 28}, {'player': {'id': 3665, 'name': 'Andrew Philip King'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 3961, 'name': ""N''Golo Kanté""}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 3814, 'name': 'Riyad Mahrez'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 26}, {'player': {'id': 3307, 'name': 'Marc Albrighton'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 3810, 'name': 'Shinji Okazaki'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 20}, {'player': {'id': 10960, 'name': 'Jamie Vardy'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Leicester City,22,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0f147165-2b52-4fce-8630-78c429ec0eaa,3,,,,3754166,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Everton,29,['1b96b5a9-43a4-41a0-beff-40dc9b5247e7'],0,,,,,,,,,,,,,,,,,Everton,29,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,1b96b5a9-43a4-41a0-beff-40dc9b5247e7,4,,,,3754166,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Everton,29,['0f147165-2b52-4fce-8630-78c429ec0eaa'],0,,,,,,,,,,,,,,,,,Leicester City,22,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,065ec41c-2d62-416f-8528-94718f6f7490,1646,,,,3754166,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,100,Leicester City,22,['0854bc25-94f7-452b-ae89-ae504aa0fe94'],0,,,,,,,,,,,,,,,,,Everton,29,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0854bc25-94f7-452b-ae89-ae504aa0fe94,1647,,,,3754166,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,100,Leicester City,22,['065ec41c-2d62-416f-8528-94718f6f7490'],0,,,,,,,,,,,,,,,,,Leicester City,22,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.537211,,,,,,,,,,,,,,,3825054a-78d8-4a93-8640-224a073316c5,5,,,"[60.0, 40.0]",3754166,0,,,,,1.5707964,,Right Foot,,,,"[60.0, 40.9]",,Ground Pass,,0.9,,,N''Golo Kanté,3961.0,,,,,Kick Off,1,From Kick Off,Shinji Okazaki,3810.0,Right Center Forward,2,Leicester City,22,['72468ad3-6f69-4f02-b021-f79083186aa7'],0,,,,,,,,,,,,,,,,,Leicester City,22,00:00:00.359,Pass,
,,,,,,,,,,,,,,,,,1.046584,,,,,,,,,,,,,,,de90d29b-723c-4f28-ad34-e009e0715d60,7,,,"[59.6, 41.8]",3754166,0,,,,,-2.2018757,,Right Foot,,,,"[55.8, 36.6]",,Ground Pass,,6.440497,,,Andrew Philip King,3665.0,,,,,,1,From Kick Off,N''Golo Kanté,3961.0,Left Defensive Midfield,2,Leicester City,22,['150a15e4-d25f-4ff4-b187-5cb2e0a4aa0c'],0,,,,,,,,,,,,,,,,,Leicester City,22,00:00:00.896,Pass,
,,,,,,,,,,,,,,,,,3.146457,,,,,,,,,,,,,,,e9f5a456-f347-43f8-9187-8aec66ebfdd0,9,,,"[55.8, 36.6]",3754166,0,,,,,0.8651257,,Right Foot,,,,"[91.5, 78.5]",,High Pass,,55.046345,,Out,,,,True,,,,1,From Kick Off,Andrew Philip King,3665.0,Right Defensive Midfield,2,Leicester City,22,,1,,,,,,,,,,,,,,,,,Leicester City,22,00:00:01.942,Pass,
,,,,,,,,,,,,,,,,,1.112339,,,,,,,,,,,,,,,2e75f41f-20ad-4567-97be-e59c20ed3faa,10,,,"[34.0, 0.1]",3754166,0,,,,,0.38050637,,,,,,"[48.5, 5.9]",,High Pass,,15.616978,,,Arouna Koné,26696.0,,,,,Throw-in,1,From Throw In,Leighton Baines,3518.0,Left Back,3,Everton,29,['5b8bb57f-b65f-4537-9aa5-a0d609b6124e'],12,,,,,,,,,,,,,,,,,Everton,29,00:00:12.468,Pass,
