50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,1.0084,,,,,,,,,,,,,8a2257ae-83f1-4e14-9cb8-6961e167eb56,958,,"[70.9, 71.6]",3754303,24,,,,-1.5072457,,Right Foot,,,,"[71.6, 60.6]",,Ground Pass,,11.02225,,,,Leon Britton,4631.0,,,,,,,1,From Throw In,Jack Frank Porteous Cork,3462.0,Right Center Midfield,52,Swansea City,26,['3c52d3ef-56e8-4474-9e56-e416470a38a2'],55,,,,,,,,,,,,,,,,Swansea City,26,00:24:55.331,Pass,
,,,,,,,,,,,,,,,,,,,0.9239,,,,,,,,,,,,,56dc6126-724e-4c75-a25d-6d24d0afc5b5,961,,"[72.5, 61.7]",3754303,24,,,,1.6222972,,Right Foot,,,,"[72.0, 71.4]",,Ground Pass,,9.712878,,,,Jack Frank Porteous Cork,3462.0,,,,,,,1,From Throw In,Leon Britton,4631.0,Center Defensive Midfield,52,Swansea City,26,['e6bbf875-9796-4681-a933-770dc1d93a49'],56,,,,,,,,,,,,,,,,Swansea City,26,00:24:56.927,Pass,
,,,,,,,,,,,,,,,,,,,0.7254,,,,,,,,,,,,,3672cc44-c7be-4951-b2e0-7bd43fcf5dc9,964,,"[71.5, 74.9]",3754303,24,,,,0.049958397,,Right Foot,,,,"[83.5, 75.5]",,Ground Pass,,12.014991,,,,Àngel Rangel Zaragoza,3973.0,,,,,,,1,From Throw In,Jack Frank Porteous Cork,3462.0,Right Center Midfield,52,Swansea City,26,['506bae49-d19c-4261-90a8-a1f95528bc0c'],58,,,,,,,,,,,,,,,,Swansea City,26,00:24:58.751,Pass,
,,,,,,,,,,,,,,,,,,,2.5567,,,,,,,,,,,,,79a055de-303d-4b95-8262-bf2a60e038fc,966,,"[83.5, 75.7]",3754303,24,,,,-2.9939568,,Right Foot,,,,"[64.0, 72.8]",,Ground Pass,,19.714462,,,,Jack Frank Porteous Cork,3462.0,,,,,,,1,From Throw In,Àngel Rangel Zaragoza,3973.0,Right Back,52,Swansea City,26,['ed7662b3-5c40-4e8f-9d13-29e4e0ba3074'],59,,,,,,,,,,,,,,,,Swansea City,26,00:24:59.476,Pass,
,,,,,,,,,,,,,,,,,,,2.1473,,,,,,,,,,,,,33d036e7-d032-4880-9f16-d7b2e972d465,968,,"[62.3, 71.1]",3754303,25,,,,-1.4751981,,Left Foot,,,,"[65.1, 41.9]",,Ground Pass,,29.333939,,,,Ashley Williams,3644.0,,,,,,,1,From Throw In,Jack Frank Porteous Cork,3462.0,Right Center Midfield,52,Swansea City,26,['ec851e78-d63c-4610-8e76-fca8a357e3af'],2,,,,,,,,,,,,,,,,Swansea City,26,00:25:02.033,Pass,
,,,,,,,,,,,,,,,,,,,2.458223,,,,,,,,,,,,,b91e67d7-3c4b-427d-b12a-13ee9775228a,971,,"[77.3, 44.4]",3754303,25,,,,0.29727992,,Right Foot,,,,"[94.6, 49.7]",,Ground Pass,,18.093645,,Incomplete,,Wayne Routledge,3449.0,,,,,,,1,From Throw In,Ashley Williams,3644.0,Left Center Back,52,Swansea City,26,"['755de57a-37c7-4787-aec2-0c420773d5a5', '9d585e37-5786-4259-a543-17fba5a70c1b']",7,,,,,,,,,,,,,,,,Swansea City,26,00:25:07.206,Pass,
,,,,,,,,,,,,,,,,,,,0.207373,,,,,,,,,,,,,50103f82-131b-45c0-8c52-389eb66b286d,976,,"[21.3, 54.3]",3754303,25,,,,0.20539539,,Right Foot,,,,"[23.7, 54.8]",,Low Pass,,2.4515302,,Incomplete,,,,,,,,,,1,Regular Play,Joel Ward,3443.0,Right Back,53,Crystal Palace,31,['1b19010b-5bd0-492f-8073-6fe18e8c2dd7'],10,,,,,,,,,,,,,,,,Crystal Palace,31,00:25:10.845,Pass,
,,,,,,,,,,,,,,,,,,,0.715131,,,,,,,,,,,,,816fc481-063d-4d9b-a267-913f13eaa224,982,,"[29.4, 80.0]",3754303,25,,,,-1.9133772,,,,,,"[24.3, 65.7]",,Low Pass,,15.182226,,,,Yohan Cabaye,3277.0,,,,,,Throw-in,1,From Throw In,Joel Ward,3443.0,Right Back,54,Crystal Palace,31,['d5be97b6-601b-42a0-a607-aa17b933bc33'],30,,,,,,,,,,,,,,,,Crystal Palace,31,00:25:30.051,Pass,
,,,,,,,,,,,,,,,,,,,0.783636,,,,,,,,,,,,,54544c15-8a4b-492d-a5fe-a0038dc85ffc,986,,"[23.9, 66.4]",3754303,25,,,,1.1016843,,Right Foot,,,,"[27.6, 73.7]",,Low Pass,,8.184131,,,,Joel Ward,3443.0,,,,,,,1,From Throw In,Yohan Cabaye,3277.0,Right Defensive Midfield,54,Crystal Palace,31,"['636f38f0-a578-4c9e-af1d-8f2135b95886', 'b3e1e270-f033-4989-818c-ca1e88728652']",30,,,,,,,,,,,,,,,,Crystal Palace,31,00:25:30.846,Pass,True
,,,,,,,,,,,,,,,,,,,1.846194,,,,,,,,,,,,,8215631a-17aa-446d-876b-e1f5d575a561,989,,"[29.9, 70.0]",3754303,25,,,,-0.22377466,,Right Foot,,,,"[73.4, 60.1]",,High Pass,,44.61233,,Incomplete,,Wilfried Zaha,3507.0,,,,,,,1,From Throw In,Joel Ward,3443.0,Right Back,54,Crystal Palace,31,"['188d0cda-a306-4a98-833b-8776d9f4caac', 'cf18c973-ccad-4acc-b42e-c5da11007eb0']",33,,,,,,,,,,,,,,,,Crystal Palace,31,00:25:33.537,Pass,
