ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,player_off_permanent,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c10c6ff9-b8af-40d9-b29b-3c46e60b356a,1,,,,3754135,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,,1,Stoke City,30,,0,,,,,,,,,,,,,,,"{'formation': 451, 'lineup': [{'player': {'id': 3537, 'name': 'Jack Butland'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4724, 'name': 'Glen Johnson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 8}, {'player': {'id': 4035, 'name': 'Ryan Shawcross'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 17}, {'player': {'id': 40121, 'name': 'Philipp Wollscheid'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 26}, {'player': {'id': 3467, 'name': 'Erik Pieters'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 9625, 'name': 'Glenn Whelan'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 3533, 'name': 'Xherdan Shaqiri'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 22}, {'player': {'id': 3480, 'name': 'Geoff Cameron'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 4891, 'name': 'Ibrahim Afellay'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 3325, 'name': 'Marko Arnautović'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 4913, 'name': 'Bojan Krkíc Pérez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 27}]}",Stoke City,30,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,59751881-318b-408f-bc3d-6acc00f52f76,2,,,,3754135,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,,1,Stoke City,30,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3291, 'name': 'Joe Hart'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 7110, 'name': 'Bacary Sagna'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 19288, 'name': 'Martín Gastón Demichelis'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 26}, {'player': {'id': 3090, 'name': 'Nicolás Hernán Otamendi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 30}, {'player': {'id': 5596, 'name': 'Aleksandar Kolarov'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 11}, {'player': {'id': 16003, 'name': 'Fernando Francisco Reges'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 3054, 'name': 'Fernando Luiz Rosa'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 25}, {'player': {'id': 3089, 'name': 'Kevin De Bruyne'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 3064, 'name': 'David Josué Jiménez Silva'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 21}, {'player': {'id': 3233, 'name': 'Raheem Sterling'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 3598, 'name': 'Wilfried Guemiand Bony'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 14}]}",Manchester City,36,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8248c251-6c1e-4ac0-a814-ac459e0a1e82,3,,,,3754135,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,,1,Stoke City,30,['ae15b5a5-3c16-461c-9f6f-760c7d3ec92d'],0,,,,,,,,,,,,,,,,Manchester City,36,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ae15b5a5-3c16-461c-9f6f-760c7d3ec92d,4,,,,3754135,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,,1,Stoke City,30,['8248c251-6c1e-4ac0-a814-ac459e0a1e82'],0,,,,,,,,,,,,,,,,Stoke City,30,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,3b26b237-f1b5-4d4a-a2e9-5c8c1dbcdd45,1796,,,,3754135,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,,93,Stoke City,30,['60064ca9-4f5a-415e-972f-e44d9cdc9ef8'],0,,,,,,,,,,,,,,,,Stoke City,30,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,60064ca9-4f5a-415e-972f-e44d9cdc9ef8,1797,,,,3754135,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,,93,Stoke City,30,['3b26b237-f1b5-4d4a-a2e9-5c8c1dbcdd45'],0,,,,,,,,,,,,,,,,Manchester City,36,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.39179,,,,,,,,,,,,,2cd455b8-262e-4520-b932-797254c4dad2,5,,,"[61.0, 40.1]",3754135,0,,,,,1.7761917,,Right Foot,,,"[60.5, 42.5]",,Ground Pass,2.4515302,,,,Wilfried Guemiand Bony,3598.0,,,,,,Kick Off,1,From Kick Off,David Josué Jiménez Silva,3064.0,,Center Attacking Midfield,2,Manchester City,36,['e2c31959-3550-4d04-bb8a-911349b041fe'],0,,,,,,,,,,,,,,,,Manchester City,36,00:00:00.527,Pass,
,,,,,,,,,,,,,,,,1.482283,,,,,,,,,,,,,5462e0ca-8689-41df-b349-c3b9e76226cb,7,,,"[60.8, 42.5]",3754135,0,,,,,-2.2195513,,Right Foot,,,"[53.9, 33.4]",,Ground Pass,11.420157,,,,Fernando Luiz Rosa,3054.0,,,,,,,1,From Kick Off,Wilfried Guemiand Bony,3598.0,,Center Forward,2,Manchester City,36,['b20339ec-59cd-459a-9b26-a1538163b038'],0,,,,,,,,,,,,,,,,Manchester City,36,00:00:00.919,Pass,
,,,,,,,,,,,,,,,,1.661421,,,,,,,,,,,,,bbfe9907-afb4-46eb-8731-2e2ecd5df03f,10,,,"[53.6, 31.6]",3754135,0,,,,,-1.7864702,,Right Foot,,,"[47.4, 3.3]",,Ground Pass,28.971193,,,,Aleksandar Kolarov,5596.0,,,,,,,1,From Kick Off,Fernando Luiz Rosa,3054.0,,Left Defensive Midfield,2,Manchester City,36,['1edfa4c8-1314-4a69-8777-aaaa8f4debc2'],2,,,,,,,,,,,,,,,,Manchester City,36,00:00:02.601,Pass,
,,,,,,,,,,,,,,,,0.848442,,,,,,,,,,,,,ad6b902a-af1d-4bf3-b6d2-7894a64a6e11,12,,,"[46.8, 4.3]",3754135,0,,True,,,1.2293439,,Left Foot,,,"[51.1, 16.4]",,Ground Pass,12.841339,,,,Fernando Luiz Rosa,3054.0,,,,,,,1,From Kick Off,Aleksandar Kolarov,5596.0,,Left Back,2,Manchester City,36,['07c76f25-6c56-4575-b86f-030f01a7e924'],5,,,,,,,,,,,,,,,,Manchester City,36,00:00:05.806,Pass,
