bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.724786,,,,,,,,,,,,de0b7f56-ec40-45b4-9826-06dc36f628cc,1303,,,"[51.0, 53.0]",3754093,36,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Oscar dos Santos Emboaba Júnior,40122.0,Center Attacking Midfield,70,Tottenham Hotspur,38,"['46b8f84e-b15c-4e78-ba3b-1cb13ccc71f5', 'e648168a-ef24-41e5-9bdb-8465130e02d0']",39,,,,,,,,,,,,,,,,,,Chelsea,33,00:36:39.248,Pressure,
,,,,,,,,,,,,,,,,,0.72793,,,,,,,,,,,,3dee52fc-7aed-416e-8470-9a38d93ae70c,1321,,,"[53.1, 70.8]",3754093,37,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Willian Borges da Silva,3472.0,Right Wing,71,Chelsea,33,,27,,,,,,,,,,,,,,,,,,Chelsea,33,00:37:27.470,Pressure,
,,,,,,,,,,,,,,,,,1.003365,,,,,,,,,,,,f052ea32-446b-4fd5-b801-c87c51ef3e82,1323,,,"[65.6, 14.2]",3754093,37,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Mousa Sidi Yaya Dembélé,3037.0,Left Center Midfield,71,Chelsea,33,"['3fe17039-9f27-431b-b10e-a4987601887c', '57353eaf-6376-4002-be06-94416a405c1c', '8d238237-5248-4e8d-a03b-28f710edc916']",29,,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:37:29.839,Pressure,
,,,,,,,,,,,,,,,,,1.059616,,,,,,,,,,,,eba0ca72-ec9c-4486-8fc0-842b81d1bd73,1330,,,"[36.4, 5.4]",3754093,37,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Heung-Min Son,3083.0,Left Attacking Midfield,72,Chelsea,33,"['51cfffd5-5b2b-4925-b0ff-299253c78cac', 'e11e8fc0-a556-4931-bd56-c99f1c45fe6a']",48,,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:37:48.324,Pressure,
,,,,,,,,,,,,,,,,,0.464062,,,,,,,,,,,,a03e513d-18af-4c58-aa8b-4e758312111b,1334,,,"[40.1, 2.1]",3754093,37,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Heung-Min Son,3083.0,Left Attacking Midfield,72,Chelsea,33,"['299f094d-0ff0-4a1b-bc49-a92f0f640827', '49c9a375-8822-41d5-9e00-4277589e3d07', 'eadcaece-ac39-496f-ae69-334a78614176']",50,,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:37:50.292,Pressure,
,,,,,,,,,,,True,,,,,,0.585348,,,,,,,,,,,,7674a368-4952-4edd-843a-72bd22921b44,1347,,,"[89.9, 66.9]",3754093,37,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Pedro Eliezer Rodríguez Ledesma,3958.0,Left Wing,73,Tottenham Hotspur,38,"['572b40b2-5b46-4de7-ae30-9d7707821f24', 'a3515976-29ad-4100-b687-631b26b8b598']",55,,,,,,,,,,,,,,,,,,Chelsea,33,00:37:55.298,Pressure,
,,,,,,,,,,,True,,,,,,0.847335,,,,,,,,,,,,0c8973af-c9e3-4492-8661-6148180346c2,1349,,,"[96.6, 57.3]",3754093,37,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Oscar dos Santos Emboaba Júnior,40122.0,Center Attacking Midfield,73,Tottenham Hotspur,38,"['cd21ec8f-5a89-4883-83a0-ff5f828b8384', 'd824668a-68d4-4815-9cde-0723e813dbe8']",57,,,,,,,,,,,,,,,,,,Chelsea,33,00:37:57.378,Pressure,
,,,,,,,,,,,,,,,,,0.598071,,,,,,,,,,,,8971e419-8a5c-436d-9773-90ae3ec437ff,1357,,,"[52.7, 54.2]",3754093,38,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Francesc Fàbregas i Soler,3478.0,Right Defensive Midfield,73,Tottenham Hotspur,38,"['102bad21-c648-4463-9a09-e51c5150cb4b', '85577a77-2f06-4f7c-b89a-842c1c72dda0']",4,,,,,,,,,,,,,,,,,,Chelsea,33,00:38:04.295,Pressure,
,,,,,,,,,,,,,,,,,3.355062,,,,,,,,,,,,238e59da-b60f-4448-b52f-7be593aa8695,1396,,,"[37.7, 44.9]",3754093,38,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Francesc Fàbregas i Soler,3478.0,Right Defensive Midfield,73,Tottenham Hotspur,38,['607f92e3-932a-4d5f-9061-a250aa35095d'],49,,,,,,,,,,,,,,,,,,Chelsea,33,00:38:49.679,Pressure,
,,,,,,,,,,,,,,,,,0.47088,,,,,,,,,,,,5a060154-e4da-402c-bc29-97806f04d9d6,1404,,,"[66.0, 18.3]",3754093,38,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Harry Kane,10955.0,Center Forward,74,Chelsea,33,['555e564c-0f93-433e-84a1-b1501a348c6d'],59,,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:38:59.771,Pressure,
,,,,,,,,,,,,,,,,,3.958512,,,,,,,,,,,,e2621595-7a16-4da7-8d53-d0b7468f4dfc,1410,,,"[13.8, 20.2]",3754093,39,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Mousa Sidi Yaya Dembélé,3037.0,Left Center Midfield,75,Chelsea,33,"['62987579-6c1c-406b-b8a7-d9cdf306d0d1', '932087b3-cdd7-4655-8bab-0ea43db5ac3b', 'a0861f4a-3601-46ec-94ca-1e87a7ce2aa0']",34,,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:39:34.239,Pressure,
,,,,,,,,,,,,,,,,,0.567431,,,,,,,,,,,,39426ad4-2916-4d08-a54e-a54a27b043dc,1414,,,"[35.8, 18.9]",3754093,39,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Christian Dannemann Eriksen,3043.0,Right Attacking Midfield,75,Chelsea,33,"['3d031e4d-13e3-4b9c-8784-281cfa5ebeb3', 'ac2f7b29-9836-4946-8c18-b8d4174777ee']",38,,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:39:38.891,Pressure,
,,,,,,,,,,,,,,,,,1.428932,,,,,,,,,,,,3922ecbb-478f-45ac-8c38-64364b6b66d4,1425,,,"[33.9, 37.6]",3754093,39,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Ryan Mason,40127.0,Right Center Midfield,75,Chelsea,33,"['7cae90af-ef0f-4e99-bc47-6f0ffc81f9d7', 'b1d0c41e-53c9-4fda-ada9-e722b184225c']",47,,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:39:47.804,Pressure,
,,,,,,,,,,,,,,,,,0.098144,,,,,,,,,,,,a24d0fb2-3f5f-448a-a5bc-e252d8cc9d01,1436,,,"[40.7, 5.8]",3754093,40,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Danny Rose,3594.0,Left Back,75,Chelsea,33,,2,,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:40:02.372,Pressure,
,,,,,,,,,,,,,,,,,1.988389,,,,,,,,,,,,38114e90-78c9-4d7e-9fd3-398d093c425d,1437,,,"[16.9, 1.9]",3754093,40,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Jan Vertonghen,3077.0,Left Center Back,75,Chelsea,33,"['46955b6a-0cf6-4dbc-bd12-2eebcb4316cb', '8d31eff2-2863-416b-89a9-33e84b00a46b']",3,,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:40:03.819,Pressure,
