bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,bcd2312b-1845-40e2-a13a-77090e9505ad,1,,,3754291,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Watford,23,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 3522, 'name': 'Heurelho da Silva Gomes'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 40118, 'name': 'Ikechi Anya'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 3263, 'name': 'Craig Cathcart'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 3288, 'name': 'Miguel Ángel Britos Cabrera'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 3306, 'name': 'Nathan Aké'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 16}, {'player': {'id': 3721, 'name': 'Etienne Capoue'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 29}, {'player': {'id': 3626, 'name': 'Ben Watson'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 43081, 'name': 'Almen Abdi'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 22}, {'player': {'id': 6870, 'name': 'José Manuel Jurado Marín'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 3454, 'name': 'Troy Deeney'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 5458, 'name': 'Odion Jude Ighalo'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 24}]}",Watford,23,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,24b1b5a0-e1cf-4922-9888-576c7bfc4d74,2,,,3754291,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Watford,23,,0,,,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 3099, 'name': 'Hugo Lloris'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 20005, 'name': 'Toby Alderweireld'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 10956, 'name': 'Eric Dier'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 15}, {'player': {'id': 3077, 'name': 'Jan Vertonghen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 3308, 'name': 'Kieran Trippier'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 16}, {'player': {'id': 3594, 'name': 'Danny Rose'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 3}, {'player': {'id': 3310, 'name': 'Tom Carroll'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 28}, {'player': {'id': 3037, 'name': 'Mousa Sidi Yaya Dembélé'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 19}, {'player': {'id': 3585, 'name': 'Erik Lamela'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 3094, 'name': 'Bamidele Alli'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 20}, {'player': {'id': 10955, 'name': 'Harry Kane'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Tottenham Hotspur,38,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,677c7ca6-0b5f-433e-93a7-149e8624a019,3,,,3754291,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Watford,23,['e924639d-cc1c-4042-a82b-c144777b8732'],0,,,,,,,,,,,,,,,,,,Watford,23,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,e924639d-cc1c-4042-a82b-c144777b8732,4,,,3754291,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Watford,23,['677c7ca6-0b5f-433e-93a7-149e8624a019'],0,,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,7264520c-ac4b-402b-8af4-1d7b3a8afdb6,1694,,,3754291,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,100,Watford,23,['5be840a8-9a78-4f6f-8505-84fb58a6bf70'],0,,,,,,,,,,,,,,,,,,Watford,23,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,5be840a8-9a78-4f6f-8505-84fb58a6bf70,1695,,,3754291,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,100,Watford,23,['7264520c-ac4b-402b-8af4-1d7b3a8afdb6'],0,,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.737086,,,,,,,,,,,,,,ff52a47d-815d-4bab-b8c9-29a25b825f1d,5,,"[61.0, 40.1]",3754291,0,,,,1.6352232,,Right Foot,,,"[60.8, 43.2]",,Ground Pass,,3.1064448,,,,Troy Deeney,3454.0,,,,,Kick Off,1,From Kick Off,Odion Jude Ighalo,5458.0,Left Center Forward,2,Watford,23,['ab16f421-1ed8-4e56-a5cf-31f4844dede7'],1,,,,,,,,,,,,,,,,,,Watford,23,00:00:01.183,Pass,
,,,,,,,,,,,,,,,,1.596129,,,,,,,,,,,,,,acb1a4d2-7010-4bba-a780-d4fc62379e18,8,,"[60.8, 43.4]",3754291,0,,,,-2.9032218,,Right Foot,,,"[39.4, 38.2]",,Ground Pass,,22.022715,,,,Etienne Capoue,3721.0,,,,,,1,From Kick Off,Troy Deeney,3454.0,Right Center Forward,2,Watford,23,['f4d2764d-3fc8-490a-9c34-80e1e05c53cc'],2,,,,,,,,,,,,,,,,,,Watford,23,00:00:02.040,Pass,
,,,,,,,,,,,,,,,,3.079095,,,,,,,,,,,,,,0e4f43d8-8264-4792-b398-f7e45961b607,12,,"[43.5, 39.6]",3754291,0,,,,-0.40174332,,Right Foot,,,"[93.4, 18.4]",,High Pass,,54.216694,,Incomplete,,José Manuel Jurado Marín,6870.0,,,,,,1,From Kick Off,Etienne Capoue,3721.0,Right Defensive Midfield,2,Watford,23,"['73294147-a56c-40d1-b08c-350c387e1f64', 'ec07321b-0ac8-4419-b6e8-d9a19d1b8418', 'feed0050-d00a-4b17-9cfc-071e090f758d']",4,,,,,,,,,,,,,,,,,,Watford,23,00:00:04.652,Pass,True
,,,,,,,,,,,,,,,,1.683638,,,,,,,,,,,,,,feed0050-d00a-4b17-9cfc-071e090f758d,15,,"[26.7, 61.7]",3754291,0,,,True,0.17137912,,,,,"[47.5, 65.3]",,Low Pass,,21.10924,,Incomplete,,,,,,,,Recovery,1,From Kick Off,Kieran Trippier,3308.0,Right Wing Back,2,Watford,23,"['0e4f43d8-8264-4792-b398-f7e45961b607', 'bcdd514a-c87e-4b93-a323-dc3b057b03be', 'c212ad05-3d13-451e-97c9-70776784d2fd']",7,,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:07.731,Pass,True
