50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,575fc5ec-3508-42d1-8626-685e3eb6d081,1,,,,3754264,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea,33,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3509, 'name': 'Thibaut Courtois'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 5594, 'name': 'Branislav Ivanović'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 3645, 'name': 'Gary Cahill'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 24}, {'player': {'id': 20287, 'name': 'John Terry'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 26}, {'player': {'id': 3957, 'name': 'César Azpilicueta Tanco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 28}, {'player': {'id': 3478, 'name': 'Francesc Fàbregas i Soler'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 3381, 'name': 'Nemanja Matić'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 3621, 'name': 'Eden Hazard'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 3472, 'name': 'Willian Borges da Silva'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 22}, {'player': {'id': 3958, 'name': 'Pedro Eliezer Rodríguez Ledesma'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 5198, 'name': 'Diego da Silva Costa'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Chelsea,33,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,5bd48527-7d4c-4fc5-8813-64468562108f,2,,,,3754264,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea,33,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3096, 'name': 'Rob Elliot'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3650, 'name': 'Daryl Janmaat'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 3722, 'name': 'Steven Taylor'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 27}, {'player': {'id': 26207, 'name': 'Fabricio Coloccini'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 3391, 'name': 'Rolando Aarons'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 16}, {'player': {'id': 42900, 'name': 'Cheik Ismaël Tioté'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 24}, {'player': {'id': 3057, 'name': 'Jonjo Shelvey'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 12}, {'player': {'id': 3091, 'name': 'Moussa Sissoko'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 3567, 'name': 'Georginio Wijnaldum'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 5}, {'player': {'id': 3297, 'name': 'Andros Townsend'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 25}, {'player': {'id': 4269, 'name': 'Aleksandar Mitrović'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 45}]}",Newcastle United,37,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,88a586f4-f68d-4115-9d9d-840e6b91b228,3,,,,3754264,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea,33,['9580b1ce-4250-4278-a3a0-bed32bc65c69'],0,,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,9580b1ce-4250-4278-a3a0-bed32bc65c69,4,,,,3754264,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea,33,['88a586f4-f68d-4115-9d9d-840e6b91b228'],0,,,,,,,,,,,,,,,,,,Chelsea,33,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,af54ab6d-dde7-4d79-8d60-88d3c7d82632,1921,,,,3754264,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,92,Chelsea,33,['6327884f-681d-4488-be6c-b58eb7cde783'],0,,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,6327884f-681d-4488-be6c-b58eb7cde783,1922,,,,3754264,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,92,Chelsea,33,['af54ab6d-dde7-4d79-8d60-88d3c7d82632'],0,,,,,,,,,,,,,,,,,,Chelsea,33,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.143344,,,,,,,,,,,,132aef38-7792-4927-8dd5-e385a94b0fbc,5,,,"[60.0, 40.0]",3754264,0,,,,-1.9416876,,Right Foot,,,,"[59.3, 38.2]",,Ground Pass,,1.9313208,,,,Georginio Wijnaldum,3567.0,,,,,,Kick Off,1,From Kick Off,Aleksandar Mitrović,4269.0,Center Forward,2,Newcastle United,37,['b76c64ea-45a0-4385-846e-9efc5e447aaf'],0,,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:00.580,Pass,
,,,,,,,,,,,,,,,,,0.251195,,,,,,,,,,,,90780f55-af55-4c63-848c-814965fe6bdc,8,,,"[59.3, 37.6]",3754264,0,,,,2.8430936,,Right Foot,,,,"[58.0, 38.0]",,Ground Pass,,1.360147,,,,Jonjo Shelvey,3057.0,,,,,,,1,From Kick Off,Georginio Wijnaldum,3567.0,Center Attacking Midfield,2,Newcastle United,37,['fbdb8705-900b-4179-887f-50be38a55303'],0,,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:00.964,Pass,
,,,,,,,,,,,,,,,,,1.218535,,,,,,,,,,,,d3a548a1-8ef2-48a7-88b6-d17a875cdc69,11,,,"[56.3, 38.2]",3754264,0,,,,2.5149677,,Right Foot,,,,"[37.1, 52.1]",,Ground Pass,,23.703375,,,,Daryl Janmaat,3650.0,,,,,,,1,From Kick Off,Jonjo Shelvey,3057.0,Left Center Midfield,2,Newcastle United,37,['31d1ef52-d483-4dfd-8893-0792639ff900'],2,,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:02.711,Pass,
,,,,,,,,,,,,,,,,,1.076387,,,,,,,,,,,,d34ac072-4e8c-47ef-8d97-627d55ec7f23,15,,,"[39.6, 49.3]",3754264,0,,,,-1.9916365,,Right Foot,,,,"[28.5, 24.5]",,Ground Pass,,27.170755,,,,Fabricio Coloccini,26207.0,,,,,,,1,From Kick Off,Daryl Janmaat,3650.0,Right Back,2,Newcastle United,37,"['31118928-1a20-4384-a728-31bd053f2244', '78478be9-0771-4c38-ba1a-c35c4b8212d8']",5,,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:05.501,Pass,True
