bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,0.860982,,,,,,,,,,,,,9bcc748b-3376-47e5-aac8-46a869c29202,21,,"[52.4, 75.4]",3754318,0,,,,,-0.72955567,,Head,,,"[60.9, 67.8]",,Low Pass,,11.402193,,Incomplete,,Bamidele Alli,3094.0,,,,,,1,Regular Play,Christian Dannemann Eriksen,3043.0,Right Wing,4,Tottenham Hotspur,38,"['4c2bcf62-20a7-4102-a570-f811eb6843e5', '899d5a28-afac-481d-8507-f638802dd435']",27,,,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:27.817,Pass,
,,,,,,,,,,,,,,3.238593,,,,,,,,,,,,,4a21a846-8b00-4863-a977-22ab7ff76a2f,26,,"[14.2, 45.1]",3754318,0,,,,,-0.99123234,,Keeper Arm,,,"[28.6, 23.1]",,Low Pass,,26.293726,,,,Danny Rose,3594.0,,,,,,1,Regular Play,Hugo Lloris,3099.0,Goalkeeper,4,Tottenham Hotspur,38,['8c7688fc-cfc6-4d5f-864f-25a64d32d74f'],33,,,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:33.272,Pass,
,,,,,,,,,,,,,,0.689972,,,,,,,,,,,,,738b7f6a-3a5b-405c-a235-fc941d7157af,30,,"[80.6, 9.9]",3754318,0,,,,,0.88187194,,Left Foot,,,"[87.6, 18.4]",,Ground Pass,,11.011357,,,,Erik Lamela,3585.0,,,,,,1,Regular Play,Danny Rose,3594.0,Left Back,4,Tottenham Hotspur,38,"['cc1f592e-2541-4cb0-9235-11a1037abbe0', 'fc6875a6-8e0e-4741-bed0-1bbb3168e803']",40,,,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:40.226,Pass,True
,,,,,,,,,,,,,,0.447832,,,,,,,,,,,,,f494d736-c1d5-4d56-9719-f15e5dbaa1d8,34,,"[87.9, 17.5]",3754318,0,,,,,0.1260881,,Left Foot,,,"[95.0, 18.4]",,Ground Pass,,7.156815,,Incomplete,,Bamidele Alli,3094.0,,,,,,1,Regular Play,Erik Lamela,3585.0,Left Wing,4,Tottenham Hotspur,38,"['740e13e5-ee2f-4059-a5b0-deab8dbc9fe5', 'b6de918a-ef4b-42a5-8462-8bde63b65e5c', 'ddfc9cb4-e2c7-4954-98b0-d05ab88b1856']",41,,,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:41.000,Pass,True
,,,,,,,,,,,,,,1.991477,,,,,,,,,,,,,9cb7acf5-e265-4653-b8c5-86e8c23408cb,38,,"[80.0, 16.9]",3754318,0,,,,,1.6957957,,Left Foot,,,"[77.6, 36.0]",,Low Pass,,19.250195,,,,Christian Dannemann Eriksen,3043.0,,,,,Recovery,1,Regular Play,Erik Lamela,3585.0,Left Wing,4,Tottenham Hotspur,38,"['22fd3f11-76d5-4448-ad92-66bc06ebeb62', 'd2dba3cb-ebf6-4cec-9f3d-1a40d86fef77']",42,,,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:42.578,Pass,True
,,,,,,,,,,,,,,1.39777,,,,,,,,,,,,,53ba690c-8a0f-4ff3-80ef-08cd682145e5,41,,"[77.0, 35.7]",3754318,0,,,,,2.922479,,Right Foot,,,"[53.2, 41.0]",,Ground Pass,,24.382986,,,,Toby Alderweireld,20005.0,,,,,,1,Regular Play,Christian Dannemann Eriksen,3043.0,Right Wing,4,Tottenham Hotspur,38,['f0b35efb-25aa-402a-9713-b314ff886828'],44,,,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:44.729,Pass,
,,,,,,,,,,,,,,1.438575,,,,,,,,,,,,,3ab94b76-0ffc-4a8e-948f-e70ef4da1414,44,,"[53.8, 45.1]",3754318,0,,,,,1.5090194,,Left Foot,,,"[55.0, 64.5]",,Ground Pass,,19.437078,,,,Kyle Walker,3205.0,,,,,,1,Regular Play,Toby Alderweireld,20005.0,Right Center Back,4,Tottenham Hotspur,38,['a5b3561a-7c36-4b28-834d-0e6338ee6941'],48,,,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:48.147,Pass,
,,,,,,,,,,,,,,1.87074,,,,,,,,,,,,,28b76b80-ec5e-4b18-a847-ae4d20334d0a,47,,"[66.2, 68.1]",3754318,0,,,,,-0.37519756,,Right Foot,,,"[102.0, 54.0]",,High Pass,,38.476616,,Incomplete,,Harry Kane,10955.0,,,,,,1,Regular Play,Kyle Walker,3205.0,Right Back,4,Tottenham Hotspur,38,"['3845ee01-49da-4bda-a832-77ab3b172597', '4aaac39c-af71-4513-9657-ece8647e6f14']",51,,,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:51.167,Pass,
,,,,,,,,,True,,,,,1.75291,,,,,,,,,,,,,4aaac39c-af71-4513-9657-ece8647e6f14,49,,"[18.1, 26.1]",3754318,0,,,,,-0.29964113,,Head,,,"[30.4, 22.3]",,High Pass,,12.873616,,,,Mohamed Naser Elsayed Elneny,3568.0,,,,,Interception,1,Regular Play,Gabriel Armando de Abreu,6746.0,Left Center Back,5,Arsenal,1,"['28b76b80-ec5e-4b18-a847-ae4d20334d0a', '297bd079-0827-4d91-9d01-36b969b72805']",53,,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:53.037,Pass,
,,,,,,,,,,,,,,0.799313,,,,,,,,,,,,,a0e0a94f-bb4b-4c7b-9687-f9ced426ee52,52,,"[30.4, 22.3]",3754318,0,,,,,-0.40763152,,Right Foot,,,"[39.2, 18.5]",,Ground Pass,,9.585405,,,,Alexis Alejandro Sánchez Sánchez,3385.0,,,,,,1,Regular Play,Mohamed Naser Elsayed Elneny,3568.0,Left Defensive Midfield,5,Arsenal,1,['2e7dbbc0-4e38-4658-a22e-c0677db0d8de'],55,,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:55.274,Pass,
