50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,7fd19287-f77f-4739-b9da-65f0a61ea928,1,,,3753990,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sunderland,41,,0,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 9539, 'name': 'Vito Mannone'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 25}, {'player': {'id': 3658, 'name': 'DeAndre Yedlin'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 24}, {'player': {'id': 13286, 'name': 'Lamine Koné'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 4746, 'name': 'Younes Kaboul'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 3321, 'name': 'Patrick van Aanholt'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 13846, 'name': 'Jan Kirchhoff'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 27}, {'player': {'id': 7171, 'name': 'Fabio Borini'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 9}, {'player': {'id': 4429, 'name': ""Yann Gérard M''Vila""}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 10783, 'name': 'Lee Cattermole'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 3196, 'name': 'Wahbi Khazri'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 22}, {'player': {'id': 3337, 'name': 'Jermain Defoe'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 18}]}",Sunderland,41,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,7ff86eb6-ff34-4381-a025-728e42e2f077,2,,,3753990,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sunderland,41,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3461, 'name': 'Petr Čech'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 33}, {'player': {'id': 3511, 'name': 'Héctor Bellerín Moruno'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 24}, {'player': {'id': 3475, 'name': 'Per Mertesacker'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 3394, 'name': 'Laurent Koscielny'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 3498, 'name': 'Ignacio Monreal Eraso'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 3568, 'name': 'Mohamed Naser Elsayed Elneny'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 35}, {'player': {'id': 3517, 'name': 'Aaron Ramsey'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 3385, 'name': 'Alexis Alejandro Sánchez Sánchez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 3496, 'name': 'Mesut Özil'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 11}, {'player': {'id': 3647, 'name': 'Alex Iwobi'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 45}, {'player': {'id': 3604, 'name': 'Olivier Giroud'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 12}]}",Arsenal,1,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,a5f90fc2-6c68-4481-9466-3a62aef195b0,3,,,3753990,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sunderland,41,['511e3092-80b7-4a48-bae4-1065fca55ee8'],0,,,,,,,,,,,,,,,,,Sunderland,41,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,511e3092-80b7-4a48-bae4-1065fca55ee8,4,,,3753990,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sunderland,41,['a5f90fc2-6c68-4481-9466-3a62aef195b0'],0,,,,,,,,,,,,,,,,,Arsenal,1,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,4e4a62c0-bae8-4a4d-82f2-ea9fc94e6fa7,1863,,,3753990,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,84,Arsenal,1,['f0ee2e6d-b5e2-4efb-a28a-617138ca5178'],0,,,,,,,,,,,,,,,,,Sunderland,41,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,f0ee2e6d-b5e2-4efb-a28a-617138ca5178,1864,,,3753990,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,84,Arsenal,1,['4e4a62c0-bae8-4a4d-82f2-ea9fc94e6fa7'],0,,,,,,,,,,,,,,,,,Arsenal,1,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.499763,,,,,,,,,,,,7eca50ac-4f9c-431a-a7a1-16dc21076f53,5,,"[60.0, 40.0]",3753990,0,,,,,-1.7681919,,Right Foot,,,"[59.6, 38.0]",Ground Pass,,2.0396078,,,Jermain Defoe,3337.0,,,,,,Kick Off,1,From Kick Off,Fabio Borini,7171.0,Right Midfield,2,Sunderland,41,['cf50c8b8-fe90-4391-aa27-ea04263b9d34'],0,,,,,,,,,,,,,,,,,Sunderland,41,00:00:00.367,Pass,
,,,,,,,,,,,,,,,,,1.422105,,,,,,,,,,,,1ee718b2-59f7-4022-ad6f-38f9601db08e,8,,"[59.6, 37.7]",3753990,0,,,,,-1.2498438,,Right Foot,,,"[72.1, 0.1]",Ground Pass,,39.623352,Out,,Patrick van Aanholt,3321.0,,,,,,,1,From Kick Off,Jermain Defoe,3337.0,Center Forward,2,Sunderland,41,['751c7bc8-3c9c-4a67-b362-35fa9345a8d8'],2,,,,,,,,,,,,,,,,,Sunderland,41,00:00:02.858,Pass,
,,,,,,,,,,,,,,,,,2.342417,,,,,,,,,,,,9b9c3d2c-9c89-4567-b71f-e0fc049f8800,10,,"[47.2, 80.0]",3753990,0,,,,,-2.9954038,,,,,"[30.9, 77.6]",Low Pass,,16.47574,,,Per Mertesacker,3475.0,,,,,,Throw-in,1,From Throw In,Héctor Bellerín Moruno,3511.0,Right Back,3,Arsenal,1,['c5ae04e8-5837-41ed-8df1-8272acc50374'],10,,,,,,,,,,,,,,,,,Arsenal,1,00:00:10.423,Pass,
,,,,,,,,,,,,,,,,,4.113363,,,,,,,,,,,,b1b5dd4f-1df0-4204-8746-ba4a416e85e2,12,,"[28.4, 74.8]",3753990,0,,,,,-2.1517193,,Right Foot,,,"[11.2, 48.6]",Ground Pass,,31.341347,,,Petr Čech,3461.0,,,,,,,1,From Throw In,Per Mertesacker,3475.0,Right Center Back,3,Arsenal,1,['705171fc-e48f-4d00-ab77-ed9c931c90f7'],12,,,,,,,,,,,,,,,,,Arsenal,1,00:00:12.765,Pass,
