50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2785f00a-12fd-4704-8394-8dceef3f6694,1,,,,3754338,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Newcastle United,37,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3096, 'name': 'Rob Elliot'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 21}, {'player': {'id': 3650, 'name': 'Daryl Janmaat'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 3044, 'name': 'Chancel Mbemba Mangulu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 18}, {'player': {'id': 26207, 'name': 'Fabricio Coloccini'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 3065, 'name': 'Paul Dummett'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 3057, 'name': 'Jonjo Shelvey'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 9649, 'name': 'Jack Colback'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 3091, 'name': 'Moussa Sissoko'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 3567, 'name': 'Georginio Wijnaldum'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 5}, {'player': {'id': 3076, 'name': 'Ayoze Pérez Gutiérrez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 4269, 'name': 'Aleksandar Mitrović'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 45}]}",Newcastle United,37,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,5402cfcc-8699-47d7-9762-efeddf87797a,2,,,,3754338,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Newcastle United,37,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 3623, 'name': 'Adrián San Miguel del Castillo'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 3316, 'name': 'James Tomkins'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 5}, {'player': {'id': 3482, 'name': 'James Collins'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 19}, {'player': {'id': 3843, 'name': 'Angelo Obinze Ogbonna'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 21}, {'player': {'id': 3062, 'name': 'Aaron Cresswell'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 3897, 'name': 'Pedro Mba Obiang Avomo'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 3874, 'name': 'Mark Noble'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 3684, 'name': 'Cheikhou Kouyaté'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 3349, 'name': 'Michail Antonio'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 30}, {'player': {'id': 3491, 'name': 'Dimitri Payet'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 27}, {'player': {'id': 28559, 'name': 'Enner Remberto Valencia Lastra'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",West Ham United,40,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0bdc883a-b211-4df2-aad5-9e6d98d76e8c,3,,,,3754338,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Newcastle United,37,['4b4f6de6-241b-47e1-b94d-335de51c34ea'],0,,,,,,,,,,,,,,,,,,West Ham United,40,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,4b4f6de6-241b-47e1-b94d-335de51c34ea,4,,,,3754338,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Newcastle United,37,['0bdc883a-b211-4df2-aad5-9e6d98d76e8c'],0,,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,98815fb4-c845-4a01-aa83-f1bf71b0a98a,1817,,,,3754338,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,88,Newcastle United,37,['6cae6f74-4123-426f-bd59-11c506bfb2b2'],0,,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,6cae6f74-4123-426f-bd59-11c506bfb2b2,1818,,,,3754338,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,88,Newcastle United,37,['98815fb4-c845-4a01-aa83-f1bf71b0a98a'],0,,,,,,,,,,,,,,,,,,West Ham United,40,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.392726,,,,,,,,,,,,1415add6-101a-42e7-9cda-75493dbad9cf,5,,,"[61.0, 40.1]",3754338,0,,,,,-1.6814536,,Right Foot,,,,"[60.8, 38.3]",,Ground Pass,,1.811077,,,,Mark Noble,3874.0,,,,,,Kick Off,1,From Kick Off,Enner Remberto Valencia Lastra,28559.0,Center Forward,2,West Ham United,40,['4df4989d-8dcf-4c2b-9287-817c04448763'],0,,,,,,,,,,,,,,,,,,West Ham United,40,00:00:00.467,Pass,
,,,,,,,,,,,,,,,,,2.365721,,,,,,,,,,,,c2b3cd71-9d37-4d0d-ae6e-abe284a08837,8,,,"[70.0, 51.9]",3754338,0,,,,,0.72804487,,Right Foot,,,,"[92.1, 71.6]",,Ground Pass,,29.605743,,Incomplete,,Michail Antonio,3349.0,,,,,,,1,From Kick Off,Mark Noble,3874.0,Right Center Midfield,2,West Ham United,40,"['4a2efe25-4a0b-4346-8a49-ba176e264a0f', '8c1d981e-35b2-48b1-996f-4f050f66956f']",3,,,,,,,,,,,,,,,,,,West Ham United,40,00:00:03.271,Pass,
,,,,,,,,,,,,,,,,,1.097232,,,,,,,,,,,,030449a4-3472-4c99-9b72-91b24b64d26d,11,,,"[89.4, 80.0]",3754338,0,,,,,-0.32682666,,,,,,"[101.2, 76.0]",,Low Pass,,12.459535,,Incomplete,,Michail Antonio,3349.0,,,,,,Throw-in,1,From Throw In,James Tomkins,3316.0,Right Back,3,West Ham United,40,"['107f74f0-ee07-405c-bad5-1ddc7f4fc081', '1971ae4b-e6f5-41f0-9f3c-1c0bf3859509']",22,,,,,,,,,,,,,,,,,,West Ham United,40,00:00:22.104,Pass,
,,,,,,,,,,,,,,,,,0.918934,,,,,,,,,,,,f9fb71ba-8556-4892-addb-14b985298c6f,15,,,"[94.1, 74.4]",3754338,0,,,,,0.07580384,,Right Foot,,,,"[102.0, 75.0]",,Low Pass,,7.922752,,,,Michail Antonio,3349.0,,,,,,Recovery,1,From Throw In,Mark Noble,3874.0,Right Center Midfield,3,West Ham United,40,"['05e77703-e603-4650-b0ea-2c90871af000', 'a3fe413b-3545-4ade-bb51-50257694d3b4']",24,,,,,,,,,,,,,,,,,,West Ham United,40,00:00:24.454,Pass,True
