50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,3b59fcd2-c091-4155-9921-aa59f6594dc0,1,,,3754002,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Leicester City,22,,0,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 3815, 'name': 'Kasper Schmeichel'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3270, 'name': 'Danny Simpson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 17}, {'player': {'id': 3813, 'name': 'Wes Morgan'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 40123, 'name': 'Robert Huth'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 3812, 'name': 'Christian Fuchs'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 28}, {'player': {'id': 3814, 'name': 'Riyad Mahrez'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 26}, {'player': {'id': 3961, 'name': ""N''Golo Kanté""}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 3662, 'name': 'Danny Drinkwater'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 3307, 'name': 'Marc Albrighton'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 10960, 'name': 'Jamie Vardy'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 3810, 'name': 'Shinji Okazaki'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 20}]}",Leicester City,22,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,c01b1f54-85b4-49bd-8dd1-49eaff32f534,2,,,3754002,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Leicester City,22,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3096, 'name': 'Rob Elliot'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3650, 'name': 'Daryl Janmaat'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 3722, 'name': 'Steven Taylor'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 27}, {'player': {'id': 3081, 'name': 'Jamaal Lascelles'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 9649, 'name': 'Jack Colback'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 4}, {'player': {'id': 16072, 'name': 'Vurnon Anita'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3057, 'name': 'Jonjo Shelvey'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 3076, 'name': 'Ayoze Pérez Gutiérrez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 3567, 'name': 'Georginio Wijnaldum'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 5}, {'player': {'id': 3091, 'name': 'Moussa Sissoko'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 4269, 'name': 'Aleksandar Mitrović'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 45}]}",Newcastle United,37,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,f8754280-a3de-435c-8375-58ab9e35638a,3,,,3754002,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Leicester City,22,['8545a994-e52a-4188-a587-a4492b6c938d'],0,,,,,,,,,,,,,,,,Leicester City,22,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,8545a994-e52a-4188-a587-a4492b6c938d,4,,,3754002,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Leicester City,22,['f8754280-a3de-435c-8375-58ab9e35638a'],0,,,,,,,,,,,,,,,,Newcastle United,37,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,83d3ffdb-c304-413e-8746-cc879ad48836,1740,,,3754002,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,96,Leicester City,22,['2c3c011b-44e8-4ff9-bf1e-3a48dcd0949e'],0,,,,,,,,,,,,,,,,Leicester City,22,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,2c3c011b-44e8-4ff9-bf1e-3a48dcd0949e,1741,,,3754002,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,96,Leicester City,22,['83d3ffdb-c304-413e-8746-cc879ad48836'],0,,,,,,,,,,,,,,,,Newcastle United,37,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.194785,,,,,,,,,,59f8bb1a-6a70-49d1-826a-be15fea26001,5,,"[60.0, 40.0]",3754002,0,,,,,-2.4087775,,Right Foot,,,"[59.0, 39.1]",,Ground Pass,,1.3453624,,,N''Golo Kanté,3961.0,,,,Kick Off,1,From Kick Off,Shinji Okazaki,3810.0,Left Center Forward,2,Leicester City,22,['286b7293-57ea-4e77-93b1-b92d676b2fbf'],0,,,,,,,,,,,,,,,,Leicester City,22,00:00:00.965,Pass,
,,,,,,,,,,,,,,,,,,1.268168,,,,,,,,,,6e30e792-74da-4b08-9545-da244310079d,7,,"[58.7, 40.7]",3754002,0,,,,,-2.5577223,,Right Foot,,,"[53.1, 37.0]",,Ground Pass,,6.71193,,,Danny Drinkwater,3662.0,,,,,1,From Kick Off,N''Golo Kanté,3961.0,Right Center Midfield,2,Leicester City,22,['5a6514ca-bbec-4c07-a257-12e3b7ffdd6d'],1,,,,,,,,,,,,,,,,Leicester City,22,00:00:01.159,Pass,
,,,,,,,,,,,,,,,,,,2.696685,,,,,,,,,,bbaf8f62-96bb-4809-a263-72bd9bac1310,10,,"[53.1, 36.4]",3754002,0,,,,,0.72121906,,Right Foot,,,"[94.5, 72.8]",,High Pass,,55.1264,,,Jamie Vardy,10960.0,,,,,1,From Kick Off,Danny Drinkwater,3662.0,Left Center Midfield,2,Leicester City,22,['dfd6308b-0cc6-4752-a3f4-b2d9c8042801'],2,,,,,,,,,,,,,,,,Leicester City,22,00:00:02.548,Pass,
,,,,,,,,,,,,,,,,,,1.417337,,,,,,,,,,28bcc55e-9c62-4277-9821-cac5f953b579,12,,"[92.6, 72.8]",3754002,0,,,,True,-1.9585665,,,,,"[86.8, 58.6]",,High Pass,,15.33884,Incomplete,,Shinji Okazaki,3810.0,,,,,1,From Kick Off,Jamie Vardy,10960.0,Right Center Forward,2,Leicester City,22,"['602dd7ad-23b7-4d48-a344-7048d08b35c4', 'ac19eb45-dfc1-4535-9349-c627bf2940a5', 'd5827f30-ce6b-4e23-bc40-d8b4fc258182']",5,,,,,,,,,,,,,,,,Leicester City,22,00:00:05.244,Pass,True
