ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,2b000906-e1ce-44c2-83b1-a773978c609a,1,,,3754094,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester United,39,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3333, 'name': 'David de Gea Quintana'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4587, 'name': 'Matteo Darmian'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 36}, {'player': {'id': 10958, 'name': 'Chris Smalling'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 12}, {'player': {'id': 3311, 'name': 'Daley Blind'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 17}, {'player': {'id': 10779, 'name': 'Cameron Borthwick-Jackson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 43}, {'player': {'id': 3296, 'name': 'Marouane Fellaini-Bakkioui'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 27}, {'player': {'id': 4751, 'name': 'Michael Carrick'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 3293, 'name': 'Jesse Lingard'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 14}, {'player': {'id': 3294, 'name': 'Juan Manuel Mata García'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 20039, 'name': 'Anthony Martial'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 3538, 'name': 'Wayne Mark Rooney'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Manchester United,39,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,e5d49a98-fef1-43f2-91c9-242e159d0429,2,,,3754094,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester United,39,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3537, 'name': 'Jack Butland'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4724, 'name': 'Glen Johnson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 8}, {'player': {'id': 40121, 'name': 'Philipp Wollscheid'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 26}, {'player': {'id': 6560, 'name': 'Marc Muniesa Martínez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 3467, 'name': 'Erik Pieters'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 9625, 'name': 'Glenn Whelan'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 4891, 'name': 'Ibrahim Afellay'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 3670, 'name': 'Jonathan Walters'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 4913, 'name': 'Bojan Krkíc Pérez'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 27}, {'player': {'id': 3325, 'name': 'Marko Arnautović'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 4040, 'name': 'Peter Crouch'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 25}]}",Stoke City,30,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,45f7b41d-dd12-4483-9626-a8c87f31f024,3,,,3754094,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester United,39,['a1184402-98b2-4f0b-9d89-42f818065fd8'],0,,,,,,,,,,,,,,,,,,Stoke City,30,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,a1184402-98b2-4f0b-9d89-42f818065fd8,4,,,3754094,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester United,39,['45f7b41d-dd12-4483-9626-a8c87f31f024'],0,,,,,,,,,,,,,,,,,,Manchester United,39,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,8a4f0209-6ef4-4046-a3a1-87f949a0ffb7,1795,,,3754094,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,92,Stoke City,30,['86bc3143-6d92-42b8-9248-1948d48f38c3'],0,,,,,,,,,,,,,,,,,,Stoke City,30,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,86bc3143-6d92-42b8-9248-1948d48f38c3,1796,,,3754094,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,92,Stoke City,30,['8a4f0209-6ef4-4046-a3a1-87f949a0ffb7'],0,,,,,,,,,,,,,,,,,,Manchester United,39,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.524175,,,,,,,,,09609216-4e97-48cf-8489-b2e9bd83f95f,5,,"[60.0, 40.0]",3754094,0,,,,-1.598567,,Right Foot,,,,"[59.9, 36.4]",,Ground Pass,,3.6013887,,,,Juan Manuel Mata García,3294.0,,,,,Kick Off,1,From Kick Off,Wayne Mark Rooney,3538.0,Center Forward,2,Manchester United,39,['7a3876f6-364e-4316-9f56-5af8b4cffce0'],0,,,,,,,,,,,,,,,,,,Manchester United,39,00:00:00.462,Pass,
,,,,,,,,,,,,,,,,1.934682,,,,,,,,,d2b37681-02be-4074-9504-0ed0456f95a7,8,,"[59.5, 37.6]",3754094,0,,,,-2.901197,,Left Foot,,,,"[33.8, 31.3]",,Ground Pass,,26.460915,,,,Daley Blind,3311.0,,,,,,1,From Kick Off,Juan Manuel Mata García,3294.0,Center Attacking Midfield,2,Manchester United,39,['499c83f5-de78-489d-843c-67d4c3f6630e'],1,,,,,,,,,,,,,,,,,,Manchester United,39,00:00:01.103,Pass,
,,,,,,,,,,,,,,,,3.164295,,,,,,,,,3a37dbbd-1075-4951-ae63-552f42300b66,11,,"[37.1, 31.3]",3754094,0,,,,0.19656292,,Left Foot,,,,"[83.3, 40.5]",,High Pass,,47.107113,,Incomplete,,Marouane Fellaini-Bakkioui,3296.0,,,,,,1,From Kick Off,Daley Blind,3311.0,Left Center Back,2,Manchester United,39,"['a0052410-27c8-4372-a806-64ac0380828b', 'ddd3f5ea-21bf-4d2f-9278-603ca7fc716c']",4,,,,,,,,,,,,,,,,,,Manchester United,39,00:00:04.271,Pass,
,,,,,,,,,,,,,,,,1.29334,,,,,,,,,ddd3f5ea-21bf-4d2f-9278-603ca7fc716c,13,,"[36.8, 39.6]",3754094,0,,,,-0.32855317,,Head,,,,"[50.0, 35.1]",,High Pass,,13.945967,,Incomplete,,Bojan Krkíc Pérez,4913.0,,,,,Recovery,1,From Kick Off,Glenn Whelan,9625.0,Right Defensive Midfield,2,Manchester United,39,"['3a37dbbd-1075-4951-ae63-552f42300b66', '6452a66b-c03e-4482-b489-535b8f190c4a', '9558de51-89c0-48dd-9eb0-8185873590fa']",7,,,,,,,,,,,,,,,,,,Stoke City,30,00:00:07.435,Pass,
