50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_lost_in_play,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,23cd2742-6c72-4449-9e8e-dfdb2b88bf30,1,,,,3754327,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Aston Villa,59,,0,,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 12608, 'name': 'Bradley Guzan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 42700, 'name': 'Micah Richards'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 20285, 'name': 'Joleon Lescott'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 16}, {'player': {'id': 3041, 'name': 'Ciaran Clark'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 9642, 'name': 'Alan Hutton'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 21}, {'player': {'id': 27146, 'name': 'Aly Cissokho'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 43}, {'player': {'id': 3436, 'name': 'Idrissa Gana Gueye'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 9533, 'name': 'Leandro Bacuna'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 3583, 'name': 'Ashley Westwood'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 3450, 'name': 'Jordan Ayew'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 19}, {'player': {'id': 42699, 'name': 'Gabriel Imuetinyan Agbonlahor'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 11}]}",Aston Villa,59,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,fef73ccb-45ff-43df-9127-9b02400d36aa,2,,,,3754327,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Aston Villa,59,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 16309, 'name': 'Joel Robles Blázquez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4589, 'name': 'Séamus Coleman'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 20046, 'name': 'Phil Jagielka'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 4629, 'name': 'José Ramiro Funes Mori'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 25}, {'player': {'id': 5836, 'name': 'Bryan Oviedo'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 8}, {'player': {'id': 3607, 'name': 'James McCarthy'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 3633, 'name': 'Gareth Barry'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 3953, 'name': 'Aaron Lennon'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 12}, {'player': {'id': 4275, 'name': 'Ross Barkley'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 20}, {'player': {'id': 4317, 'name': 'Kevin Mirallas'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 3289, 'name': 'Romelu Lukaku Menama'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Everton,29,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4d093925-88e1-4103-8abb-87f704403caf,3,,,,3754327,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Aston Villa,59,['9941a7cf-ac4f-4bce-8bca-ec19175493db'],0,,,,,,,,,,,,,,,,,,Aston Villa,59,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9941a7cf-ac4f-4bce-8bca-ec19175493db,4,,,,3754327,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Aston Villa,59,['4d093925-88e1-4103-8abb-87f704403caf'],0,,,,,,,,,,,,,,,,,,Everton,29,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e6c5e27d-657f-475b-9b04-a69f6bac7c76,2051,,,,3754327,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,91,Everton,29,['d867b323-5ceb-432e-af71-0b56ed9a8cd5'],0,,,,,,,,,,,,,,,,,,Aston Villa,59,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d867b323-5ceb-432e-af71-0b56ed9a8cd5,2052,,,,3754327,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,91,Everton,29,['e6c5e27d-657f-475b-9b04-a69f6bac7c76'],0,,,,,,,,,,,,,,,,,,Everton,29,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.642902,,,,,,,,,,,,,846aaa0e-9338-4c68-9f0e-b208232a0c68,5,,,"[61.0, 40.1]",3754327,0,,,,,0.6857295,,Left Foot,,,"[62.1, 41.0]",,Ground Pass,,1.421267,,,,,Ross Barkley,4275.0,,,,,Kick Off,1,From Kick Off,Romelu Lukaku Menama,3289.0,Center Forward,2,Everton,29,['5b2ed75b-ff0d-4b53-93e3-d038d6f61a72'],0,,,,,,,,,,,,,,,,,,Everton,29,00:00:00.765,Pass,
,,,,,,,,,,,,,,,,,,1.254419,,,,,,,,,,,,,73a48290-858b-4729-9bda-6ac3d1ef669e,8,,,"[63.6, 44.9]",3754327,0,,,,,2.4028895,,Right Foot,,,"[52.4, 55.1]",,Ground Pass,,15.148598,,,,,James McCarthy,3607.0,,,,,,1,From Kick Off,Ross Barkley,4275.0,Center Attacking Midfield,2,Everton,29,['43c68c95-c801-4220-bb80-10b8db409543'],2,,,,,,,,,,,,,,,,,,Everton,29,00:00:02.457,Pass,
,,,,,,,,,,,,,,,,,,2.030538,,,,,,,,,,,,,d4ef410b-d52b-4bde-b4a9-71d929fd3132,11,,,"[50.5, 53.6]",3754327,0,,,,,-2.2472134,,Left Foot,,,"[33.0, 31.8]",,Ground Pass,,27.955143,,,,,José Ramiro Funes Mori,4629.0,,,,,,1,From Kick Off,James McCarthy,3607.0,Right Defensive Midfield,2,Everton,29,['eb3f9d09-5b54-4b21-9afe-30a36e75261e'],4,,,,,,,,,,,,,,,,,,Everton,29,00:00:04.890,Pass,
,,,,,,,,,,,,,,,,,,2.468247,,,,,,,,,,,,,9632caeb-f80f-453a-8495-e40aa9f40a32,14,,,"[33.2, 29.3]",3754327,0,,,,,-1.1071488,,Right Foot,,,"[40.3, 15.1]",,Ground Pass,,15.876082,,,,,Bryan Oviedo,5836.0,,,,,,1,From Kick Off,José Ramiro Funes Mori,4629.0,Left Center Back,2,Everton,29,['b25b3700-7a84-4e13-a595-7c2407d90aad'],6,,,,,,,,,,,,,,,,,,Everton,29,00:00:06.960,Pass,
