50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,62cb39ea-a959-46e7-88dd-0703ce08575d,1,,,3754046,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Everton,29,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 13042, 'name': 'Tim Howard'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 24}, {'player': {'id': 4589, 'name': 'Séamus Coleman'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 3244, 'name': 'John Stones'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 4629, 'name': 'José Ramiro Funes Mori'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 25}, {'player': {'id': 30702, 'name': 'Brendan Joel Zibusiso Galloway'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 32}, {'player': {'id': 3683, 'name': 'Tom Cleverley'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 3633, 'name': 'Gareth Barry'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 3726, 'name': 'Gerard Deulofeu Lázaro'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 4275, 'name': 'Ross Barkley'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 20}, {'player': {'id': 26696, 'name': 'Arouna Koné'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 9}, {'player': {'id': 3289, 'name': 'Romelu Lukaku Menama'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Everton,29,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2d004339-005d-464a-8925-278bb4e2cc41,2,,,3754046,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Everton,29,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 3488, 'name': 'Wayne Hennessey'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 3443, 'name': 'Joel Ward'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 3407, 'name': 'Scott Dann'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 3693, 'name': 'Damien Delaney'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 27}, {'player': {'id': 4884, 'name': ""Pape N''Diaye Souaré""}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 5489, 'name': 'Mile Jedinak'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 3464, 'name': 'James McArthur'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 3277, 'name': 'Yohan Cabaye'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 3589, 'name': 'Yannick Bolasie Yala'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 19688, 'name': 'Jason Puncheon'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 42}, {'player': {'id': 20641, 'name': 'Connor Wickham'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 21}]}",Crystal Palace,31,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7679ae7d-7845-4e9a-a1c5-70b5ac6b7ca1,3,,,3754046,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Everton,29,['04f59e44-3d9d-4fbf-a3f3-4c201999f847'],0,,,,,,,,,,,,,,,,,Everton,29,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,04f59e44-3d9d-4fbf-a3f3-4c201999f847,4,,,3754046,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Everton,29,['7679ae7d-7845-4e9a-a1c5-70b5ac6b7ca1'],0,,,,,,,,,,,,,,,,,Crystal Palace,31,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c4def846-c610-4ba9-9272-e94dc8c0899a,1878,,,3754046,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,95,Everton,29,['ba8db117-938f-4c84-9823-d52cbf12ae86'],0,,,,,,,,,,,,,,,,,Everton,29,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ba8db117-938f-4c84-9823-d52cbf12ae86,1879,,,3754046,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,95,Everton,29,['c4def846-c610-4ba9-9272-e94dc8c0899a'],0,,,,,,,,,,,,,,,,,Crystal Palace,31,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.224353,,,,,,,,,,,,,c5fc34fe-aaf8-448d-a118-73dd4d52bfc9,5,,"[60.0, 40.0]",3754046,0,,,,0.7853982,,Right Foot,,,,"[62.7, 42.7]",,Ground Pass,,3.8183765,,,,Yannick Bolasie Yala,3589.0,,,,,,Kick Off,1,From Kick Off,James McArthur,3464.0,Right Center Midfield,2,Crystal Palace,31,['eff5071e-c698-4093-a033-84620e1f1854'],0,,,,,,,,,,,,,,,,,Crystal Palace,31,00:00:00.319,Pass,
,,,,,,,,,,,,,,,,,0.87725,,,,,,,,,,,,,94435384-9483-4da9-9fc3-0ff88d1c447f,8,,"[63.6, 35.9]",3754046,0,,,,-2.0772748,,Right Foot,,,,"[56.0, 22.2]",,Ground Pass,,15.666844,,,,Yohan Cabaye,3277.0,,,,,,,1,From Kick Off,Yannick Bolasie Yala,3589.0,Right Wing,2,Crystal Palace,31,['aa422654-7317-4cfb-9e4a-e56b0d1eb4da'],1,,,,,,,,,,,,,,,,,Crystal Palace,31,00:00:01.941,Pass,
,,,,,,,,,,,,,,,,,1.79781,,,,,,,,,,,,,236708ec-b62a-4aaa-ac19-10b1f1ff351a,12,,"[54.3, 25.5]",3754046,0,,,,2.478934,,Right Foot,,,,"[32.9, 42.2]",,Ground Pass,,27.144981,,,,Scott Dann,3407.0,,,,,,,1,From Kick Off,Yohan Cabaye,3277.0,Left Center Midfield,2,Crystal Palace,31,"['1cef202a-1d51-4369-8277-c55b5a2d3518', '85c43935-8130-4cb5-a136-bdbc0c1e4ba7']",4,,,,,,,,,,,,,,,,,Crystal Palace,31,00:00:04.605,Pass,True
,,,,,,,,,,,,,,,,,1.267494,,,,,,,,,,,,,fb6c4fad-cbc1-427c-b8d6-df916d7d07b2,14,,"[32.9, 42.2]",3754046,0,,,,-1.6637915,,Right Foot,,,,"[31.1, 22.9]",,Ground Pass,,19.383757,,,,Damien Delaney,3693.0,,,,,,,1,From Kick Off,Scott Dann,3407.0,Right Center Back,2,Crystal Palace,31,['126ce7d8-a763-46c6-aa2a-8505947f7ca9'],6,,,,,,,,,,,,,,,,,Crystal Palace,31,00:00:06.402,Pass,
