bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,75dad123-0c48-44e6-956e-428c7866d532,1,,,3754104,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Norwich City,56,,0,,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 23635, 'name': 'John Ruddy'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 11124, 'name': 'Steven Whittaker'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 21212, 'name': 'Russell Martin'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 31296, 'name': 'Sébastien Aymar Bassong Nguena'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 10967, 'name': 'Robert Brady'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 16334, 'name': 'Graham Dorrans'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 9463, 'name': 'Alexander Banor Tettey'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 27}, {'player': {'id': 3286, 'name': 'Nathan Redmond'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 22}, {'player': {'id': 9578, 'name': 'Jonathan Howson'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 8}, {'player': {'id': 10966, 'name': 'Wes Hoolahan'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 14}, {'player': {'id': 4807, 'name': 'Cameron Jerome'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Norwich City,56,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a982b2ba-6ddb-44a9-8c05-e5782f402dcd,2,,,3754104,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Norwich City,56,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3537, 'name': 'Jack Butland'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4724, 'name': 'Glen Johnson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 8}, {'player': {'id': 3480, 'name': 'Geoff Cameron'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 20}, {'player': {'id': 6560, 'name': 'Marc Muniesa Martínez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 3467, 'name': 'Erik Pieters'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 8251, 'name': 'Marco van Ginkel'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 9625, 'name': 'Glenn Whelan'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 3533, 'name': 'Xherdan Shaqiri'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 22}, {'player': {'id': 4891, 'name': 'Ibrahim Afellay'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 14}, {'player': {'id': 3325, 'name': 'Marko Arnautović'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 3603, 'name': 'Mame Biram Diouf'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 18}]}",Stoke City,30,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,caa771b1-2c44-4ba0-b215-e800fbf1f65f,3,,,3754104,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Norwich City,56,['e8207d9a-8cb2-4bd0-9de8-9c0403b2bc4e'],0,,,,,,,,,,,,,,,,,,Stoke City,30,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e8207d9a-8cb2-4bd0-9de8-9c0403b2bc4e,4,,,3754104,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Norwich City,56,['caa771b1-2c44-4ba0-b215-e800fbf1f65f'],0,,,,,,,,,,,,,,,,,,Norwich City,56,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d1398682-1c12-4991-b1d8-b1fe128a9af2,1544,,,3754104,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,85,Norwich City,56,['5cad9bc6-46c6-4e99-bf0e-ceb671835102'],0,,,,,,,,,,,,,,,,,,Stoke City,30,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5cad9bc6-46c6-4e99-bf0e-ceb671835102,1545,,,3754104,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,85,Norwich City,56,['d1398682-1c12-4991-b1d8-b1fe128a9af2'],0,,,,,,,,,,,,,,,,,,Norwich City,56,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.24,,,,,,,,,,,,,f75d4139-6351-47a0-8cee-449c4834982e,5,,"[61.0, 40.1]",3754104,0,True,,,1.7955076,,Right Foot,,,,"[60.2, 43.6]",,Ground Pass,,3.5902646,,,,Ibrahim Afellay,4891.0,,,,,Kick Off,1,From Kick Off,Mame Biram Diouf,3603.0,Center Forward,2,Stoke City,30,['a4b044d6-c79e-4845-a679-39bfe0d0af72'],1,,,,,,,,,,,,,,,,,,Stoke City,30,00:00:01.090,Pass,
,,,,,,,,,,,,,,,,,0.392089,,,,,,,,,,,,,22205e5a-1ced-4aa6-a92b-245b03739d9d,7,,"[60.2, 41.3]",3754104,0,,,,2.9694018,,Right Foot,,,,"[53.3, 42.5]",,Ground Pass,,7.0035706,,,,Marco van Ginkel,8251.0,,,,,,1,From Kick Off,Ibrahim Afellay,4891.0,Center Attacking Midfield,2,Stoke City,30,['3269a98d-d5a4-4c1f-a95c-0221173f8229'],1,,,,,,,,,,,,,,,,,,Stoke City,30,00:00:01.530,Pass,
,,,,,,,,,,,,,,,,,1.527508,,,,,,,,,,,,,8d19350e-15e5-4d97-974a-f8c45bb58931,10,,"[52.5, 39.4]",3754104,0,,,,-1.9358145,,Right Foot,,,,"[41.8, 11.4]",,Ground Pass,,29.974823,,,,Erik Pieters,3467.0,,,,,,1,From Kick Off,Marco van Ginkel,8251.0,Right Defensive Midfield,2,Stoke City,30,['0c547a71-521d-42a1-9219-90025441a499'],2,,,,,,,,,,,,,,,,,,Stoke City,30,00:00:02.697,Pass,
,,,,,,,,,,,,,,,,,2.709895,,,,,,,,,,,,,ce12ec9a-dc23-4962-8c19-cf10e20e4855,13,,"[41.8, 12.0]",3754104,0,,,,1.8721416,,Left Foot,,,,"[28.0, 56.4]",,Ground Pass,,46.49516,,,,Geoff Cameron,3480.0,,True,,,,1,From Kick Off,Erik Pieters,3467.0,Left Back,2,Stoke City,30,['968dd6ea-016a-4ed5-9f84-931db8eaa6d2'],5,,,,,,,,,,,,,,,,,,Stoke City,30,00:00:05.050,Pass,
