ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2511be10-939e-4ad6-b527-a38ff7d742cf,1,,,3754276,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tottenham Hotspur,38,,0,,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3099, 'name': 'Hugo Lloris'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3205, 'name': 'Kyle Walker'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 20005, 'name': 'Toby Alderweireld'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 3077, 'name': 'Jan Vertonghen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 3594, 'name': 'Danny Rose'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 10956, 'name': 'Eric Dier'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 3310, 'name': 'Tom Carroll'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 28}, {'player': {'id': 3585, 'name': 'Erik Lamela'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 3094, 'name': 'Bamidele Alli'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 20}, {'player': {'id': 3043, 'name': 'Christian Dannemann Eriksen'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 23}, {'player': {'id': 10955, 'name': 'Harry Kane'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Tottenham Hotspur,38,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,003c0abc-7167-441d-be3d-5f9dcd2145f9,2,,,3754276,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tottenham Hotspur,38,,0,,,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 3096, 'name': 'Rob Elliot'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 21}, {'player': {'id': 3650, 'name': 'Daryl Janmaat'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 3044, 'name': 'Chancel Mbemba Mangulu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 18}, {'player': {'id': 26207, 'name': 'Fabricio Coloccini'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 3065, 'name': 'Paul Dummett'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 16072, 'name': 'Vurnon Anita'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 9649, 'name': 'Jack Colback'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 3091, 'name': 'Moussa Sissoko'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 7}, {'player': {'id': 3567, 'name': 'Georginio Wijnaldum'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 5}, {'player': {'id': 8061, 'name': 'Siem Stefan de Jong'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 30289, 'name': 'Papiss Demba Cissé'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Newcastle United,37,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,da941f7c-8ae0-4fb8-8ded-a8b9441e9897,3,,,3754276,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tottenham Hotspur,38,['6705f97f-080e-4817-aabd-0bee620476ef'],0,,,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,6705f97f-080e-4817-aabd-0bee620476ef,4,,,3754276,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tottenham Hotspur,38,['da941f7c-8ae0-4fb8-8ded-a8b9441e9897'],0,,,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,c320c424-fdd4-49c5-ba9e-5fcdf7356285,1523,,,3754276,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,111,Tottenham Hotspur,38,['cfc151c9-f309-47fb-8d76-3eb433b62724'],0,,,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,cfc151c9-f309-47fb-8d76-3eb433b62724,1524,,,3754276,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,111,Tottenham Hotspur,38,['c320c424-fdd4-49c5-ba9e-5fcdf7356285'],0,,,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.194041,,,,,,,,,,,,8e9fc23f-4711-4696-905b-4479dcd4834f,5,,"[60.0, 40.0]",3754276,0,,,,,1.6142472,,Right Foot,,,"[59.9, 42.3]",,Ground Pass,,2.302173,,,Vurnon Anita,16072.0,,,,,Kick Off,1,From Kick Off,Siem Stefan de Jong,8061.0,Center Attacking Midfield,2,Newcastle United,37,['e00bba16-175f-4e43-be4c-564641d4be82'],0,,,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:00.508,Pass,
,,,,,,,,,,,,,,,,,1.484411,,,,,,,,,,,,75776507-e3a3-44b6-8947-27e6152f8722,8,,"[60.8, 42.9]",3754276,0,,,,,-2.70175,,Right Foot,,,"[47.2, 36.5]",,Ground Pass,,15.030636,,,Jack Colback,9649.0,,,,,,1,From Kick Off,Vurnon Anita,16072.0,Right Defensive Midfield,2,Newcastle United,37,['b5453bbc-7764-462c-81a9-95758cf8e5e9'],0,,,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:00.789,Pass,
,,,,,,,,,,,,,,,,,2.474846,,,,,,,,,,,,8300b66a-628d-49ae-babf-d853fd2cff45,10,,"[47.2, 36.5]",3754276,0,,,,,0.57907426,,Left Foot,,,"[81.0, 58.6]",,High Pass,,40.383785,,,Papiss Demba Cissé,30289.0,,,,,,1,From Kick Off,Jack Colback,9649.0,Left Defensive Midfield,2,Newcastle United,37,['4148f9c7-2756-453a-9448-f270059ef96e'],2,,,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:02.273,Pass,
,,,,,,,,,,,,,,,,,1.646246,,,,,,,,,,,,81593699-97af-4417-baae-1234ed799bfb,12,,"[81.0, 58.6]",3754276,0,,,,,1.3243383,,Head,,,"[85.0, 74.5]",,High Pass,,16.395426,,,Moussa Sissoko,3091.0,,,,,,1,From Kick Off,Papiss Demba Cissé,30289.0,Center Forward,2,Newcastle United,37,['f522158f-2711-49f3-bd2f-4a4dd8254af1'],4,,,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:04.748,Pass,
