50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,19959693-6bb9-4394-acfe-643c52f0ed0e,1,,,3753973,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea,33,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3509, 'name': 'Thibaut Courtois'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 5594, 'name': 'Branislav Ivanović'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 3645, 'name': 'Gary Cahill'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 24}, {'player': {'id': 20287, 'name': 'John Terry'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 26}, {'player': {'id': 3957, 'name': 'César Azpilicueta Tanco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 28}, {'player': {'id': 3478, 'name': 'Francesc Fàbregas i Soler'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 5475, 'name': 'John Michael Nchekwube Obinna'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 3472, 'name': 'Willian Borges da Silva'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 22}, {'player': {'id': 40122, 'name': 'Oscar dos Santos Emboaba Júnior'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 3666, 'name': 'Robert Kenedy Nunes do Nascimento'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 16}, {'player': {'id': 6623, 'name': 'Loïc Rémy'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 18}]}",Chelsea,33,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,f017b5c4-f8c3-4715-9b94-75551df10f0c,2,,,3753973,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea,33,,0,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 3623, 'name': 'Adrián San Miguel del Castillo'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 3349, 'name': 'Michail Antonio'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 30}, {'player': {'id': 4280, 'name': 'Winston Reid'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 3843, 'name': 'Angelo Obinze Ogbonna'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 21}, {'player': {'id': 3062, 'name': 'Aaron Cresswell'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 3684, 'name': 'Cheikhou Kouyaté'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 28559, 'name': 'Enner Remberto Valencia Lastra'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 11}, {'player': {'id': 3874, 'name': 'Mark Noble'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 3595, 'name': 'Manuel Lanzini'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 28}, {'player': {'id': 3491, 'name': 'Dimitri Payet'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 27}, {'player': {'id': 3962, 'name': 'Diafra Sakho'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 15}]}",West Ham United,40,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,236b1236-1609-4518-9a80-3627d99a47e7,3,,,3753973,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea,33,['b4a74b71-ba94-4208-9ea4-1bb0fd502be3'],0,,,,,,,,,,,,,,,,,Chelsea,33,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,b4a74b71-ba94-4208-9ea4-1bb0fd502be3,4,,,3753973,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea,33,['236b1236-1609-4518-9a80-3627d99a47e7'],0,,,,,,,,,,,,,,,,,West Ham United,40,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,27adc0e2-2e3e-4230-8db9-9acebae57504,1826,,,3753973,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,92,Chelsea,33,['271b1122-43b2-4604-ab1b-483c4b45113b'],0,,,,,,,,,,,,,,,,,Chelsea,33,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,271b1122-43b2-4604-ab1b-483c4b45113b,1827,,,3753973,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,92,Chelsea,33,['27adc0e2-2e3e-4230-8db9-9acebae57504'],0,,,,,,,,,,,,,,,,,West Ham United,40,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.472503,,,,,,,,,,,,,,,5d64c4b3-c06a-46c7-9903-653ca2cd91d1,5,,"[61.0, 40.1]",3753973,0,,,,,1.6563016,,Right Foot,,,,"[60.7, 43.6]",,Ground Pass,,3.5128336,,,Oscar dos Santos Emboaba Júnior,40122.0,,,,,,Kick Off,1,From Kick Off,Loïc Rémy,6623.0,Center Forward,2,Chelsea,33,['576d1b5c-2f16-42c4-9a83-110614ba2d3f'],0,,,,,,,,,,,,,,,,,Chelsea,33,00:00:00.531,Pass,
,,,,,,,,,,,,,,,,,,,0.7085,,,,,,,,,,,,,,,7b6e06cf-2a00-442f-b8b9-02c6a5495b0c,7,,"[60.7, 43.6]",3753973,0,,,,,-2.6682365,,Right Foot,,,,"[56.6, 41.5]",,Ground Pass,,4.6065173,,,Francesc Fàbregas i Soler,3478.0,,,,,,,1,From Kick Off,Oscar dos Santos Emboaba Júnior,40122.0,Center Attacking Midfield,2,Chelsea,33,['ed7c8033-b13d-4e05-8395-ea33ada777a8'],1,,,,,,,,,,,,,,,,,Chelsea,33,00:00:01.003,Pass,
,,,,,,,,,,,,,,,,,,,1.1872,,,,,,,,,,,,,,,d5039022-0634-400d-a66f-080fdcc9eb36,10,,"[57.1, 43.0]",3753973,0,,,,,1.6406823,,Right Foot,,,,"[55.0, 73.0]",,Ground Pass,,30.07341,,,Branislav Ivanović,5594.0,,,,,,,1,From Kick Off,Francesc Fàbregas i Soler,3478.0,Right Defensive Midfield,2,Chelsea,33,['511464fe-8423-4987-bb2b-457842386a13'],3,,,,,,,,,,,,,,,,,Chelsea,33,00:00:03.056,Pass,
,,,,,,,,,,,,,,,,,,,1.885477,,,,,,,,,,,,,,,7cabc80c-d771-4a32-a0b4-bec181e1d8da,12,,"[55.0, 73.0]",3753973,0,,,,,-2.3388264,,Right Foot,,,,"[35.2, 52.5]",,Ground Pass,,28.500702,,,Gary Cahill,3645.0,,,,,,,1,From Kick Off,Branislav Ivanović,5594.0,Right Back,2,Chelsea,33,['5dede857-c049-4cb7-9809-2c0c1fb95f9e'],4,,,,,,,,,,,,,,,,,Chelsea,33,00:00:04.243,Pass,
