ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,3af503bc-63a4-4f35-aa78-1010e4a0be8b,1,,,3754088,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Newcastle United,37,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3096, 'name': 'Rob Elliot'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 21}, {'player': {'id': 3650, 'name': 'Daryl Janmaat'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 3044, 'name': 'Chancel Mbemba Mangulu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 18}, {'player': {'id': 26207, 'name': 'Fabricio Coloccini'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 3065, 'name': 'Paul Dummett'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 42900, 'name': 'Cheik Ismaël Tioté'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 24}, {'player': {'id': 9649, 'name': 'Jack Colback'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 3091, 'name': 'Moussa Sissoko'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 3567, 'name': 'Georginio Wijnaldum'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 5}, {'player': {'id': 3076, 'name': 'Ayoze Pérez Gutiérrez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 4269, 'name': 'Aleksandar Mitrović'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 45}]}",Newcastle United,37,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,b1fa0545-bc6a-47b9-aa88-1d890835dc94,2,,,3754088,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Newcastle United,37,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3333, 'name': 'David de Gea Quintana'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3612, 'name': 'Ashley Young'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 18}, {'player': {'id': 10958, 'name': 'Chris Smalling'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 12}, {'player': {'id': 3311, 'name': 'Daley Blind'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 17}, {'player': {'id': 4587, 'name': 'Matteo Darmian'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 36}, {'player': {'id': 3600, 'name': 'Morgan Schneiderlin'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 28}, {'player': {'id': 3296, 'name': 'Marouane Fellaini-Bakkioui'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 27}, {'player': {'id': 20039, 'name': 'Anthony Martial'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 3606, 'name': 'Ander Herrera Agüera'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 21}, {'player': {'id': 3293, 'name': 'Jesse Lingard'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 35}, {'player': {'id': 3538, 'name': 'Wayne Mark Rooney'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Manchester United,39,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,ad3d57be-2922-45ca-9763-c256e316ceee,3,,,3754088,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Newcastle United,37,['44b82f44-be2d-4d05-b9be-4c3363cfca4e'],0,,,,,,,,,,,,,,,,,,Manchester United,39,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,44b82f44-be2d-4d05-b9be-4c3363cfca4e,4,,,3754088,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Newcastle United,37,['ad3d57be-2922-45ca-9763-c256e316ceee'],0,,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,4f8ea7ac-1844-4c6c-ac51-790af74a86c4,1841,,,3754088,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,84,Manchester United,39,['53fb50f7-1a3f-4b01-879d-3c1693be322d'],0,,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,53fb50f7-1a3f-4b01-879d-3c1693be322d,1842,,,3754088,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,84,Manchester United,39,['4f8ea7ac-1844-4c6c-ac51-790af74a86c4'],0,,,,,,,,,,,,,,,,,,Manchester United,39,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.627197,,,,,,,,,,,,,,51447cea-7100-4b95-a4dc-7e28dee404f5,5,,"[61.0, 40.1]",3754088,0,,,,,-2.8398395,,Right Foot,,,,"[45.9, 35.4]",,Ground Pass,,15.81455,,,,Cheik Ismaël Tioté,42900.0,,,,,Kick Off,1,From Kick Off,Aleksandar Mitrović,4269.0,Center Forward,2,Newcastle United,37,['7e12f009-f842-4aab-97d4-0cd9b91b801e'],0,,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:00.057,Pass,
,,,,,,,,,,,,,,,,,1.359273,,,,,,,,,,,,,,e0384b40-72ad-476b-9615-27c7b21b881f,9,,"[45.7, 30.9]",3754088,0,,,,,-2.0722167,,Right Foot,,,,"[38.3, 17.4]",,Ground Pass,,15.395129,,,,Paul Dummett,3065.0,,,,,,1,From Kick Off,Cheik Ismaël Tioté,42900.0,Right Center Midfield,2,Newcastle United,37,"['11bb929f-d8f7-43b7-8538-0a6cc14a9ac6', '8a9daefd-7bda-4ae8-9015-b68fde623592']",1,,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:01.292,Pass,True
,,,,,,,,,,,,,,,,,1.078529,,,,,,,,,,,,,,1b692fb7-e7d4-4f42-a8e5-f558dc2ae06b,13,,"[37.2, 17.8]",3754088,0,,,,,2.4253907,,Left Foot,,,,"[26.4, 27.2]",,Ground Pass,,14.3178215,,,,Fabricio Coloccini,26207.0,,,,,,1,From Kick Off,Paul Dummett,3065.0,Left Back,2,Newcastle United,37,"['dd464984-4c1a-456b-9ba4-5487088a2ef7', 'fab1d937-e930-4807-80d0-51f2e8a2f047']",3,,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:03.595,Pass,True
,,,,,,,,,,,,,,,,,0.846867,,,,,,,,,,,,,,d2aa3a11-29c0-49b7-a07a-9c042f6a8382,16,,"[26.4, 27.2]",3754088,0,,,,,-0.02272336,,Right Foot,,,,"[39.6, 26.9]",,Ground Pass,,13.203408,,,,Cheik Ismaël Tioté,42900.0,,,,,,1,From Kick Off,Fabricio Coloccini,26207.0,Left Center Back,2,Newcastle United,37,['9582cc67-c85f-4f29-8810-6c59295ba4de'],4,,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:04.754,Pass,
