bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2b366cdf-c067-4193-bb21-844d9c887983,1,,,3754113,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Southampton,25,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 20201, 'name': 'Maarten Stekelenburg'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 3329, 'name': 'Cédric Ricardo Alves Soares'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 3960, 'name': 'José Miguel da Rocha Fonte'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 3669, 'name': 'Virgil van Dijk'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 17}, {'player': {'id': 20045, 'name': 'Ryan Bertrand'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 3098, 'name': 'Victor Wanyama'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 3328, 'name': 'James Ward-Prowse'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 3629, 'name': 'Sadio Mané'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 3828, 'name': 'Steven Davis'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 3831, 'name': 'Dušan Tadić'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 11062, 'name': 'Graziano Pellè'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Southampton,25,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,67d3ef99-a841-4ce5-832f-f4ae2bce4dcc,2,,,3754113,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Southampton,25,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 12608, 'name': 'Bradley Guzan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 9642, 'name': 'Alan Hutton'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 24380, 'name': 'Tetchi Jores Charlemagne Ulrich Okore'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 20285, 'name': 'Joleon Lescott'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 16}, {'player': {'id': 9533, 'name': 'Leandro Bacuna'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 7}, {'player': {'id': 5685, 'name': 'Carlos Alberto Sánchez Moreno'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 7153, 'name': 'Jordan Veretout'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 3436, 'name': 'Idrissa Gana Gueye'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 11117, 'name': 'Scott Sinclair'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 3450, 'name': 'Jordan Ayew'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 19}, {'player': {'id': 19362, 'name': 'Rudy Gestede'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 39}]}",Aston Villa,59,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,402e7ee8-e6b1-4a7b-8c6d-9522015d19e7,3,,,3754113,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Southampton,25,['edeb3974-ecb6-4c11-866c-21274ba152d7'],0,,,,,,,,,,,,,,,,,,Aston Villa,59,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,edeb3974-ecb6-4c11-866c-21274ba152d7,4,,,3754113,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Southampton,25,['402e7ee8-e6b1-4a7b-8c6d-9522015d19e7'],0,,,,,,,,,,,,,,,,,,Southampton,25,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,f63a035d-60bd-4a02-a1f3-9398fc511a2c,1741,,,3754113,45,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,105,Southampton,25,['f600f9e2-2074-42e9-b40c-116e291ce911'],0,,,,,,,,,,,,,,,,,,Aston Villa,59,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,f600f9e2-2074-42e9-b40c-116e291ce911,1742,,,3754113,45,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,105,Southampton,25,['f63a035d-60bd-4a02-a1f3-9398fc511a2c'],0,,,,,,,,,,,,,,,,,,Southampton,25,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.28,,,,,,,,,,,,9485bee4-fb40-4c2c-a79b-bd314b2753b7,5,,"[61.0, 40.1]",3754113,0,,,,,-1.9347752,,Right Foot,,,"[60.2, 38.0]",,Ground Pass,,2.2472205,,Graziano Pellè,11062.0,,,,,Kick Off,1,From Kick Off,Steven Davis,3828.0,Center Attacking Midfield,2,Southampton,25,['10692800-09a1-454e-bec4-39f2984eb4d0'],1,,,,,,,,,,,,,,,,,,Southampton,25,00:00:01.415,Pass,
,,,,,,,,,,,,,,,,,,0.749704,,,,,,,,,,,,0bc0ead7-1a0e-44b4-aeb0-39c5632f541e,8,,"[62.0, 38.0]",3754113,0,,,,,-2.9504082,,Right Foot,,,"[49.6, 35.6]",,Ground Pass,,12.630123,,Victor Wanyama,3098.0,,,,,,1,From Kick Off,Graziano Pellè,11062.0,Center Forward,2,Southampton,25,['08339e81-fa0e-4a73-bcba-94f13c3e3e1c'],1,,,,,,,,,,,,,,,,,,Southampton,25,00:00:01.775,Pass,
,,,,,,,,,,,,,,,,,,1.282724,,,,,,,,,,,,85335ab4-496b-4944-bedf-98705c8bd434,11,,"[45.7, 36.8]",3754113,0,,,,,2.2562053,,Right Foot,,,"[31.8, 53.8]",,Ground Pass,,21.95928,,José Miguel da Rocha Fonte,3960.0,,,,,,1,From Kick Off,Victor Wanyama,3098.0,Right Defensive Midfield,2,Southampton,25,['6d0235ba-a442-4502-8537-7c9bff8f57e0'],3,,,,,,,,,,,,,,,,,,Southampton,25,00:00:03.511,Pass,
,,,,,,,,,,,,,,,,,,2.309158,,,,,,,,,,,,e86beeff-0359-4a35-b4b1-6fe389719ff0,14,,"[33.0, 53.6]",3754113,0,,,,,-1.5794168,,Right Foot,,,"[32.8, 30.4]",,Ground Pass,,23.200863,,Virgil van Dijk,3669.0,,,,,,1,From Kick Off,José Miguel da Rocha Fonte,3960.0,Right Center Back,2,Southampton,25,['b682d2e9-2ac8-447d-acd5-d43a3b81f608'],6,,,,,,,,,,,,,,,,,,Southampton,25,00:00:06.610,Pass,
