50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,7c14bc96-dc95-4371-8a00-3b23698e345f,1,,,3754054,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester City,36,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3291, 'name': 'Joe Hart'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 7110, 'name': 'Bacary Sagna'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 3090, 'name': 'Nicolás Hernán Otamendi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 30}, {'player': {'id': 3389, 'name': 'Eliaquim Mangala'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 20}, {'player': {'id': 5596, 'name': 'Aleksandar Kolarov'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 11}, {'player': {'id': 3087, 'name': 'Gnégnéri Yaya Touré'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 42}, {'player': {'id': 3054, 'name': 'Fernando Luiz Rosa'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 25}, {'player': {'id': 3089, 'name': 'Kevin De Bruyne'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 3064, 'name': 'David Josué Jiménez Silva'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 21}, {'player': {'id': 3233, 'name': 'Raheem Sterling'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 3598, 'name': 'Wilfried Guemiand Bony'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 14}]}",Manchester City,36,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0356d2ac-507f-47af-a0ca-b14ef0bfbd41,2,,,3754054,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester City,36,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 9539, 'name': 'Vito Mannone'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 25}, {'player': {'id': 10503, 'name': 'Billy Jones'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 6300, 'name': 'Sebastián Coates Nión'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 22}, {'player': {'id': 16890, 'name': ""John O''Shea""}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 16}, {'player': {'id': 3321, 'name': 'Patrick van Aanholt'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 4429, 'name': ""Yann Gérard M''Vila""}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 42902, 'name': 'Adam Johnson'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 11}, {'player': {'id': 43627, 'name': 'Jordi Gómez García-Penche'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 4217, 'name': 'Danny Graham'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 7171, 'name': 'Fabio Borini'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 9}, {'player': {'id': 9554, 'name': 'Steven Fletcher'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 26}]}",Sunderland,41,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,20dcbeba-722d-48d0-8886-ce1ca930eaae,3,,,3754054,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester City,36,['9af8c0f3-35d5-431e-964c-61077149460a'],0,,,,,,,,,,,,,,,,,,Sunderland,41,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,9af8c0f3-35d5-431e-964c-61077149460a,4,,,3754054,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester City,36,['20dcbeba-722d-48d0-8886-ce1ca930eaae'],0,,,,,,,,,,,,,,,,,,Manchester City,36,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,55ff60ed-5738-4a5a-be2f-469a598674ba,1679,,,3754054,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,84,Manchester City,36,['681cbb14-94d8-4522-8df7-574da78490e0'],0,,,,,,,,,,,,,,,,,,Sunderland,41,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,681cbb14-94d8-4522-8df7-574da78490e0,1680,,,3754054,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,84,Manchester City,36,['55ff60ed-5738-4a5a-be2f-469a598674ba'],0,,,,,,,,,,,,,,,,,,Manchester City,36,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.440949,,,,,,,,,,,,,,,,a52ecc59-ed7a-4e58-a164-5f81fc9cf4c8,5,,"[61.0, 40.1]",3754054,0,,,,,-2.8555412,,Right Foot,,,,"[59.3, 39.6]",,Ground Pass,,1.7720045,,,,Adam Johnson,42902.0,,,,,Kick Off,1,From Kick Off,Steven Fletcher,9554.0,Center Forward,2,Sunderland,41,['db5cec60-a142-4f38-b2b2-4f6449b4175c'],0,,,,,,,,,,,,,,,,,,Sunderland,41,00:00:00.766,Pass,
,,,,,,,,,,,,,,,,1.574328,,,,,,,,,,,,,,,,f0382716-f6d4-4261-bca6-eabd5d2ce08d,8,,"[57.7, 40.3]",3754054,0,,,,,2.5876055,,Left Foot,,,,"[36.2, 53.6]",,Ground Pass,,25.281218,,,,Sebastián Coates Nión,6300.0,,,,,,1,From Kick Off,Adam Johnson,42902.0,Right Center Midfield,2,Sunderland,41,['7137f4ea-d132-4372-9ee1-595e4829f013'],1,,,,,,,,,,,,,,,,,,Sunderland,41,00:00:01.815,Pass,
,,,,,,,,,,,,,,,,3.070067,,,,,,,,,,,,,,,,1da7a96d-a9fa-45d6-94fb-2a3327b70897,11,,"[41.1, 60.6]",3754054,0,,,,,-0.06874907,,Right Foot,,,,"[105.0, 56.2]",,High Pass,,64.05131,,Incomplete,,Steven Fletcher,9554.0,,,,,,1,From Kick Off,Sebastián Coates Nión,6300.0,Right Center Back,2,Sunderland,41,"['21c3adc2-a143-4743-9213-875bfcc4c551', '5bf61218-e3fb-441b-85b6-d9169316021f']",5,,,,,,,,,,,,,,,,,,Sunderland,41,00:00:05.452,Pass,
,,,,,,,,,,,,,,,,0.893709,,,,,,,,,,,,,,,,6375b2f6-01d2-4a60-b69e-6597f74d0dbd,14,,"[97.0, 62.8]",3754054,0,,,,,-1.1293672,,Other,,,,"[101.3, 53.7]",,Low Pass,,10.06479,,,,Fabio Borini,7171.0,,,,,Recovery,1,From Kick Off,Danny Graham,4217.0,Right Wing,2,Sunderland,41,['e5590ec7-1bdf-442d-9c6d-e1f74d766a39'],9,,,,,,,,,,,,,,,,,,Sunderland,41,00:00:09.706,Pass,
