bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,"[4.0, 40.6]",,Set,,Shot Faced,c1b4854b-362a-4390-b2c3-73409a75ba9e,1140,,,"[4.0, 40.6]",3754091,28,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Heurelho da Silva Gomes,3522.0,Goalkeeper,54,Stoke City,30,['bd9cb5e4-5dcb-4731-a537-873cea0738c6'],50,,,,,,,,,,,,,,,,,Watford,23,00:28:50.772,Goal Keeper,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,"[1.8, 38.1]",,Set,,Shot Faced,04a8016f-768e-45d3-9fbd-487d3fa78e1b,1349,,,"[1.8, 38.1]",3754091,36,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Jack Butland,3537.0,Goalkeeper,68,Watford,23,['861c930a-5f02-4524-96b3-fd6e308b4d57'],2,,,,,,,,,,,,,,,,,Stoke City,30,00:36:02.544,Goal Keeper,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,"[2.7, 37.9]",,Set,,Shot Faced,e48fb7b1-8bc4-4dc6-a73c-0b091a789439,1359,,,"[2.7, 37.9]",3754091,36,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Jack Butland,3537.0,Goalkeeper,68,Watford,23,['16a902ac-673a-42a6-9453-30ff40a97c30'],6,,,,,,,,,,,,,,,,,Stoke City,30,00:36:06.406,Goal Keeper,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,"[5.1, 43.1]",,Moving,,Shot Faced,52c02904-bb35-4ff4-87ab-39a6188180e2,1367,,,"[5.1, 43.1]",3754091,36,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Jack Butland,3537.0,Goalkeeper,68,Watford,23,['74cd1562-41c2-4453-885a-f71afa74a5ca'],9,,,,,,,,,,,,,,,,,Stoke City,30,00:36:09.762,Goal Keeper,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,In Play Safe,,,Punch,97ae5b9b-1365-445c-ad24-65b68a3db5ad,1500,,,"[4.0, 35.9]",3754091,40,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Heurelho da Silva Gomes,3522.0,Goalkeeper,78,Stoke City,30,['b09a8538-6849-4496-9645-17a9f9d6583e'],25,,,,,,,,,,,,,,,,,Watford,23,00:40:25.098,Goal Keeper,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,"[5.3, 39.1]",,Set,,Shot Faced,0d6788da-83a8-4a43-80a4-1eca9ff4694d,1511,,,"[5.3, 39.1]",3754091,40,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Heurelho da Silva Gomes,3522.0,Goalkeeper,79,Stoke City,30,['dc238bc1-1fc4-4ee0-853f-fa67329682df'],57,,,,,,,,,,,,,,,,,Watford,23,00:40:57.944,Goal Keeper,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,No Touch,Set,Diving,Goal Conceded,dd393e70-1906-40ff-86a6-ba971833dca8,1556,,,"[3.6, 41.3]",3754091,42,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Jack Butland,3537.0,Goalkeeper,83,Watford,23,['3cc23d80-6cad-4593-88fd-a3e3938596ff'],1,,,,,,,,,,,,,,,,,Stoke City,30,00:42:01.476,Goal Keeper,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,"[1.1, 39.9]",,Set,,Shot Faced,8858d13b-3a86-4563-b14b-fc91f52c69f0,1799,,,"[1.1, 39.9]",3754091,49,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Heurelho da Silva Gomes,3522.0,Goalkeeper,95,Stoke City,30,['352780b4-9677-4198-9dc0-6d25344c51fc'],13,,,,,,,,,,,,,,,,,Watford,23,00:04:13.842,Goal Keeper,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,"[1.8, 37.2]",,Set,,Shot Faced,65066874-fef8-43f9-9e86-d6d446981520,1843,,,"[1.8, 37.2]",3754091,50,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Jack Butland,3537.0,Goalkeeper,99,Watford,23,['523f3ebc-2793-45a8-a77f-4c8475429ee9'],32,,,,,,,,,,,,,,,,,Stoke City,30,00:05:32.296,Goal Keeper,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,Success,,,Collected,8abd4ec5-deab-4e7c-9c91-7bb05f8e2ba3,1950,,,"[5.1, 32.2]",3754091,54,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,Jack Butland,3537.0,Goalkeeper,106,Stoke City,30,['3fa80dee-7a77-4adb-ba32-7b660f8e8360'],13,,,,,,,,,,,,,,,,,Stoke City,30,00:09:13.960,Goal Keeper,
