50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_lost_in_play,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,1.376002,,,,,,,,,,,,,,,,3d5363ac-178c-434e-94ed-4497954fcb71,21,,"[61.8, 18.0]",3754322,0,,,,,-0.5636711,,Right Foot,,,,"[72.4, 11.3]",,Ground Pass,,12.539936,,,Incomplete,,Kevin De Bruyne,3089.0,,,,,,1,From Kick Off,Gnégnéri Yaya Touré,3087.0,Left Defensive Midfield,2,Manchester City,36,"['1421fa33-f182-495e-8992-5eb222d5f87a', 'bd5fd6a7-d80b-41a2-9e62-769f90be63f8']",9,,,,,,,,,,,,,,,,Manchester City,36,00:00:09.583,Pass,
,,,,,,,,,,,,,,,,,,0.829026,,,,,,,,,,,,,,,,53a6a4c0-58a7-4691-bf8a-75d6f7962e8e,26,,"[59.6, 66.1]",3754322,0,,,,,-0.2625464,,Right Foot,,,,"[75.6, 61.8]",,Ground Pass,,16.56774,,,,,Ruben Loftus-Cheek,3504.0,,,,,,1,From Kick Off,César Azpilicueta Tanco,3957.0,Right Back,2,Manchester City,36,"['5bfc1dac-b323-49ad-91b3-0ed6d7bbc5b2', '91e116a7-9571-4cc4-99f6-68c2bb44edd5']",12,,,,,,,,,,,,,,,,Chelsea,33,00:00:12.872,Pass,True
,,,,,,,,,,,,,,,,,,1.256155,,,,,,,,,,,,,,,,4db619b8-488b-42b1-95fb-a8289bff4db3,33,,"[38.0, 24.3]",3754322,0,,,,,1.2247849,,Left Foot,,,,"[46.4, 47.6]",,Ground Pass,,24.767923,,,,,Jesús Navas González,6821.0,,,,,,1,From Kick Off,Eliaquim Mangala,3389.0,Left Center Back,2,Manchester City,36,['3baed36d-f492-44c6-9fde-4d85457b7afb'],17,,,,,,,,,,,,,,,,Manchester City,36,00:00:17.778,Pass,
,,,,,,,,,,,,,,,,,,0.561754,,,,,,,,,,,,,,,,85e6e516-a83c-4ce5-9945-6d1ae3ed0691,36,,"[44.2, 47.9]",3754322,0,,,,,-1.8182502,,Right Foot,,,,"[41.8, 38.4]",,Ground Pass,,9.79847,,,,,Fernando Luiz Rosa,3054.0,,,,,,1,From Kick Off,Jesús Navas González,6821.0,Right Wing,2,Manchester City,36,['3219c91b-007a-4ce3-87a9-5d376b129aca'],19,,,,,,,,,,,,,,,,Manchester City,36,00:00:19.670,Pass,
,,,,,,,,,,,,,,,,,,2.023076,,,,,,,,,,,,,,,,5dbc447c-75f2-4498-88fe-2ada4176f836,38,,"[40.9, 41.4]",3754322,0,,,,,1.3216054,,Right Foot,,,,"[48.0, 69.3]",,Ground Pass,,28.789234,,,,,Pablo Javier Zabaleta Girod,3052.0,,,,,,1,From Kick Off,Fernando Luiz Rosa,3054.0,Right Defensive Midfield,2,Manchester City,36,['d6353385-7513-418a-ba59-857628f8ee84'],20,,,,,,,,,,,,,,,,Manchester City,36,00:00:20.232,Pass,
,,,,,,,,,,,,,,,,,,0.751045,,,,,,,,,,,,,,,,a43a93b1-8b4e-4523-8a75-5c1548164fbb,41,,"[66.7, 65.8]",3754322,0,,,,,-0.9742953,,Right Foot,,,,"[72.2, 57.7]",,Ground Pass,,9.7908125,,,,,Sergio Leonel Agüero del Castillo,3237.0,,,,,,1,From Kick Off,Pablo Javier Zabaleta Girod,3052.0,Right Back,2,Manchester City,36,['c4595078-2397-4415-a971-4991d0d5b722'],24,,,,,,,,,,,,,,,,Manchester City,36,00:00:24.022,Pass,
,,,,,,,,,,,,,,,,,,1.34632,,,,,,,,,,,,,,,,1c177fe9-5fee-44a7-b236-9287b3a69846,45,,"[67.3, 58.5]",3754322,0,,,,,-2.6057813,,Right Foot,,,,"[54.5, 50.9]",,Low Pass,,14.886235,,,,,Gnégnéri Yaya Touré,3087.0,,,,,,1,From Kick Off,Sergio Leonel Agüero del Castillo,3237.0,Center Forward,2,Manchester City,36,['03fab721-5995-47c8-9fa2-804e9f7bc932'],26,,,,,,,,,,,,,,,,Manchester City,36,00:00:26.923,Pass,
,,,,,,,,,,,,,,,,,,2.056866,,,,,,,,,,,,,,,,32c58e64-0c62-4e19-b5f1-4d6273a6fff2,48,,"[54.0, 50.6]",3754322,0,,,,,-1.7844653,,Right Foot,,,,"[49.4, 29.4]",,Ground Pass,,21.693317,,,,,Eliaquim Mangala,3389.0,,,,,,1,From Kick Off,Gnégnéri Yaya Touré,3087.0,Left Defensive Midfield,2,Manchester City,36,['a5796013-4eed-46cc-bf0d-0a1a4791cc71'],29,,,,,,,,,,,,,,,,Manchester City,36,00:00:29.772,Pass,
,,,,,,,,,,,,,,,,,,1.758972,,,,,,,,,,,,,,,,b1f75746-0e15-42b1-b33f-cbfa471d768e,51,,"[49.4, 27.8]",3754322,0,,,,,-1.3179526,,Right Foot,,,,"[54.8, 6.9]",,Ground Pass,,21.586338,,,,,Aleksandar Kolarov,5596.0,,,,,,1,From Kick Off,Eliaquim Mangala,3389.0,Left Center Back,2,Manchester City,36,['2994ee92-3223-44fe-9e51-6fe9d05454c6'],31,,,,,,,,,,,,,,,,Manchester City,36,00:00:31.898,Pass,
,,,,,,,,,,,,,,,,,,0.894517,,,,,,,,,,,,,,,,043768c8-a6fe-41ff-b749-a0b48b6cb274,54,,"[60.5, 8.0]",3754322,0,,,,,-0.5622848,,Left Foot,,,,"[67.8, 3.4]",,Ground Pass,,8.628442,,,,,Samir Nasri,20253.0,,,,,,1,From Kick Off,Aleksandar Kolarov,5596.0,Left Back,2,Manchester City,36,['52e84507-27a0-48a6-8f31-c7cc9e32da14'],35,,,,,,,,,,,,,,,,Manchester City,36,00:00:35.325,Pass,
