ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,dcf345a8-0f7a-4a88-9ba7-a881427cefb3,1,,,3754144,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AFC Bournemouth,28,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 20074, 'name': 'Artur Boruc'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 15}, {'player': {'id': 6409, 'name': 'Adam Smith'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 3608, 'name': 'Simon Francis'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 3341, 'name': 'Steve Cook'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 3345, 'name': 'Charlie Daniels'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 13248, 'name': ""Eunan O''Kane""}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 3344, 'name': 'Andrew Surman'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 3049, 'name': 'Matt Ritchie'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 15}, {'player': {'id': 4416, 'name': 'Max-Alain Gradel'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 15}, {'player': {'id': 9593, 'name': 'Lewis Grabban'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 15}, {'player': {'id': 3346, 'name': 'Joshua King'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 15}]}",AFC Bournemouth,28,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,f7d1d0bd-30e5-41be-a824-a6b3769a99e9,2,,,3754144,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AFC Bournemouth,28,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3659, 'name': 'Wilfredo Daniel Caballero'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 15}, {'player': {'id': 3052, 'name': 'Pablo Javier Zabaleta Girod'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 3090, 'name': 'Nicolás Hernán Otamendi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 3389, 'name': 'Eliaquim Mangala'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 20302, 'name': 'Gaël Clichy'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 16003, 'name': 'Fernando Francisco Reges'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 3054, 'name': 'Fernando Luiz Rosa'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 6821, 'name': 'Jesús Navas González'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 15}, {'player': {'id': 3089, 'name': 'Kevin De Bruyne'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 15}, {'player': {'id': 3064, 'name': 'David Josué Jiménez Silva'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 15}, {'player': {'id': 3237, 'name': 'Sergio Leonel Agüero del Castillo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 15}]}",Manchester City,36,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2a16c456-bbd3-4806-967b-bead43aa38d3,3,,,3754144,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AFC Bournemouth,28,['dbcd764a-0747-4ec7-993e-fc672057f570'],0,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,dbcd764a-0747-4ec7-993e-fc672057f570,4,,,3754144,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AFC Bournemouth,28,['2a16c456-bbd3-4806-967b-bead43aa38d3'],0,,,,,,,,,,,,,,,,,Manchester City,36,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,78ee2f44-5062-4e49-ac31-ce847fffe982,1945,,,3754144,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,101,AFC Bournemouth,28,['fff96ec8-c4a1-4145-af53-6218bbd9ae71'],0,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,fff96ec8-c4a1-4145-af53-6218bbd9ae71,1946,,,3754144,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,101,AFC Bournemouth,28,['78ee2f44-5062-4e49-ac31-ce847fffe982'],0,,,,,,,,,,,,,,,,,Manchester City,36,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.523999,,,,,,,,,,,,835fb839-4103-49e2-9bd3-6c838bc3d068,5,,"[60.0, 40.0]",3754144,0,,,,,3.1082716,,Right Foot,,,,"[57.0, 40.1]",,Ground Pass,,3.0016663,,,,Sergio Leonel Agüero del Castillo,3237.0,,,,,Kick Off,1,From Kick Off,Kevin De Bruyne,3089.0,Center Attacking Midfield,2,Manchester City,36,['750a3a32-eac1-4a50-a551-4137f60fa5e5'],0,,,,,,,,,,,,,,,,,Manchester City,36,00:00:00.747,Pass,
,,,,,,,,,,,,,,,,,1.505377,,,,,,,,,,,,718aa0cc-3b2b-4583-8396-07827d8c5aa4,8,,"[56.3, 38.6]",3754144,0,,,,,-2.6049044,,Left Foot,,,,"[40.5, 29.2]",,Ground Pass,,18.384777,,,,Fernando Francisco Reges,16003.0,,,,,,1,From Kick Off,Sergio Leonel Agüero del Castillo,3237.0,Center Forward,2,Manchester City,36,['6009a9f4-4b35-464f-963a-5f0e520ebfed'],2,,,,,,,,,,,,,,,,,Manchester City,36,00:00:02.893,Pass,
,,,,,,,,,,,,,,,,,2.046616,,,,,,,,,,,,e622137d-bd71-461f-861e-18fd477912d8,11,,"[40.3, 29.2]",3754144,0,,,,,2.24623,,Right Foot,,,,"[26.2, 46.8]",,Ground Pass,,22.551497,,,,Nicolás Hernán Otamendi,3090.0,,,,,,1,From Kick Off,Fernando Francisco Reges,16003.0,Right Center Midfield,2,Manchester City,36,['855c7ad4-05a3-4b7e-9b61-83ecf40892d1'],4,,,,,,,,,,,,,,,,,Manchester City,36,00:00:04.719,Pass,
,,,,,,,,,,,,,,,,,3.063733,,,,,,,,,,,,39162afd-634a-4c61-b179-d6b9626b4e24,15,,"[22.5, 48.9]",3754144,0,,,,,0.5677936,,Right Foot,,,,"[71.1, 79.9]",,High Pass,,57.645123,,Out,,Jesús Navas González,6821.0,,,,,,1,From Kick Off,Nicolás Hernán Otamendi,3090.0,Right Center Back,2,Manchester City,36,"['458cc055-b0b0-472b-ad04-c367bebc01e8', 'dfa86c32-5fb2-443c-a182-039ea69c5206']",8,,,,,,,,,,,,,,,,,Manchester City,36,00:00:08.125,Pass,True
