bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,d2ca6548-4856-45e7-b967-99ac8f05a826,1,,,3754067,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Crystal Palace,31,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3488, 'name': 'Wayne Hennessey'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 3448, 'name': 'Martin Kelly'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 34}, {'player': {'id': 3407, 'name': 'Scott Dann'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 43695, 'name': 'Brede Hangeland'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 4884, 'name': ""Pape N''Diaye Souaré""}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 3277, 'name': 'Yohan Cabaye'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 3464, 'name': 'James McArthur'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 3507, 'name': 'Wilfried Zaha'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 19688, 'name': 'Jason Puncheon'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 42}, {'player': {'id': 3589, 'name': 'Yannick Bolasie Yala'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 3092, 'name': 'Dwight Gayle'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 16}]}",Crystal Palace,31,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,b4fac388-ca32-47fb-9f37-40df6b020ae1,2,,,3754067,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Crystal Palace,31,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3623, 'name': 'Adrián San Miguel del Castillo'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 21254, 'name': 'Carl Jenkinson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 12}, {'player': {'id': 3316, 'name': 'James Tomkins'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 3482, 'name': 'James Collins'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 19}, {'player': {'id': 3062, 'name': 'Aaron Cresswell'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 3684, 'name': 'Cheikhou Kouyaté'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3874, 'name': 'Mark Noble'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 3963, 'name': 'Victor Moses'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 20}, {'player': {'id': 3595, 'name': 'Manuel Lanzini'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 28}, {'player': {'id': 3491, 'name': 'Dimitri Payet'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 27}, {'player': {'id': 3962, 'name': 'Diafra Sakho'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 15}]}",West Ham United,40,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,6308f084-c870-47b8-8e38-435c842eecc2,3,,,3754067,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Crystal Palace,31,['a2322297-1fd8-4cab-990f-8dec4ba0707e'],0,,,,,,,,,,,,,,,,,,Crystal Palace,31,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,a2322297-1fd8-4cab-990f-8dec4ba0707e,4,,,3754067,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Crystal Palace,31,['6308f084-c870-47b8-8e38-435c842eecc2'],0,,,,,,,,,,,,,,,,,,West Ham United,40,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,b3958079-1f07-4c48-a44c-8e18d2dd4c33,1520,,,3754067,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,95,West Ham United,40,['2949fa6a-4579-4c8b-bfed-73c126448ec1'],0,,,,,,,,,,,,,,,,,,Crystal Palace,31,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,2949fa6a-4579-4c8b-bfed-73c126448ec1,1521,,,3754067,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,95,West Ham United,40,['b3958079-1f07-4c48-a44c-8e18d2dd4c33'],0,,,,,,,,,,,,,,,,,,West Ham United,40,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.922077,,,,,,,,,,,,,,,27cf23d8-2450-407b-9895-504b0b19bc14,5,,"[61.0, 40.1]",3754067,0,,,,-1.7429872,,Right Foot,,,"[60.6, 37.8]",,Ground Pass,,2.3345234,,,,Jason Puncheon,19688.0,,,,,Kick Off,1,From Kick Off,Yohan Cabaye,3277.0,Right Defensive Midfield,2,Crystal Palace,31,['ca819119-4480-44cf-9790-7d389de3305a'],0,,,,,,,,,,,,,,,,,,Crystal Palace,31,00:00:00.252,Pass,
,,,,,,,,,,,,,,,1.992216,,,,,,,,,,,,,,,243157b7-944e-4316-828a-adf74932ec52,8,,"[64.0, 30.5]",3754067,0,,,,-1.8051484,,Left Foot,,,"[58.7, 8.3]",,Ground Pass,,22.82389,,,,Pape N''Diaye Souaré,4884.0,,,,,,1,From Kick Off,Jason Puncheon,19688.0,Center Attacking Midfield,2,Crystal Palace,31,['f85e8989-90fd-4e19-b8c5-283419d15eed'],2,,,,,,,,,,,,,,,,,,Crystal Palace,31,00:00:02.898,Pass,
,,,,,,,,,,,,,,,2.811237,,,,,,,,,,,,,,,7791f62f-11fa-40ef-91e7-65de9178f97c,11,,"[60.7, 9.4]",3754067,0,,,,0.24715613,,Left Foot,,,"[103.9, 20.3]",,High Pass,,44.5539,,Incomplete,,Yannick Bolasie Yala,3589.0,,,,,,1,From Kick Off,Pape N''Diaye Souaré,4884.0,Left Back,2,Crystal Palace,31,"['26562dd0-5a43-4ce4-a356-673b08df580b', 'a22bec3c-2a9a-41d3-b0b0-22dbbc82a7cd']",5,,,,,,,,,,,,,,,,,,Crystal Palace,31,00:00:05.190,Pass,
,,,,,,,,,,,,,,,2.121883,,,,,,,,,,,,,,,36745b16-faf5-432e-b0ab-5b3b8b96b3cb,14,,"[92.4, 0.1]",3754067,0,,,,2.9517076,,,,,"[56.5, 7.0]",,High Pass,,36.55708,,,,Brede Hangeland,43695.0,,,,,Throw-in,1,From Throw In,Pape N''Diaye Souaré,4884.0,Left Back,3,Crystal Palace,31,['bb734d28-3526-4fae-b717-6cad6bcd5c90'],15,,,,,,,,,,,,,,,,,,Crystal Palace,31,00:00:15.950,Pass,
