ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9ecedee3-5096-4995-81ad-36597d17cf4e,1,,,,3754243,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Norwich City,56,,0,,,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 23635, 'name': 'John Ruddy'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4808, 'name': 'Andre Wisdom'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 9930, 'name': 'Ryan Bennett'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 24}, {'player': {'id': 9461, 'name': 'Timm Klose'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 17}, {'player': {'id': 3576, 'name': 'Martin Olsson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 9578, 'name': 'Jonathan Howson'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 9452, 'name': ""Gary O''Neil""}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 28}, {'player': {'id': 22594, 'name': 'Matt Jarvis'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 16}, {'player': {'id': 10967, 'name': 'Robert Brady'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 12}, {'player': {'id': 9528, 'name': 'Steven Naismith'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 23663, 'name': 'Dieumerci Mbokani Bezua'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Norwich City,56,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,188dd834-63bd-4c9e-ad3a-a195eb664804,2,,,,3754243,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Norwich City,56,,0,,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3649, 'name': 'Karl Darlow'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 26}, {'player': {'id': 3650, 'name': 'Daryl Janmaat'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 3722, 'name': 'Steven Taylor'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 27}, {'player': {'id': 3044, 'name': 'Chancel Mbemba Mangulu'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 18}, {'player': {'id': 16072, 'name': 'Vurnon Anita'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 8}, {'player': {'id': 3057, 'name': 'Jonjo Shelvey'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 42900, 'name': 'Cheik Ismaël Tioté'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 3297, 'name': 'Andros Townsend'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 25}, {'player': {'id': 3567, 'name': 'Georginio Wijnaldum'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 5}, {'player': {'id': 3091, 'name': 'Moussa Sissoko'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 30289, 'name': 'Papiss Demba Cissé'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Newcastle United,37,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8fd6bb4e-c1d9-4f7f-bd0e-e24ccc5cf9d2,3,,,,3754243,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Norwich City,56,['ff64f209-6a3c-445f-bc0b-fd007b02e3c3'],0,,,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ff64f209-6a3c-445f-bc0b-fd007b02e3c3,4,,,,3754243,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Norwich City,56,['8fd6bb4e-c1d9-4f7f-bd0e-e24ccc5cf9d2'],0,,,,,,,,,,,,,,,,,,,Norwich City,56,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c5061830-56e7-4d7e-832c-15000eb20d08,1620,,,,3754243,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,,,,100,Newcastle United,37,['6f36e605-202d-448e-83f4-0b78e55bc329'],0,,,,,,,,,,,,,,,,,,,Norwich City,56,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6f36e605-202d-448e-83f4-0b78e55bc329,1621,,,,3754243,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,,,,100,Newcastle United,37,['c5061830-56e7-4d7e-832c-15000eb20d08'],0,,,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.150371,,,,,,,,,,,,,2264b44d-7c15-47bd-b312-3872afd66621,5,,,"[61.0, 40.1]",3754243,0,,,,,1.6814536,,Right Foot,,,"[60.7, 42.8]",,Ground Pass,,2.7166154,,,Papiss Demba Cissé,30289.0,,,,,Kick Off,1,From Kick Off,Georginio Wijnaldum,3567.0,Center Attacking Midfield,2,Newcastle United,37,['9315c959-5dfb-4604-80ca-9e88342b64e0'],0,,,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:00.382,Pass,
,,,,,,,,,,,,,,,0.263824,,,,,,,,,,,,,dcec072c-4731-47d8-9c5b-c6f9cd511cc3,8,,,"[60.7, 43.5]",3754243,0,,,,,-2.8357139,,Right Foot,,,"[56.9, 42.3]",,Ground Pass,,3.9849718,,,Jonjo Shelvey,3057.0,,,,,,1,From Kick Off,Papiss Demba Cissé,30289.0,Center Forward,2,Newcastle United,37,['d188efa3-a229-48a3-aed0-31ca07b5cb12'],0,,,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:00.662,Pass,
,,,,,,,,,,,,,,,1.425678,,,,,,,,,,,,,eed6b08b-2568-40c7-aa0f-7fe6c8caf442,11,,,"[55.3, 41.6]",3754243,0,,,,,-2.0381408,,Right Foot,,,"[44.4, 20.0]",,Ground Pass,,24.194422,,,Vurnon Anita,16072.0,,,,,,1,From Kick Off,Jonjo Shelvey,3057.0,Right Defensive Midfield,2,Newcastle United,37,['b3db78fc-4ccb-4f88-aa38-f76cd96dff77'],2,,,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:02.237,Pass,
,,,,,,,,,,,,,,,1.041463,,,,,,,,,,,,,ea7967e5-c584-4e8a-a771-3344250e00da,14,,,"[46.1, 20.7]",3754243,0,,,,,0.21961412,,Right Foot,,,"[68.5, 25.7]",,Ground Pass,,22.951252,,,Papiss Demba Cissé,30289.0,,,,,,1,From Kick Off,Vurnon Anita,16072.0,Left Back,2,Newcastle United,37,['bca91aa8-68db-479b-b605-6b22e4486e33'],5,,,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:05.340,Pass,
