bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6b72be0a-7865-4481-b650-626c272c803f,1,,,3754069,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal,1,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3461, 'name': 'Petr Čech'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 33}, {'player': {'id': 3511, 'name': 'Héctor Bellerín Moruno'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 24}, {'player': {'id': 3475, 'name': 'Per Mertesacker'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 3394, 'name': 'Laurent Koscielny'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 3498, 'name': 'Ignacio Monreal Eraso'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 6631, 'name': 'Mathieu Flamini'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 3517, 'name': 'Aaron Ramsey'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 3525, 'name': 'Alex Oxlade-Chamberlain'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 15}, {'player': {'id': 3496, 'name': 'Mesut Özil'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 11}, {'player': {'id': 3668, 'name': 'Theo Walcott'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 3604, 'name': 'Olivier Giroud'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 12}]}",Arsenal,1,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b368bf0f-86ca-41aa-9506-07602b265257,2,,,3754069,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal,1,,0,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 3096, 'name': 'Rob Elliot'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 21}, {'player': {'id': 3650, 'name': 'Daryl Janmaat'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 3044, 'name': 'Chancel Mbemba Mangulu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 18}, {'player': {'id': 26207, 'name': 'Fabricio Coloccini'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 3065, 'name': 'Paul Dummett'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 42900, 'name': 'Cheik Ismaël Tioté'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 9649, 'name': 'Jack Colback'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 3091, 'name': 'Moussa Sissoko'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 7}, {'player': {'id': 3567, 'name': 'Georginio Wijnaldum'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 5}, {'player': {'id': 3076, 'name': 'Ayoze Pérez Gutiérrez'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 17}, {'player': {'id': 4269, 'name': 'Aleksandar Mitrović'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 45}]}",Newcastle United,37,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6f539a49-122c-4dee-8fce-6d1881006e23,3,,,3754069,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal,1,['d99e2f9a-4131-49d2-a213-beac518647a3'],0,,,,,,,,,,,,,,,,,Arsenal,1,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d99e2f9a-4131-49d2-a213-beac518647a3,4,,,3754069,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal,1,['6f539a49-122c-4dee-8fce-6d1881006e23'],0,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f0b15ee1-675a-4bc3-88c4-918d5b0d5f04,1908,,,3754069,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,82,Newcastle United,37,['2d9dfb55-5c4a-4fe1-a4c3-f399a7732b70'],0,,,,,,,,,,,,,,,,,Newcastle United,37,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2d9dfb55-5c4a-4fe1-a4c3-f399a7732b70,1909,,,3754069,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,82,Newcastle United,37,['f0b15ee1-675a-4bc3-88c4-918d5b0d5f04'],0,,,,,,,,,,,,,,,,,Arsenal,1,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.58849,,,,,,,,,,,,,c2310538-164d-4d0f-bb92-b350dcbe7774,5,,"[60.0, 40.0]",3754069,0,,,,,1.6262949,,Left Foot,,,,"[59.9, 41.8]",,Ground Pass,,1.8027756,,,Mesut Özil,3496.0,,,,,Kick Off,1,From Kick Off,Olivier Giroud,3604.0,Center Forward,2,Arsenal,1,['133ba222-1f2f-4b87-b7cc-ea80d143a487'],0,,,,,,,,,,,,,,,,,Arsenal,1,00:00:00.450,Pass,
,,,,,,,,,,,,,,,,0.88022,,,,,,,,,,,,,f88d4e3a-62ef-499e-b9c8-7d09e92b4bff,7,,"[61.8, 43.0]",3754069,0,,,,,-2.7131064,,Right Foot,,,,"[45.6, 35.6]",,Ground Pass,,17.81011,,,Aaron Ramsey,3517.0,,,,,,1,From Kick Off,Mesut Özil,3496.0,Center Attacking Midfield,2,Arsenal,1,['f3a16eb6-9c95-47f5-8e58-6d78fa782ef7'],1,,,,,,,,,,,,,,,,,Arsenal,1,00:00:01.039,Pass,
,,,,,,,,,,,,,,,,1.483864,,,,,,,,,,,,,eb2ffa15-319e-42c9-8168-46f9ea0a2809,10,,"[47.3, 34.4]",3754069,0,,,,,-1.1184264,,Right Foot,,,,"[57.7, 13.0]",,Ground Pass,,23.793276,,,Ignacio Monreal Eraso,3498.0,,,,,,1,From Kick Off,Aaron Ramsey,3517.0,Left Defensive Midfield,2,Arsenal,1,['9eb7df50-f24d-43e6-8300-87cdda2985e7'],1,,,,,,,,,,,,,,,,,Arsenal,1,00:00:01.959,Pass,
,,,,,,,,,,,,,,,,1.274127,,,,,,,,,,,,,590b3304-f29f-4327-a608-5dd78f184e7f,13,,"[57.7, 12.5]",3754069,0,,,,,2.6055098,,Left Foot,,,,"[40.7, 22.6]",,Ground Pass,,19.773973,,,Laurent Koscielny,3394.0,,,,,,1,From Kick Off,Ignacio Monreal Eraso,3498.0,Left Back,2,Arsenal,1,['99b8907a-9f1f-41b5-8233-007348c9d035'],4,,,,,,,,,,,,,,,,,Arsenal,1,00:00:04.644,Pass,
