50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,5868d3da-5983-4c52-b22a-5724307883b5,1,,,,3754118,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal,1,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 4276, 'name': 'David Ospina Ramírez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 3511, 'name': 'Héctor Bellerín Moruno'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 24}, {'player': {'id': 6746, 'name': 'Gabriel Armando de Abreu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 3394, 'name': 'Laurent Koscielny'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 3498, 'name': 'Ignacio Monreal Eraso'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 3568, 'name': 'Mohamed Naser Elsayed Elneny'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 35}, {'player': {'id': 3437, 'name': 'Francis Joseph Coquelin'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 34}, {'player': {'id': 3385, 'name': 'Alexis Alejandro Sánchez Sánchez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 3496, 'name': 'Mesut Özil'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 11}, {'player': {'id': 3647, 'name': 'Alex Iwobi'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 45}, {'player': {'id': 3569, 'name': 'Daniel Nii Tackie Mensah Welbeck'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 23}]}",Arsenal,1,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,d972ecb8-1af0-4164-a9cb-8e3ad89aafe4,2,,,,3754118,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal,1,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 3522, 'name': 'Heurelho da Silva Gomes'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3991, 'name': 'Allan Romeo Nyom'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 3309, 'name': 'Sebastian Prödl'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 3263, 'name': 'Craig Cathcart'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 3306, 'name': 'Nathan Aké'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 16}, {'player': {'id': 43081, 'name': 'Almen Abdi'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 22}, {'player': {'id': 3626, 'name': 'Ben Watson'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 23}, {'player': {'id': 23488, 'name': 'Mario Suárez Mata'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 3721, 'name': 'Etienne Capoue'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 29}, {'player': {'id': 5458, 'name': 'Odion Jude Ighalo'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 24}, {'player': {'id': 3454, 'name': 'Troy Deeney'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Watford,23,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,7088d0b2-e19c-4d59-b553-d59301000b8a,3,,,,3754118,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal,1,['18371ce3-0e61-4638-98bc-331dfa363646'],0,,,,,,,,,,,,,,,,,,Watford,23,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,18371ce3-0e61-4638-98bc-331dfa363646,4,,,,3754118,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal,1,['7088d0b2-e19c-4d59-b553-d59301000b8a'],0,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,60c896a1-ce1b-42d4-8772-cae2ba5d780f,1843,,,,3754118,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,93,Arsenal,1,['4310b07a-8adb-43f7-9a83-888da9e2448b'],0,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,4310b07a-8adb-43f7-9a83-888da9e2448b,1844,,,,3754118,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,93,Arsenal,1,['60c896a1-ce1b-42d4-8772-cae2ba5d780f'],0,,,,,,,,,,,,,,,,,,Watford,23,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.464066,,,,,,,,,,,,f7de00ed-f1a6-43a2-9e64-9cd75de432b1,5,,,"[60.0, 40.0]",3754118,0,,,,1.2679114,,Left Foot,,,,"[60.5, 41.6]",,Ground Pass,,1.6763054,,,,Alexis Alejandro Sánchez Sánchez,3385.0,,,,,Kick Off,1,From Kick Off,Daniel Nii Tackie Mensah Welbeck,3569.0,Center Forward,2,Arsenal,1,['4744f707-7ec1-4716-bba2-44dbdb189713'],0,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:00.649,Pass,
,,,,,,,,,,,,,,,,,1.17075,,,,,,,,,,,,7eb834d2-8a47-425b-a60f-99d0cb21735d,7,,,"[58.7, 40.6]",3754118,0,,,,-2.2780929,,Right Foot,,,,"[48.1, 28.2]",,Ground Pass,,16.313185,,,,Mohamed Naser Elsayed Elneny,3568.0,,,,,,1,From Kick Off,Alexis Alejandro Sánchez Sánchez,3385.0,Right Wing,2,Arsenal,1,['9bc13b85-f1b2-4656-bfa2-83db44966728'],1,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:01.113,Pass,
,,,,,,,,,,,,,,,,,1.080418,,,,,,,,,,,,26d7fe9d-9ca4-40e8-879f-fdd23d9279f8,9,,,"[47.7, 28.5]",3754118,0,,,,1.5707964,,Right Foot,,,,"[47.7, 46.4]",,Ground Pass,,17.9,,,,Francis Joseph Coquelin,3437.0,,,,,,1,From Kick Off,Mohamed Naser Elsayed Elneny,3568.0,Right Defensive Midfield,2,Arsenal,1,['948f6687-e103-4047-a86a-c61fcce3fdf6'],2,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:02.283,Pass,
,,,,,,,,,,,,,,,,,1.050059,,,,,,,,,,,,4ecb0290-0733-4093-b8a4-740d7dd5e976,12,,,"[47.9, 50.1]",3754118,0,,,,0.5687279,,Right Foot,,,,"[57.6, 56.3]",,Ground Pass,,11.512168,,,,Mesut Özil,3496.0,,,,,,1,From Kick Off,Francis Joseph Coquelin,3437.0,Left Defensive Midfield,2,Arsenal,1,['1e274654-2165-40a4-9c3c-165f4fb316d0'],4,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:04.691,Pass,
