50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,7a963267-07b3-49f1-82f9-e7fa8a2aa8f6,1,,,3754121,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Watford,23,,0,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 3522, 'name': 'Heurelho da Silva Gomes'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 36983, 'name': 'Juan Carlos Paredes Reasco'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 14}, {'player': {'id': 3263, 'name': 'Craig Cathcart'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 3288, 'name': 'Miguel Ángel Britos Cabrera'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 3306, 'name': 'Nathan Aké'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 16}, {'player': {'id': 3626, 'name': 'Ben Watson'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 3721, 'name': 'Etienne Capoue'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 29}, {'player': {'id': 5540, 'name': 'Valon Behrami'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 3302, 'name': 'Nordin Amrabat'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 11}, {'player': {'id': 5458, 'name': 'Odion Jude Ighalo'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 24}, {'player': {'id': 3454, 'name': 'Troy Deeney'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Watford,23,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,20f278fd-b5e5-4f80-a166-ada58973927a,2,,,3754121,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Watford,23,,0,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 20074, 'name': 'Artur Boruc'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6409, 'name': 'Adam Smith'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 3608, 'name': 'Simon Francis'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 3341, 'name': 'Steve Cook'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 3345, 'name': 'Charlie Daniels'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 11}, {'player': {'id': 3049, 'name': 'Matt Ritchie'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 30}, {'player': {'id': 3344, 'name': 'Andrew Surman'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 3304, 'name': 'Harry Arter'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 3463, 'name': 'Junior Stanislas'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 19}, {'player': {'id': 3346, 'name': 'Joshua King'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 17}, {'player': {'id': 3278, 'name': 'Benik Afobe'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 20}]}",AFC Bournemouth,28,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,cf87c0f6-e7cf-4616-ab65-8b35467dee09,3,,,3754121,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Watford,23,['cc94eb3c-bab5-463f-8315-cac8c7cc2800'],0,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,cc94eb3c-bab5-463f-8315-cac8c7cc2800,4,,,3754121,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Watford,23,['cf87c0f6-e7cf-4616-ab65-8b35467dee09'],0,,,,,,,,,,,,,,,,Watford,23,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,ae652087-dc5c-47d3-ab1f-7600b5e9ce3b,1480,,,3754121,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,100,Watford,23,['16afa22c-2156-4f1d-8f5b-bb335eff2a5f'],0,,,,,,,,,,,,,,,,Watford,23,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,16afa22c-2156-4f1d-8f5b-bb335eff2a5f,1481,,,3754121,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,100,Watford,23,['ae652087-dc5c-47d3-ab1f-7600b5e9ce3b'],0,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.071177,,,,,,,,,,,,72139885-f0e2-419d-a203-ac7e37d16aa9,5,,"[60.0, 40.0]",3754121,0,,,,,1.2036225,,Right Foot,,,"[60.5, 41.3]",Ground Pass,,1.3928388,,,,Joshua King,3346.0,,,,,Kick Off,1,From Kick Off,Benik Afobe,3278.0,Left Center Forward,2,AFC Bournemouth,28,['1d511ccb-dd7e-4994-b805-00f6010a1f8a'],0,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:00.504,Pass,
,,,,,,,,,,,,,,,,1.042402,,,,,,,,,,,,0890e2c8-bb85-44e9-9a24-c719b98ed58f,8,,"[60.1, 40.7]",3754121,0,,,,,-3.053906,,Right Foot,,,"[51.0, 39.9]",Ground Pass,,9.1350975,,,,Andrew Surman,3344.0,,,,,,1,From Kick Off,Joshua King,3346.0,Right Center Forward,2,AFC Bournemouth,28,['c3a98fcc-64e9-4bd5-b78b-cbe1cee8c807'],0,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:00.767,Pass,
,,,,,,,,,,,,,,,,1.709194,,,,,,,,,,,,6fd1c317-387f-4bf7-9415-d65eb1e9b225,11,,"[51.0, 39.4]",3754121,0,,,,,-1.2667004,,Left Foot,,,"[62.8, 1.8]",Low Pass,,39.40812,,,,Junior Stanislas,3463.0,,,,,,1,From Kick Off,Andrew Surman,3344.0,Right Center Midfield,2,AFC Bournemouth,28,['1158ed71-3783-451b-9005-911543e29064'],2,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:02.789,Pass,
,,,,,,,,,,,,,,,,1.317069,,,,,,,,,,,,27991a22-0ccc-4528-9d92-4156ab8a0e38,14,,"[62.7, 1.4]",3754121,0,,,,,3.0630145,,Right Foot,,,"[50.0, 2.4]",Ground Pass,,12.739309,,,,Charlie Daniels,3345.0,,,,,,1,From Kick Off,Junior Stanislas,3463.0,Left Midfield,2,AFC Bournemouth,28,['862fec4e-c582-451b-b75a-a43085e31808'],5,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:05.434,Pass,
,,,,,,,,,,,,,,,,1.365191,,,,,,,,,,,,f0dd00bb-2134-4569-95ef-085d434c1b39,17,,"[50.0, 2.4]",3754121,0,,,,,2.4205313,,Left Foot,,,"[31.0, 19.1]",Ground Pass,,25.296047,,,,Steve Cook,3341.0,,,,,,1,From Kick Off,Charlie Daniels,3345.0,Left Back,2,AFC Bournemouth,28,['eb561a99-388b-4232-be2e-8351cad9127e'],6,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:06.925,Pass,
