ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,3.638399,,,,,,,,,,,,,b59195bb-7c2c-45f4-a2b2-060f1d3991cd,131,,"[9.0, 48.9]",3754032,2,,,,,-0.026309717,,Right Foot,,,"[73.6, 47.2]",,High Pass,,64.62237,,,,,Dieumerci Mbokani Bezua,23663.0,,,,,,,1,From Throw In,Declan Rudd,9014.0,Goalkeeper,11,Norwich City,56,['d6cba032-b644-46a0-b00e-24d9b85ca35f'],54,,,,,,,,,,,,,,,,Norwich City,56,00:02:54.160,Pass,
,,,,,,,,,,,,,,,1.463957,,,,,,,,,,,,,a6725587-da39-40f5-a57a-813022f29291,134,,"[73.6, 47.2]",3754032,2,,,,True,0.04298426,,,,,"[82.9, 47.6]",,Low Pass,,9.3085985,,,Incomplete,,Jonathan Howson,9578.0,,,,,,,1,From Throw In,Dieumerci Mbokani Bezua,23663.0,Center Forward,11,Norwich City,56,"['6d1ffa6b-9f3d-4c95-b828-f134046a9b72', '9eee824f-8a4d-48bf-af15-b1cbe7748b3b', 'ed73c8fa-365d-418c-ab31-62477f376ed1']",57,,,,,,,,,,,,,,,,Norwich City,56,00:02:57.799,Pass,True
,,,,,,,,,,,,,,,0.993141,,,,,,,,,,,,,9eee824f-8a4d-48bf-af15-b1cbe7748b3b,137,,"[37.2, 32.5]",3754032,2,,,,,-0.35877067,,Right Foot,,,"[46.8, 28.9]",,Ground Pass,,10.252805,,,Incomplete,,Ibrahim Afellay,4891.0,,,,,,Recovery,1,From Throw In,Philipp Wollscheid,40121.0,Left Center Back,11,Norwich City,56,"['44801a23-3838-4eb5-8584-1bb5fd27db9c', '9795e26d-d3cf-4319-b6ec-697eac7c12b8', 'a25b73b6-8046-4fff-8c60-404f95b36230', 'a6725587-da39-40f5-a57a-813022f29291']",59,,,,,,,,,,,,,,,,Stoke City,30,00:02:59.263,Pass,True
,,,,,,,,,,,,,,,1.338997,,,,,,,,,,,,,d041659f-dd2f-4138-ae02-f120518df437,142,,"[86.5, 52.7]",3754032,3,,,,,-2.4644651,,Right Foot,,,"[81.4, 48.6]",,Ground Pass,,6.5436993,,,,,Jonathan Howson,9578.0,,,,,,,1,From Throw In,Vadis Odjidja-Ofoe,23742.0,Right Midfield,11,Norwich City,56,['2e195173-5c02-47c0-a11e-3d716b5ca64b'],4,,,,,,,,,,,,,,,,Norwich City,56,00:03:04.145,Pass,
,,,,,,,,,,,,,,,2.2605,,,,,,,,,,,,,3262e53b-e6e9-4520-bdca-882e50fc7f7f,146,,"[81.1, 35.1]",3754032,3,,,,,-0.97478676,,Right Foot,,,"[98.6, 9.3]",,Ground Pass,,31.17515,,,,,Robert Brady,10967.0,,,,,,,1,From Throw In,Jonathan Howson,9578.0,Left Midfield,11,Norwich City,56,['5ba72490-94f6-4df9-af4b-03c10a1c0b71'],6,,,,,,,,,,,,,,,,Norwich City,56,00:03:06.932,Pass,
,,,,,,,,,,,,,,,0.268343,,,,,,,,,,,,,a3dc33d0-10fa-42eb-8eed-5ebf3167f48c,149,,"[98.6, 9.3]",3754032,3,,,,,1.1747149,,Left Foot,,,"[100.9, 14.8]",,Low Pass,,5.9615436,,,Incomplete,,Dieumerci Mbokani Bezua,23663.0,,,,,,,1,From Throw In,Robert Brady,10967.0,Left Back,11,Norwich City,56,"['b9476956-b8c6-4ee8-a386-d7365e0127b8', 'd6ceb7f4-22c0-48f8-90ad-257d8539fae1']",9,,,,,,,,,,,,,,,,Norwich City,56,00:03:09.280,Pass,
,,,,,,,,,,,,,,,0.9577,,,,,,,,,,,,,349d5602-33f5-4fb6-b5c8-2bb8e9cd9257,152,,"[103.1, 0.1]",3754032,3,,,,,2.7281673,,,,,"[87.6, 6.9]",,Low Pass,,16.926016,,,,,Gary O''Neil,9452.0,,,,,,Throw-in,1,From Throw In,Robert Brady,10967.0,Left Back,12,Norwich City,56,['e47d79b9-f209-490a-ab41-68d87bd0aef8'],16,,,,,,,,,,,,,,,,Norwich City,56,00:03:16.608,Pass,
,,,,,,,,,,,,,,,2.1986,,,,,,,,,,,,,a2dc4e3f-bc9f-415d-9178-e163b5399974,155,,"[85.3, 8.4]",3754032,3,,,,,1.8670121,,Right Foot,,,"[71.2, 54.6]",,High Pass,,48.303726,,,,,Alexander Banor Tettey,9463.0,,,True,,,,1,From Throw In,Gary O''Neil,9452.0,Left Defensive Midfield,12,Norwich City,56,['d3ab9122-0e10-4116-85c2-f7513a9570ac'],19,,,,,,,,,,,,,,,,Norwich City,56,00:03:19.855,Pass,
,,,,,,,,,,,,,,,0.65,,,,,,,,,,,,,f6b9b226-a223-4606-88b3-e683bf45140d,164,,"[81.8, 58.5]",3754032,3,,,,,0.81939864,,Right Foot,,,"[88.9, 66.1]",,Ground Pass,,10.400481,,,,,Alexander Banor Tettey,9463.0,,,,,,,1,From Throw In,Vadis Odjidja-Ofoe,23742.0,Right Midfield,12,Norwich City,56,['d6a2be1a-c334-4884-96e7-1104825be461'],26,,,,,,,,,,,,,,,,Norwich City,56,00:03:26.456,Pass,
,,,,,,,,,,,,,,,1.024786,,,,,,,,,,,,,9c3dfdfc-a991-4699-a2fa-4b6197f58576,167,,"[90.1, 66.0]",3754032,3,,,,,-0.7802436,,Right Foot,True,,"[109.6, 46.7]",,Low Pass,,27.436108,,,Incomplete,,Dieumerci Mbokani Bezua,23663.0,,,,,,,1,From Throw In,Alexander Banor Tettey,9463.0,Right Defensive Midfield,12,Norwich City,56,"['028305c5-6811-4d11-8e33-ca12fc1c5f2c', 'f00e9f80-28f3-4088-afde-9010be18a304']",28,,,,,,,,,,,,,,,,Norwich City,56,00:03:28.388,Pass,
