bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,54730ba1-299f-4014-bcc2-0e4837f99054,1,,,,3754259,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Swansea City,26,,0,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 3262, 'name': 'Łukasz Fabiański'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3973, 'name': 'Àngel Rangel Zaragoza'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 3290, 'name': 'Federico Fernández'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 33}, {'player': {'id': 3644, 'name': 'Ashley Williams'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 9627, 'name': 'Neil Taylor'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 4631, 'name': 'Leon Britton'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 3462, 'name': 'Jack Frank Porteous Cork'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 24}, {'player': {'id': 3605, 'name': 'Sung-Yeung Ki'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 3944, 'name': 'Gylfi Þór Sigurðsson'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 23}, {'player': {'id': 20521, 'name': 'Bafétimbi Gomis'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 18}, {'player': {'id': 3347, 'name': 'André Ayew Pelé'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 10}]}",Swansea City,26,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,da1c0f63-e405-48f2-ac7d-eb2eb31f6473,2,,,,3754259,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Swansea City,26,,0,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 3623, 'name': 'Adrián San Miguel del Castillo'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 3316, 'name': 'James Tomkins'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 5}, {'player': {'id': 3482, 'name': 'James Collins'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 19}, {'player': {'id': 3843, 'name': 'Angelo Obinze Ogbonna'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 21}, {'player': {'id': 3062, 'name': 'Aaron Cresswell'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 27053, 'name': 'Alexandre Dimitri Song-Billong'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 3349, 'name': 'Michail Antonio'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 30}, {'player': {'id': 3684, 'name': 'Cheikhou Kouyaté'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 3874, 'name': 'Mark Noble'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 27853, 'name': 'Mauro Matías Zárate'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 20543, 'name': 'Nikica Jelavić'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 26}]}",West Ham United,40,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,b83d2f99-1b30-47f5-ab7f-635eb282b439,3,,,,3754259,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Swansea City,26,['4424f3c3-cd81-4761-8dc7-4c156e7d1206'],0,,,,,,,,,,,,,,,,Swansea City,26,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,4424f3c3-cd81-4761-8dc7-4c156e7d1206,4,,,,3754259,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Swansea City,26,['b83d2f99-1b30-47f5-ab7f-635eb282b439'],0,,,,,,,,,,,,,,,,West Ham United,40,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,4735fbdf-e2d6-43b2-9577-6627e59e9951,1834,,,,3754259,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,103,West Ham United,40,['e7010d03-78b7-4520-b7bb-165b65444e5e'],0,,,,,,,,,,,,,,,,Swansea City,26,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,e7010d03-78b7-4520-b7bb-165b65444e5e,1835,,,,3754259,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,103,West Ham United,40,['4735fbdf-e2d6-43b2-9577-6627e59e9951'],0,,,,,,,,,,,,,,,,West Ham United,40,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.844971,,,,,,,,,,695dad43-6a67-4e50-8c9a-0b9af3f9a330,5,,,"[60.0, 40.0]",3754259,0,,,,,-2.819842,,Right Foot,,,,"[59.7, 39.9]",Ground Pass,,0.31622776,,,,Mauro Matías Zárate,27853.0,,,,,,Kick Off,1,From Kick Off,Mark Noble,3874.0,Left Center Midfield,2,West Ham United,40,['4c57a519-1bce-4304-b52f-ead5b62a9597'],1,,,,,,,,,,,,,,,,West Ham United,40,00:00:01.208,Pass,
,,,,,,,,,,,,,,,,1.092717,,,,,,,,,,a9ce9f0f-913f-4071-845f-dddee2b172fe,8,,,"[64.7, 40.4]",3754259,0,,,,,1.609451,,Right Foot,,,,"[64.0, 58.5]",Ground Pass,,18.113531,,,,Cheikhou Kouyaté,3684.0,,,,,,,1,From Kick Off,Mauro Matías Zárate,27853.0,Left Midfield,2,West Ham United,40,['5a7c9f63-d28a-433d-acfc-6760ee33b99b'],3,,,,,,,,,,,,,,,,West Ham United,40,00:00:03.725,Pass,
,,,,,,,,,,,,,,,,1.670463,,,,,,,,,,62fff3e0-d427-44e3-a80e-eb6ee1499e23,12,,,"[61.4, 62.0]",3754259,0,,,,,2.8468626,,Left Foot,,,,"[44.6, 67.1]",Ground Pass,,17.55705,,,,James Tomkins,3316.0,,,,,,,1,From Kick Off,Cheikhou Kouyaté,3684.0,Right Center Midfield,2,West Ham United,40,"['46faa02c-3ac4-47d6-b475-7e95f3cd8580', '9a0a2b69-a2e4-4bc3-a430-4983c5ccb5ca']",5,,,,,,,,,,,,,,,,West Ham United,40,00:00:05.843,Pass,True
,,,,,,,,,,,,,,,,3.099949,,,,,,,,,,d6989e42-5c27-4b96-9800-bc79b7589804,15,,,"[46.0, 68.0]",3754259,0,,,,,0.027167227,,Right Foot,,,,"[82.8, 69.0]",High Pass,,36.813583,,,,Michail Antonio,3349.0,,,,,,,1,From Kick Off,James Tomkins,3316.0,Right Back,2,West Ham United,40,['9aba3ab8-769c-4b4d-b27c-2d6114bba9c0'],7,,,,,,,,,,,,,,,,West Ham United,40,00:00:07.592,Pass,
