50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.518612,,,,,,,,,,,ce4c0d3b-a7b5-4f5b-ad7d-594a7acc0b70,15,,"[50.4, 43.7]",3754108,0,,,,-1.5707964,,Right Foot,,,,"[50.4, 35.4]",,Ground Pass,,8.3,,,,Nemanja Matić,3381.0,,,,,,1,From Kick Off,Francesc Fàbregas i Soler,3478.0,Center Attacking Midfield,2,Chelsea,33,['e21e56e8-1da7-4cd9-b51a-6e481e0bebf9'],10,,,,,,,,,,,,,,,,,,Chelsea,33,00:00:10.731,Pass,
,,,,,,,,,,,,,,,,,1.609747,,,,,,,,,,,cc30fd4d-7ee7-472b-ac9b-dfa2cbd0684d,18,,"[49.8, 34.2]",3754108,0,,,,2.4021392,,Left Foot,,,,"[31.6, 50.8]",,Ground Pass,,24.63331,,,,Gary Cahill,3645.0,,,,,,1,From Kick Off,Nemanja Matić,3381.0,Left Defensive Midfield,2,Chelsea,33,"['9a638937-2af5-4adf-bf20-71583a3a2d49', 'cb606173-5381-4e83-ba95-8ff907d742e3']",11,,,,,,,,,,,,,,,,,,Chelsea,33,00:00:11.250,Pass,True
,,,,,,,,,,,,,,,,,1.112964,,,,,,,,,,,35e8396e-b81e-4df9-a34f-5cc76de6877e,21,,"[31.6, 49.4]",3754108,0,,,,-1.5947438,,Right Foot,,,,"[31.2, 32.7]",,Ground Pass,,16.70479,,,,John Terry,20287.0,,,,,,1,From Kick Off,Gary Cahill,3645.0,Right Center Back,2,Chelsea,33,['4da95284-9bff-43fd-b172-313c98b23665'],14,,,,,,,,,,,,,,,,,,Chelsea,33,00:00:14.478,Pass,
,,,,,,,,,,,,,,,,,0.587665,,,,,,,,,,,a5c50161-b4b7-4ad0-adc1-940c256569f7,29,,"[35.0, 36.0]",3754108,0,,,,1.5707964,,Right Foot,,,,"[35.0, 39.4]",,Ground Pass,,3.4,,,,Nemanja Matić,3381.0,,,,,,1,From Kick Off,John Terry,20287.0,Left Center Back,2,Chelsea,33,"['2dbfa376-2441-47ab-8e8a-f97b1ded6547', 'de94fd4b-961e-49f3-ac06-11fbf410c60a']",17,,,,,,,,,,,,,,,,,,Chelsea,33,00:00:17.220,Pass,True
,,,,,,,,,,,,,,,,,1.317433,,,,,,,,,,,46a52ae4-4135-42ca-adfe-6f4c30530207,33,,"[33.5, 40.4]",3754108,0,,,,2.957429,,Right Foot,,,,"[23.3, 42.3]",,Ground Pass,,10.375452,,,,Gary Cahill,3645.0,,,,,,1,From Kick Off,Nemanja Matić,3381.0,Left Defensive Midfield,2,Chelsea,33,"['6ab214bd-95cd-4a6d-b95c-60f99e0ae541', 'd4fd1182-6b86-4ada-96d9-d208472dd24d']",18,,,,,,,,,,,,,,,,,,Chelsea,33,00:00:18.398,Pass,True
,,,,,,,,,,,,,,,,,1.747739,,,,,,,,,,,d83d09dd-cb1f-4546-bce2-e389b89177d4,35,,"[23.1, 42.5]",3754108,0,,,,0.8502422,,Right Foot,,,,"[33.9, 54.8]",,Ground Pass,,16.368567,,,,John Michael Nchekwube Obinna,5475.0,,,,,,1,From Kick Off,Gary Cahill,3645.0,Right Center Back,2,Chelsea,33,['3481b5c6-a645-4184-b79f-bfc34488f125'],19,,,,,,,,,,,,,,,,,,Chelsea,33,00:00:19.716,Pass,
,,,,,,,,,,,,,,,,,1.723214,,,,,,,,,,,d7cf8435-c094-41c1-8001-2fa999918241,38,,"[34.3, 56.4]",3754108,0,,,,-2.811203,,Right Foot,,,,"[6.6, 46.9]",,Low Pass,,29.283783,,,,Thibaut Courtois,3509.0,,,,,,1,From Kick Off,John Michael Nchekwube Obinna,5475.0,Right Defensive Midfield,2,Chelsea,33,"['355a6e9a-9b34-4c6c-bd83-8d8d9a533ee2', '8377d38d-b33f-47fa-87be-715c828b6b65']",21,,,,,,,,,,,,,,,,,,Chelsea,33,00:00:21.463,Pass,True
,,,,,,,,,,,,,,,,,3.536037,,,,,,,,,,,57b50e84-0208-482c-9580-d913d38f16d1,42,,"[6.4, 53.7]",3754108,0,,,,0.43799227,,Right Foot,,,,"[58.5, 78.1]",,High Pass,,57.5306,,Incomplete,,Branislav Ivanović,5594.0,,,,,,1,From Kick Off,Thibaut Courtois,3509.0,Goalkeeper,2,Chelsea,33,"['43b1c00f-a02b-4c78-aef0-f83a3ca6a73d', 'a90dd505-d90b-4bf6-a036-636fa8e294eb', 'fecbab51-6ffd-476c-b481-344b9b323071']",25,,,,,,,,,,,,,,,,,,Chelsea,33,00:00:25.355,Pass,True
,,,,,,,,,,,,,,,,,1.680831,,,,,,,,,,,43b1c00f-a02b-4c78-aef0-f83a3ca6a73d,45,,"[61.6, 2.0]",3754108,0,,,True,0.1583275,,,,,,"[73.5, 3.9]",,High Pass,,12.050726,,Incomplete,,Wahbi Khazri,3196.0,,,,,Recovery,1,From Kick Off,Yann Gérard M''Vila,4429.0,Left Center Midfield,2,Chelsea,33,"['03da4955-318e-4afa-8460-a0bfdebd2040', '10828027-a268-4778-b1cf-4f2f71811ea7', '57b50e84-0208-482c-9580-d913d38f16d1', '941ff526-9b71-4c53-83c9-92c535cd85ba']",28,,,,,,,,,,,,,,,,,,Sunderland,41,00:00:28.891,Pass,True
,,,,,,,,,,,,,,,,,0.883513,,,,,,,,,,,8b341aba-824e-4652-ae58-a6129d11abea,49,,"[51.2, 75.8]",3754108,0,,,,-1.2234104,,Right Foot,,,,"[53.3, 70.0]",,Ground Pass,,6.168468,,,,Francesc Fàbregas i Soler,3478.0,,,,,,1,From Kick Off,John Michael Nchekwube Obinna,5475.0,Right Defensive Midfield,2,Chelsea,33,['765654e0-4227-46d8-bba7-e09a79d9d2e1'],31,,,,,,,,,,,,,,,,,,Chelsea,33,00:00:31.586,Pass,
