ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_lost_in_play,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,628539d7-2881-42c7-a701-5a1a880d4163,1,,,3754282,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Aston Villa,59,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 12608, 'name': 'Bradley Guzan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 9642, 'name': 'Alan Hutton'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 42700, 'name': 'Micah Richards'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 20285, 'name': 'Joleon Lescott'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 16}, {'player': {'id': 27146, 'name': 'Aly Cissokho'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 43}, {'player': {'id': 3436, 'name': 'Idrissa Gana Gueye'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3583, 'name': 'Ashley Westwood'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 5685, 'name': 'Carlos Alberto Sánchez Moreno'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 24}, {'player': {'id': 9533, 'name': 'Leandro Bacuna'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 11117, 'name': 'Scott Sinclair'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 9}, {'player': {'id': 3450, 'name': 'Jordan Ayew'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Aston Villa,59,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,3abc921a-ddbd-49a0-a25e-654b63c0390d,2,,,3754282,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Aston Villa,59,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3970, 'name': 'Fraser Forster'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 44}, {'player': {'id': 3329, 'name': 'Cédric Ricardo Alves Soares'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 3960, 'name': 'José Miguel da Rocha Fonte'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 3669, 'name': 'Virgil van Dijk'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 17}, {'player': {'id': 20045, 'name': 'Ryan Bertrand'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 3272, 'name': 'Oriol Romeu Vidal'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 3098, 'name': 'Victor Wanyama'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 12}, {'player': {'id': 3828, 'name': 'Steven Davis'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 8}, {'player': {'id': 3685, 'name': 'Jay Rodriguez'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 9}, {'player': {'id': 3831, 'name': 'Dušan Tadić'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 3842, 'name': 'Shane Long'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Southampton,25,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,3b8c9a21-46ef-41e9-b6a7-51e787b07095,3,,,3754282,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Aston Villa,59,['88089195-e357-47e1-b9cb-5057c4661d52'],0,,,,,,,,,,,,,,,,,,Southampton,25,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,88089195-e357-47e1-b9cb-5057c4661d52,4,,,3754282,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Aston Villa,59,['3b8c9a21-46ef-41e9-b6a7-51e787b07095'],0,,,,,,,,,,,,,,,,,,Aston Villa,59,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,8c614a46-6a17-4d7e-b71a-ed9c5f4fa6d5,1757,,,3754282,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,,,,104,Southampton,25,['52429e50-0854-4c03-9e59-a156023d7b9b'],0,,,,,,,,,,,,,,,,,,Southampton,25,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,52429e50-0854-4c03-9e59-a156023d7b9b,1758,,,3754282,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,,,,104,Southampton,25,['8c614a46-6a17-4d7e-b71a-ed9c5f4fa6d5'],0,,,,,,,,,,,,,,,,,,Aston Villa,59,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.4739,,,,,,,,,,,,,,99572cd4-78af-49dd-9382-bd3153a755cc,5,,"[61.0, 40.1]",3754282,0,,,,,1.7506498,,Right Foot,,,"[60.6, 42.3]",,Ground Pass,,2.236068,,,Shane Long,3842.0,,,,,,Kick Off,1,From Kick Off,Jay Rodriguez,3685.0,Center Attacking Midfield,2,Southampton,25,['b5906854-1bad-48d5-81fa-76a9bc66f1e7'],0,,,,,,,,,,,,,,,,,,Southampton,25,00:00:00.266,Pass,
,,,,,,,,,,,,,,,,1.115299,,,,,,,,,,,,,,4664366b-8aca-4256-8bb0-c9d73299be50,7,,"[60.0, 42.3]",3754282,0,,,,,-2.9375746,,Right Foot,,,"[45.5, 39.3]",,Ground Pass,,14.807093,,,Victor Wanyama,3098.0,,,,,,,1,From Kick Off,Shane Long,3842.0,Center Forward,2,Southampton,25,['75359687-cba9-4f3b-97ae-80a5487f2eb1'],0,,,,,,,,,,,,,,,,,,Southampton,25,00:00:00.740,Pass,
,,,,,,,,,,,,,,,,1.6914,,,,,,,,,,,,,,62940c04-f2d5-46f5-852b-4a3ecc3972c4,10,,"[48.0, 34.1]",3754282,0,,,,,-1.8996726,,Right Foot,,,"[43.7, 21.5]",,Ground Pass,,13.313527,,,Virgil van Dijk,3669.0,,,,,,,1,From Kick Off,Victor Wanyama,3098.0,Left Center Midfield,2,Southampton,25,['09a7dcde-fbed-4cec-94f3-0d44d8775624'],2,,,,,,,,,,,,,,,,,,Southampton,25,00:00:02.650,Pass,
,,,,,,,,,,,,,,,,1.747699,,,,,,,,,,,,,,6b56335e-536b-4cc8-8f3f-1d711f93c65c,13,,"[56.8, 17.6]",3754282,0,,,,,-0.38699558,,Right Foot,,,"[83.3, 6.8]",,Ground Pass,,28.616255,,,Ryan Bertrand,20045.0,,,,,,,1,From Kick Off,Virgil van Dijk,3669.0,Left Center Back,2,Southampton,25,['6451acd0-ba1a-4b74-b7cb-ac7df370ea84'],9,,,,,,,,,,,,,,,,,,Southampton,25,00:00:09.731,Pass,
,,,,,,,,,,,,,,,,1.4036,,,,,,,,,,,,,,03b97e43-4e71-4eb0-9f6e-b00932b61d84,17,,"[73.4, 6.6]",3754282,0,,,,,3.0436924,,Left Foot,,,"[51.0, 8.8]",,Ground Pass,,22.507776,,,Virgil van Dijk,3669.0,,,,,,,1,From Kick Off,Ryan Bertrand,20045.0,Left Back,2,Southampton,25,"['5f2ab782-47eb-4885-bbe2-4558d5b04d6a', '7d5a0291-e025-4879-ad72-3b75ec31ab59']",13,,,,,,,,,,,,,,,,,,Southampton,25,00:00:13.112,Pass,True
