ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5317db39-1336-4202-a4f6-6244825912b9,1870,,"[64.6, 28.5]",3754227,57,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Shinji Okazaki,3810.0,Right Center Forward,103,West Ham United,40,['d32e367f-2ec3-4003-b8d6-d8aeae54b697'],37,,,,,,,,,,,,,,,,,,Leicester City,22,00:12:37.334,Ball Receipt*,
Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92693057-7db7-465f-8f32-bcc4a36f1a15,1874,,"[81.4, 53.7]",3754227,57,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Riyad Mahrez,3814.0,Right Midfield,103,West Ham United,40,['6ba17c23-ebc2-4f79-b2ba-b25e9c5c97d6'],42,,,,,,,,,,,,,,,,,,Leicester City,22,00:12:42.726,Ball Receipt*,
Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,edf23cb4-81a0-46c0-b630-bc0aab7fe596,1876,,"[44.9, 29.1]",3754227,57,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Cheikhou Kouyaté,3684.0,Right Center Midfield,103,West Ham United,40,['2a0af560-1ee7-450d-9d2d-924a58105861'],44,,,,,,,,,,,,,,,,,,West Ham United,40,00:12:44.600,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cceb9809-8899-4c91-8d08-449f9b9a85be,1878,,"[84.1, 60.3]",3754227,57,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Riyad Mahrez,3814.0,Right Midfield,103,West Ham United,40,['ef2f7a21-ca0c-4785-a3e2-d7325dfcca47'],45,,,,,,,,,,,,,,,,,,Leicester City,22,00:12:45.649,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20b536d2-8def-4bcb-ab88-35985d18fdfd,1882,,"[10.3, 31.2]",3754227,57,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Adrián San Miguel del Castillo,3623.0,Goalkeeper,103,West Ham United,40,['8051a80b-4872-434c-8e06-5acb1ef9c69c'],50,,,,,,,,,,,,,,,,,,West Ham United,40,00:12:50.133,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f3fb5392-8ad9-4597-ac85-4af743f272a1,1885,,"[21.7, 27.4]",3754227,57,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Angelo Obinze Ogbonna,3843.0,Left Center Back,103,West Ham United,40,['f8bdcec4-07c3-4799-82fd-c80a083508ff'],57,,,,,,,,,,,,,,,,,,West Ham United,40,00:12:57.059,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0551bd01-7b9a-4d6e-af76-d3ebb01a64d4,1889,,"[77.1, 37.8]",3754227,58,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Andy Carroll,4271.0,Center Defensive Midfield,103,West Ham United,40,['c8d7ea48-d190-49e4-b1d3-a41626d1add4'],3,,,,,,,,,,,,,,,,,,West Ham United,40,00:13:03.691,Ball Receipt*,
Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bbcd44d8-48ce-41ce-838e-5837df3854d1,1892,,"[89.9, 40.9]",3754227,58,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Victor Moses,3963.0,Right Wing,103,West Ham United,40,['454683cf-27bd-4191-a605-d2cdd971e6ac'],3,,,,,,,,,,,,,,,,,,West Ham United,40,00:13:03.724,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39aa7b7c-e479-4f0f-8fc9-9e07c8a657b6,1897,,"[51.3, 30.5]",3754227,58,,,,,,,,,,,,,,,,,,,,,,,2,From Counter,Jeffrey Schlupp,3520.0,Left Midfield,104,Leicester City,22,['d45a328f-2a44-4c6b-ac03-3fd1c5988906'],7,,,,,,,,,,,,,,,,,,Leicester City,22,00:13:07.111,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3b58e43d-0687-41ed-bdbe-7c451942b395,1904,,"[92.6, 55.5]",3754227,59,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,José Leonardo Ulloa,3671.0,Right Center Forward,105,Leicester City,22,['0b50b9f0-a403-449f-bc43-dcca7780be4f'],14,,,,,,,,,,,,,,,,,,Leicester City,22,00:14:14.476,Ball Receipt*,
Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a088599a-5499-435f-a737-b71b7d9de580,1906,,"[102.0, 57.2]",3754227,59,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Wes Morgan,3813.0,Right Center Back,105,Leicester City,22,['49fb251e-fc2e-417e-9a4e-62a2e892c6fb'],16,,,,,,,,,,,,,,,,,,Leicester City,22,00:14:16.014,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f4993238-0dd4-4f8d-be0b-f9db98fa9dea,1911,,"[66.5, 26.7]",3754227,59,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Christian Fuchs,3812.0,Left Back,105,Leicester City,22,['e3dc0bf6-3154-4855-bd49-1f465cbce5cd'],22,,,,,,,,,,,,,,,,,,Leicester City,22,00:14:22.634,Ball Receipt*,
Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8a358893-647d-4d1a-8210-a9b3d61c9b64,1915,,"[102.0, 45.8]",3754227,59,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,José Leonardo Ulloa,3671.0,Right Center Forward,105,Leicester City,22,['f92ec7d1-6a3e-4e92-af5e-fc461098efe9'],25,,,,,,,,,,,,,,,,,,Leicester City,22,00:14:25.991,Ball Receipt*,
Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13eae730-e0a2-4b1f-82de-207aa3a27421,1917,,"[38.5, 47.0]",3754227,59,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Victor Moses,3963.0,Right Wing,105,Leicester City,22,['0b490a47-4635-4108-af8c-8d22abf0ca3c'],28,,,,,,,,,,,,,,,,,,West Ham United,40,00:14:28.176,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aa9e405e-ced7-4c57-bc9e-ba68f46172a7,1919,,"[67.7, 42.3]",3754227,59,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Danny Drinkwater,3662.0,Right Defensive Midfield,105,Leicester City,22,['3af97c01-746d-4270-b7d6-0518702cacef'],31,,,,,,,,,,,,,,,,,,Leicester City,22,00:14:31.054,Ball Receipt*,
Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9688bd9c-0f3a-4a70-a74f-4f83c8b74126,1923,,"[82.8, 78.6]",3754227,59,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Riyad Mahrez,3814.0,Right Midfield,105,Leicester City,22,['546cf5ba-2608-4346-9124-7fcca509e377'],35,,,,,,,,,,,,,,,,,,Leicester City,22,00:14:35.657,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f1d9bcd9-b05f-4e83-a945-d3122d6dd6ac,1925,,"[38.3, 49.2]",3754227,59,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Winston Reid,4280.0,Right Center Back,106,West Ham United,40,['dd7c77cd-1a03-4e10-b03c-ad9c2676fdcd'],58,,,,,,,,,,,,,,,,,,West Ham United,40,00:14:58.148,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2dc43f88-8674-4bd5-9461-a7d910806da2,1927,,"[60.9, 10.0]",3754227,60,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Angelo Obinze Ogbonna,3843.0,Left Center Back,106,West Ham United,40,['7f600edf-8be6-46f9-a86f-9039f0b0d809'],2,,,,,,,,,,,,,,,,,,West Ham United,40,00:15:02.802,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eb10c3f1-f79c-471d-90b1-95cd4ebb91e3,1929,,"[66.0, 12.6]",3754227,60,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Cheikhou Kouyaté,3684.0,Right Center Midfield,106,West Ham United,40,['95f1e64a-c813-41ae-9005-4413c36f62b7'],4,,,,,,,,,,,,,,,,,,West Ham United,40,00:15:04.246,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a45b210b-3a6e-4f4f-a790-dfb94f24b9f6,1932,,"[61.7, 39.5]",3754227,60,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Winston Reid,4280.0,Right Center Back,106,West Ham United,40,['d2b8ba38-da1f-45a5-a0d1-ac9104ceaefd'],7,,,,,,,,,,,,,,,,,,West Ham United,40,00:15:07.682,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f94a3d2e-0d6d-41d9-ae28-45a6266e1936,1935,,"[64.2, 15.7]",3754227,60,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Angelo Obinze Ogbonna,3843.0,Left Center Back,106,West Ham United,40,['cc367c89-43a6-4d52-8bdc-c1d491d87b87'],11,,,,,,,,,,,,,,,,,,West Ham United,40,00:15:11.618,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3c2bbf9d-02e6-43fb-8948-833cfd048996,1938,,"[78.5, 3.3]",3754227,60,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Dimitri Payet,3491.0,Left Wing,106,West Ham United,40,['63cf89ad-7bd5-4890-92a7-904c145701a2'],13,,,,,,,,,,,,,,,,,,West Ham United,40,00:15:13.316,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4bf298f0-4ce5-465f-9585-598f44d4b78c,1941,,"[61.9, 37.0]",3754227,60,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Winston Reid,4280.0,Right Center Back,106,West Ham United,40,['5342e557-975e-43da-acf4-8b854604f542'],16,,,,,,,,,,,,,,,,,,West Ham United,40,00:15:16.842,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cd5a1091-e623-48d4-86e1-142cceed6ee6,1944,,"[87.0, 75.8]",3754227,60,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Michail Antonio,3349.0,Right Back,106,West Ham United,40,['bee86cb9-fe20-4957-9366-832d6e9a79e6'],20,,,,,,,,,,,,,,,,,,West Ham United,40,00:15:20.891,Ball Receipt*,
Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0128ff83-54ea-4a7f-8668-13e79460d0ee,1947,,"[110.0, 34.1]",3754227,60,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Emmanuel Emenike,128704.0,Center Forward,106,West Ham United,40,['901df44f-edf3-4af9-8fc0-68634ca9c0d3'],27,,,,,,,,,,,,,,,,,,West Ham United,40,00:15:27.749,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aca61344-84a0-408e-ba64-199caf74afe3,1949,,"[34.1, 78.1]",3754227,60,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,José Leonardo Ulloa,3671.0,Right Center Forward,107,Leicester City,22,['5364d22c-93f3-488c-bbd6-c1002c845d64'],52,,,,,,,,,,,,,,,,,,Leicester City,22,00:15:52.884,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2a4fed78-80f3-4f18-8ae4-5be76b68b7f3,1954,,"[87.0, 58.5]",3754227,60,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Michail Antonio,3349.0,Right Back,108,West Ham United,40,['02687a3b-4dd7-4b69-a748-54e93029ecb6'],59,,,,,,,,,,,,,,,,,,West Ham United,40,00:15:59.299,Ball Receipt*,
Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1a7abedd-dd2e-454a-a77e-8f16b8ad5daa,1958,,"[108.4, 52.3]",3754227,61,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Emmanuel Emenike,128704.0,Center Forward,108,West Ham United,40,['ee2b4ca0-c76f-4bf2-9a45-c1cdeea96c7d'],3,,,,,,,,,,,,,,,,,,West Ham United,40,00:16:03.069,Ball Receipt*,
Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9062e232-f23f-45d7-b931-9b6f775b0fe9,1962,,"[110.0, 42.6]",3754227,61,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,Emmanuel Emenike,128704.0,Center Forward,109,West Ham United,40,['a45a1149-a555-4d2d-8040-81dad3c5b393'],36,,,,,,,,,,,,,,,,,,West Ham United,40,00:16:36.971,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ddc20225-e95d-498f-93da-413ca220e831,1967,,"[107.3, 76.0]",3754227,61,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,Dimitri Payet,3491.0,Left Wing,109,West Ham United,40,['7949985b-90f9-497b-bc09-6bf439908f6c'],41,,,,,,,,,,,,,,,,,,West Ham United,40,00:16:41.379,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4a15512d-2df8-4182-8072-d0e6ce699260,1970,,"[113.2, 44.7]",3754227,61,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,Winston Reid,4280.0,Right Center Back,109,West Ham United,40,['c039842d-ec15-402d-ac32-1d2005e61668'],44,,,,,,,,,,,,,,,,,,West Ham United,40,00:16:44.039,Ball Receipt*,
Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ac7c5184-7258-4501-abc8-a241dbc7d71f,1975,,"[80.6, 69.4]",3754227,62,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,José Leonardo Ulloa,3671.0,Right Center Forward,110,Leicester City,22,['467e49e3-1185-42c3-a214-670c3c6bb14a'],38,,,,,,,,,,,,,,,,,,Leicester City,22,00:17:38.649,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4ff74ea8-3a12-4cdd-82b8-bb21453db7ba,1979,,"[54.2, 1.3]",3754227,62,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Dimitri Payet,3491.0,Left Wing,110,Leicester City,22,"['396745f5-1be9-4f6c-9268-db327c063310', 'd2b9a2af-53ad-4a16-bd3d-37af644897f0']",40,,,,,,,,,,,,,,,,,,West Ham United,40,00:17:40.192,Ball Receipt*,True
