50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,eb341fc7-db23-4b37-bb5a-018f3b76ea61,1,,,,3753976,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal,1,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3461, 'name': 'Petr Čech'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 33}, {'player': {'id': 3511, 'name': 'Héctor Bellerín Moruno'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 24}, {'player': {'id': 3475, 'name': 'Per Mertesacker'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 6746, 'name': 'Gabriel Armando de Abreu'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 3498, 'name': 'Ignacio Monreal Eraso'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 3517, 'name': 'Aaron Ramsey'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 3437, 'name': 'Francis Joseph Coquelin'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 34}, {'player': {'id': 5581, 'name': 'Joel Nathaniel Campbell Samuels'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 28}, {'player': {'id': 3496, 'name': 'Mesut Özil'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 11}, {'player': {'id': 3385, 'name': 'Alexis Alejandro Sánchez Sánchez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 3604, 'name': 'Olivier Giroud'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 12}]}",Arsenal,1,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,530a1de3-2650-4bdd-898a-7654819f71d2,2,,,,3753976,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal,1,,0,,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 3262, 'name': 'Łukasz Fabiański'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3340, 'name': 'Kyle Naughton'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 26}, {'player': {'id': 6652, 'name': 'Jordi Amat Maas'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 3644, 'name': 'Ashley Williams'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 9629, 'name': 'Stephen Kingsley'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 35}, {'player': {'id': 3462, 'name': 'Jack Frank Porteous Cork'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 4045, 'name': 'Leroy Fer'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 3605, 'name': 'Sung-Yeung Ki'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 3347, 'name': 'André Ayew Pelé'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 3449, 'name': 'Wayne Routledge'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 15}, {'player': {'id': 20521, 'name': 'Bafétimbi Gomis'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 18}]}",Swansea City,26,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0e5539fe-86b2-4f9c-8c82-8ef6e6ffe1b2,3,,,,3753976,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal,1,['e1d1a28d-b974-4ceb-a1ea-3ae74f2dcec2'],0,,,,,,,,,,,,,,,,,,Swansea City,26,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,e1d1a28d-b974-4ceb-a1ea-3ae74f2dcec2,4,,,,3753976,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal,1,['0e5539fe-86b2-4f9c-8c82-8ef6e6ffe1b2'],0,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,c795d9bc-cd3f-4b16-85c9-aaa1864a80b8,2035,,,,3753976,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,84,Swansea City,26,['16dda3d1-e9ff-4dfc-adaa-ed74d4b5e341'],0,,,,,,,,,,,,,,,,,,Swansea City,26,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,16dda3d1-e9ff-4dfc-adaa-ed74d4b5e341,2036,,,,3753976,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,84,Swansea City,26,['c795d9bc-cd3f-4b16-85c9-aaa1864a80b8'],0,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.359007,,,,,,,,,,,,,,25092cc5-7d11-426d-9738-ce4ccb17ee8c,5,,,"[60.0, 40.0]",3753976,0,,,,,2.1421337,,Left Foot,,,,"[58.2, 42.8]",,Ground Pass,,3.3286633,,,,,Mesut Özil,3496.0,,,,,,Kick Off,1,From Kick Off,Olivier Giroud,3604.0,Center Forward,2,Arsenal,1,['44d035ed-40a2-4174-a5b0-beeb48df089e'],0,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:00.511,Pass,
,,,,,,,,,,,,,,,,,1.074345,,,,,,,,,,,,,,978a9c55-6544-41e4-8dd8-bc82905e95f2,8,,,"[62.2, 44.7]",3753976,0,,,,,-3.012183,,Right Foot,,,,"[47.6, 42.8]",,Ground Pass,,14.723111,,,,,Aaron Ramsey,3517.0,,,,,,,1,From Kick Off,Mesut Özil,3496.0,Center Attacking Midfield,2,Arsenal,1,['7f5c1d67-cb72-4083-8866-fa784d260227'],1,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:01.018,Pass,
,,,,,,,,,,,,,,,,,1.408709,,,,,,,,,,,,,,f0dc22e1-28d0-4b6f-8bb3-0ce4fc73173e,11,,,"[47.9, 40.5]",3753976,0,,,,,-2.284887,,Right Foot,,,,"[34.9, 25.5]",,Ground Pass,,19.849434,,,,,Gabriel Armando de Abreu,6746.0,,,,,,,1,From Kick Off,Aaron Ramsey,3517.0,Right Defensive Midfield,2,Arsenal,1,['d404e6dd-97ec-4daf-a031-26004382ce08'],2,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:02.527,Pass,
,,,,,,,,,,,,,,,,,1.472694,,,,,,,,,,,,,,d4c5a30a-3122-46fa-9ad3-c542cd3c3556,14,,,"[37.6, 31.6]",3753976,0,,,,,1.9682144,,Right Foot,,,,"[27.4, 55.9]",,Ground Pass,,26.353937,,,,,Per Mertesacker,3475.0,,,,,,,1,From Kick Off,Gabriel Armando de Abreu,6746.0,Left Center Back,2,Arsenal,1,['1bf3afd8-59ec-4a2e-bdc0-864469737a47'],5,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:05.475,Pass,
