ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,"[85.8, 15.5]",,,,,,,,,,,,,0.857071,,,,,,,,,,,,2c2beed8-20e3-4a90-8da8-7a405349af8c,2203,,"[85.4, 16.8]",3754152,62,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Marc Albrighton,3307.0,Left Midfield,136,Leicester City,22,"['3e8c7186-10a2-4572-b0c0-920a556a8ff9', 'c550bdb8-6806-4a48-a12d-799c63f2501e']",16,,,,,,,,,,,,,,,,,,,,Leicester City,22,00:17:16.473,Carry,
,,,,,"[12.0, 38.5]",,,,,,,,,,,,,15.125991,,,,,,,,,,,,f52309e2-6bf8-4141-9238-9133d84e3380,2207,,"[1.8, 24.8]",3754152,62,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Vito Mannone,9539.0,Goalkeeper,136,Leicester City,22,"['0451c467-7885-418a-97e1-6d32e5576c30', '3aee99db-4e28-4a48-9a48-c1e77435f406']",20,,,,,,,,,,,,,,,,,,,,Sunderland,41,00:17:20.570,Carry,
,,,,,"[49.0, 3.4]",,,,,,,,,,,,,0.506836,,,,,,,,,,,,9da87dd3-6479-4965-8b3a-38c76c2abece,2213,,"[53.7, 4.6]",3754152,62,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Marc Albrighton,3307.0,Left Midfield,136,Leicester City,22,"['341fbc74-1f46-4e8c-b1fb-4aefb23cdff4', '6241763d-ef97-4b0e-bc5e-4829414de110', '6fd7fa9b-8c72-4a5b-abc5-02a3e3b53a68']",41,,,,,,,,,,,,,,,,,,,,Leicester City,22,00:17:41.008,Carry,True
,,,,,"[34.1, 7.2]",,,,,,,,,,,,,0.131893,,,,,,,,,,,,e7677c01-880a-4494-8e0e-79cc5a4528a0,2217,,"[34.3, 8.7]",3754152,62,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Christian Fuchs,3812.0,Left Back,136,Leicester City,22,"['079f66ce-8531-4463-bb0f-00db9e6d904b', 'a5804b97-219f-4608-9bc4-92903a40d4c3', 'efed72a2-21ba-4f49-ad71-82ace3f5ddd1']",43,,,,,,,,,,,,,,,,,,,,Leicester City,22,00:17:43.107,Carry,True
,,,,,"[34.9, 1.0]",,,,,,,,,,,,,0.128969,,,,,,,,,,,,b0f4007b-6930-41fe-bee9-be0efe3239d2,2225,,"[33.6, 4.4]",3754152,62,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Christian Fuchs,3812.0,Left Back,137,Leicester City,22,"['0cf0ca70-dc62-43af-b71f-ef496f31935e', '16fc7d53-ff39-42ce-aa4f-074dd115dfc1', '3522868b-b4ff-480c-b697-4bb7b0cd63eb']",51,,,,,,,,,,,,,,,,,,,,Leicester City,22,00:17:51.249,Carry,True
,,,,,"[72.8, 78.5]",,,,,,,,,,,,,0.915322,,,,,,,,,,,,fe4e9928-e187-4f22-94bd-e84fbb3ab8eb,2229,,"[72.1, 79.5]",3754152,62,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Fabio Borini,7171.0,Right Midfield,138,Sunderland,41,"['0a251a38-fb1d-446c-8147-b715a450b01c', 'acb4fc41-60a5-4d63-93a0-a8978a00a092']",53,,,,,,,,,,,,,,,,,,,,Sunderland,41,00:17:53.465,Carry,
,,,,,"[85.4, 69.9]",,,,,,,,,,,,,0.114133,,,,,,,,,,,,3f395c47-30cb-456a-aa8f-38ce1430c832,2232,,"[85.4, 69.9]",3754152,62,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Lee Cattermole,10783.0,Left Center Midfield,138,Sunderland,41,"['8e5104d5-8477-4249-8e8e-158bba3134cf', 'd7f17c07-401a-4b38-9383-c7a01d4815d2']",55,,,,,,,,,,,,,,,,,,,,Sunderland,41,00:17:55.633,Carry,
,,,,,"[81.8, 75.9]",,,,,,,,,,,,,0.033846002,,,,,,,,,,,,7759a831-267d-46fc-9265-3b868b35cf0d,2235,,"[81.8, 75.9]",3754152,62,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Yann Gérard M''Vila,4429.0,Right Center Midfield,138,Sunderland,41,"['77a526f7-97bb-4e82-94de-6023fbf02fb7', 'c00038fd-2545-43b1-9ceb-6ab2b70f1fd0']",56,,,,,,,,,,,,,,,,,,,,Sunderland,41,00:17:56.690,Carry,
,,,,,"[102.9, 23.3]",,,,,,,,,,,,,1.845855,,,,,,,,,,,,93c15fa2-35d3-45ec-8d02-fba2f385ca7f,2238,,"[96.1, 23.7]",3754152,62,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Wahbi Khazri,3196.0,Left Midfield,138,Sunderland,41,"['01ac9a79-e5f8-434f-a1a5-1c7dbf4ce43d', 'd59bdff0-6793-4235-836d-2961f5c496f4', 'e8dc2438-1fd2-48d4-905f-5d485d8b68e9']",59,,,,,,,,,,,,,,,,,,,,Sunderland,41,00:17:59.672,Carry,True
,,,,,"[82.2, 46.8]",,,,,,,,,,,,,0.394873,,,,,,,,,,,,560ed2e3-d89b-4274-b7fe-1000ddec538e,2245,,"[82.6, 48.1]",3754152,63,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,José Leonardo Ulloa,3671.0,Right Center Forward,139,Leicester City,22,"['171cadb2-ea12-4d17-b503-6eef34dac422', '207280eb-10b2-4a1d-9b99-0cb3a0f22257', 'cabd8ec2-b285-404e-a1ce-f91f93b4b1ab']",36,,,,,,,,,,,,,,,,,,,,Leicester City,22,00:18:36.978,Carry,True
