50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,1ddf89d2-e01b-4d5f-a66b-bcda94ed0ee5,1,,,3754308,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Watford,23,,0,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 3522, 'name': 'Heurelho da Silva Gomes'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3263, 'name': 'Craig Cathcart'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 3309, 'name': 'Sebastian Prödl'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 3288, 'name': 'Miguel Ángel Britos Cabrera'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 3306, 'name': 'Nathan Aké'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 16}, {'player': {'id': 4828, 'name': 'Adlène Guédioura'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 3626, 'name': 'Ben Watson'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 43081, 'name': 'Almen Abdi'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 22}, {'player': {'id': 6870, 'name': 'José Manuel Jurado Marín'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 5458, 'name': 'Odion Jude Ighalo'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 24}, {'player': {'id': 3454, 'name': 'Troy Deeney'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Watford,23,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,91504539-780e-47d6-abfe-66561466bf62,2,,,3754308,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Watford,23,,0,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 3468, 'name': 'Jordan Pickford'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 3658, 'name': 'DeAndre Yedlin'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 24}, {'player': {'id': 13286, 'name': 'Lamine Koné'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 16890, 'name': ""John O''Shea""}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 16}, {'player': {'id': 45389, 'name': 'Thomas Robson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 34}, {'player': {'id': 5617, 'name': 'Sebastian Larsson'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 22281, 'name': 'Duncan Watmore'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 41}, {'player': {'id': 16457, 'name': 'Jeremain Lens'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 18751, 'name': 'Jack Rodwell'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 129559, 'name': 'Rees Greenwood'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 37}, {'player': {'id': 16295, 'name': ""Dame N''Doye""}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Sunderland,41,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,7f155dbf-9d8b-4c1c-8290-470d7b6ee800,3,,,3754308,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Watford,23,['ddc49ad3-cd39-4f8c-982b-01ad20425fcf'],0,,,,,,,,,,,,,,,,Sunderland,41,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,ddc49ad3-cd39-4f8c-982b-01ad20425fcf,4,,,3754308,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Watford,23,['7f155dbf-9d8b-4c1c-8290-470d7b6ee800'],0,,,,,,,,,,,,,,,,Watford,23,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,a7290c47-d274-4b61-94f0-fdabdcd3d637,1715,,,3754308,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,92,Watford,23,['212bee9a-5ef8-4910-83cb-6c34c4320063'],0,,,,,,,,,,,,,,,,Watford,23,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,212bee9a-5ef8-4910-83cb-6c34c4320063,1716,,,3754308,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,92,Watford,23,['a7290c47-d274-4b61-94f0-fdabdcd3d637'],0,,,,,,,,,,,,,,,,Sunderland,41,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.430526,,,,,,,,,,,,,,,6f22f0d3-9fae-4d66-b33e-57e46bdd4528,5,,"[61.0, 40.1]",3754308,0,,,,,1.3825748,,Right Foot,,,"[61.4, 42.2]",,Ground Pass,,2.1377559,,,Almen Abdi,43081.0,,,,,,Kick Off,1,From Kick Off,Odion Jude Ighalo,5458.0,Right Center Forward,2,Watford,23,['fb3dc005-33c7-4472-8162-305250fdff38'],0,,,,,,,,,,,,,,,,Watford,23,00:00:00.894,Pass,
,,,,,,,,,,,,,,,,,1.51842,,,,,,,,,,,,,,,80be75dd-8417-4fc8-a13b-08329b928400,7,,"[60.6, 43.6]",3754308,0,,,,,-2.7664857,,Right Foot,,,"[44.6, 37.3]",,Ground Pass,,17.195639,,,Ben Watson,3626.0,,,,,,,1,From Kick Off,Almen Abdi,43081.0,Right Midfield,2,Watford,23,['172e41c1-2753-4f81-98db-c5a2bed7bddb'],1,,,,,,,,,,,,,,,,Watford,23,00:00:01.325,Pass,
,,,,,,,,,,,,,,,,,2.874912,,,,,,,,,,,,,,,766f64f5-aacd-47ce-9f0a-28a4deca905b,10,,"[44.4, 37.8]",3754308,0,,,,,-0.6356596,,Right Foot,,,"[87.5, 6.0]",,High Pass,,53.561646,Incomplete,,Troy Deeney,3454.0,,,,,,,1,From Kick Off,Ben Watson,3626.0,Left Defensive Midfield,2,Watford,23,"['22e14f3d-9250-4afc-b3ec-527741a701a6', 'aefc74ea-3309-43a7-a012-c3b556305d79']",4,,,,,,,,,,,,,,,,Watford,23,00:00:04.129,Pass,
,,,,,,,,,,,,,,,,,0.761622,,,,,,,,,,,,,,,6f8b757e-2e6b-432d-a90c-08fb9d401862,13,,"[81.1, 0.1]",3754308,0,,,,,1.6120101,,,,,"[80.7, 9.8]",,Low Pass,,9.708244,,,José Manuel Jurado Marín,6870.0,,,,,,Throw-in,1,From Throw In,Nathan Aké,3306.0,Left Back,3,Watford,23,['772911b6-9e69-40ba-ac07-44452ce7fc96'],23,,,,,,,,,,,,,,,,Watford,23,00:00:23.674,Pass,
