ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,eeae5e9a-85a0-4213-b3b7-515c71b7551f,1,,,3754272,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Stoke City,30,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 41185, 'name': 'Jakob Haugaard'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 29}, {'player': {'id': 3643, 'name': 'Phil Bardsley'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 3480, 'name': 'Geoff Cameron'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 20}, {'player': {'id': 40121, 'name': 'Philipp Wollscheid'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 26}, {'player': {'id': 3467, 'name': 'Erik Pieters'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 9625, 'name': 'Glenn Whelan'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 4346, 'name': 'Gilbert Gianelli Imbula Wanga'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 4891, 'name': 'Ibrahim Afellay'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 14}, {'player': {'id': 4913, 'name': 'Bojan Krkíc Pérez'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 27}, {'player': {'id': 3325, 'name': 'Marko Arnautović'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 3265, 'name': 'José Luis Sanmartín Mato'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Stoke City,30,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,3c30deea-609b-491d-8cf8-34c66114551a,2,,,3754272,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Stoke City,30,,0,,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 3262, 'name': 'Łukasz Fabiański'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3973, 'name': 'Àngel Rangel Zaragoza'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 3290, 'name': 'Federico Fernández'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 33}, {'player': {'id': 3644, 'name': 'Ashley Williams'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 3340, 'name': 'Kyle Naughton'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 26}, {'player': {'id': 4631, 'name': 'Leon Britton'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 3462, 'name': 'Jack Frank Porteous Cork'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 24}, {'player': {'id': 4045, 'name': 'Leroy Fer'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 3944, 'name': 'Gylfi Þór Sigurðsson'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 23}, {'player': {'id': 20521, 'name': 'Bafétimbi Gomis'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 18}, {'player': {'id': 3449, 'name': 'Wayne Routledge'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 15}]}",Swansea City,26,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,68f443ab-0151-40d8-9a97-8cb072f7d381,3,,,3754272,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Stoke City,30,['d653dd18-e9b5-4fb2-9970-a155db877189'],0,,,,,,,,,,,,,,,,,,Stoke City,30,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,d653dd18-e9b5-4fb2-9970-a155db877189,4,,,3754272,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Stoke City,30,['68f443ab-0151-40d8-9a97-8cb072f7d381'],0,,,,,,,,,,,,,,,,,,Swansea City,26,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,67cc6817-33c0-492c-8632-03004cf85444,1804,,,3754272,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,93,Stoke City,30,['ce79ab26-bfe2-4ea3-be70-1ee12aec23d5'],0,,,,,,,,,,,,,,,,,,Swansea City,26,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,ce79ab26-bfe2-4ea3-be70-1ee12aec23d5,1805,,,3754272,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,93,Stoke City,30,['67cc6817-33c0-492c-8632-03004cf85444'],0,,,,,,,,,,,,,,,,,,Stoke City,30,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.643313,,,,,,,,,,,ccdcef6a-0bb0-4914-b84a-0905f2302c38,5,,"[60.0, 40.0]",3754272,0,,,,,1.8417432,,Right Foot,,"[59.5, 41.8]",,Ground Pass,,1.8681542,,,,Glenn Whelan,9625.0,,,,,Kick Off,1,From Kick Off,Bojan Krkíc Pérez,4913.0,Center Attacking Midfield,2,Stoke City,30,['4eaba707-0c07-4981-b159-539501a7b65e'],0,,,,,,,,,,,,,,,,,,Stoke City,30,00:00:00.547,Pass,
,,,,,,,,,,,,,,,,,0.944757,,,,,,,,,,,a9c5f724-e3e6-4b02-9fb2-93a65fce8ff7,8,,"[59.5, 42.0]",3754272,0,,,,,-2.6750295,,Right Foot,,"[45.8, 35.1]",,Ground Pass,,15.339492,,,,Gilbert Gianelli Imbula Wanga,4346.0,,,,,,1,From Kick Off,Glenn Whelan,9625.0,Right Defensive Midfield,2,Stoke City,30,['5fa56134-c9b9-4093-926d-6f49446855d6'],2,,,,,,,,,,,,,,,,,,Stoke City,30,00:00:02.051,Pass,
,,,,,,,,,,,,,,,,,0.323847,,,,,,,,,,,9f217b53-0380-4289-affa-86c0d4650f3c,12,,"[62.6, 53.2]",3754272,0,,,,,0.9078592,,Left Foot,,"[68.3, 60.5]",,Ground Pass,,9.261749,,Incomplete,,Ibrahim Afellay,4891.0,,,,,,1,From Kick Off,Gilbert Gianelli Imbula Wanga,4346.0,Left Defensive Midfield,2,Stoke City,30,"['81109eae-8dbd-4041-884b-de0a0f6f03f3', 'f4989bbe-df7c-4009-94de-d27e09612283']",7,,,,,,,,,,,,,,,,,,Stoke City,30,00:00:07.429,Pass,
,,,,,,,,,,,,,,,,,4.492513,,,,,,,,,,,9f7b66b9-26ec-48db-901c-8394129bcd26,16,,"[54.1, 67.2]",3754272,0,,,,,-0.23906657,,Right Foot,,"[109.9, 53.6]",,High Pass,,57.43344,,Incomplete,,,,,,,,Recovery,1,From Kick Off,Phil Bardsley,3643.0,Right Back,2,Stoke City,30,"['2212792a-00df-487e-964b-194745ed3d65', '3e420bc2-e355-47b4-be27-e29975715ae4']",9,,,,,,,,,,,,,,,,,,Stoke City,30,00:00:09.429,Pass,True
