50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,7cef8f5f-11e9-4cdc-8501-f9dc64ecad1c,1,,,3754332,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tottenham Hotspur,38,,0,,,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3099, 'name': 'Hugo Lloris'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3205, 'name': 'Kyle Walker'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 20005, 'name': 'Toby Alderweireld'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 3077, 'name': 'Jan Vertonghen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 3594, 'name': 'Danny Rose'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 10956, 'name': 'Eric Dier'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 3037, 'name': 'Mousa Sidi Yaya Dembélé'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 19}, {'player': {'id': 3585, 'name': 'Erik Lamela'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 3094, 'name': 'Bamidele Alli'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 20}, {'player': {'id': 3043, 'name': 'Christian Dannemann Eriksen'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 23}, {'player': {'id': 10955, 'name': 'Harry Kane'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Tottenham Hotspur,38,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2343421f-306e-423b-8a5d-ca05dda59d54,2,,,3754332,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tottenham Hotspur,38,,0,,,,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 5108, 'name': 'Glyn Oliver Myhill'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 3523, 'name': 'Craig Dawson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 25}, {'player': {'id': 3596, 'name': 'Gareth McAuley'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 20527, 'name': 'Jonas Olsson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 11012, 'name': 'Jonathan Grant Evans'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 6}, {'player': {'id': 3967, 'name': 'Claudio Ariel Yacob'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 2966, 'name': 'Stéphane Sessègnon'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 29}, {'player': {'id': 4022, 'name': 'Darren Fletcher'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 24}, {'player': {'id': 9485, 'name': 'Craig Gardner'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 3514, 'name': 'James McClean'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 14}, {'player': {'id': 4041, 'name': 'José Salomón Rondón Giménez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 33}]}",West Bromwich Albion,27,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,36f80932-1fd6-49ee-beda-e48da141baab,3,,,3754332,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tottenham Hotspur,38,['42769463-3a65-4b0d-9ca8-98307c2fc4fb'],0,,,,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,42769463-3a65-4b0d-9ca8-98307c2fc4fb,4,,,3754332,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tottenham Hotspur,38,['36f80932-1fd6-49ee-beda-e48da141baab'],0,,,,,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,858e0184-8667-4484-9ebf-37e6cb46d021,1638,,,3754332,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,73,West Bromwich Albion,27,['94d255ef-bd89-444c-98b2-7d41ab68f90b'],0,,,,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,94d255ef-bd89-444c-98b2-7d41ab68f90b,1639,,,3754332,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,73,West Bromwich Albion,27,['858e0184-8667-4484-9ebf-37e6cb46d021'],0,,,,,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.286272,,,,,,,,,,,,40d95ce6-59ef-48b6-8389-e8b085f0a782,5,,"[60.0, 40.0]",3754332,0,,,,,1.4501727,,Left Foot,,,"[60.4, 43.3]",,Ground Pass,,3.3241541,,,,Craig Gardner,9485.0,,,,,,Kick Off,1,From Kick Off,James McClean,3514.0,Left Midfield,2,West Bromwich Albion,27,['3f39ff30-256b-4239-9094-1743c1001ab8'],0,,,,,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:00:00.199,Pass,
,,,,,,,,,,,,,,,,,1.896291,,,,,,,,,,,,637ccc96-182c-4da7-bb06-a6d85d109bfe,8,,"[59.5, 43.1]",3754332,0,,,,,-3.050933,,Right Foot,,,"[24.3, 39.9]",,Ground Pass,,35.345154,,,,Gareth McAuley,3596.0,,,,,,,1,From Kick Off,Craig Gardner,9485.0,Left Center Midfield,2,West Bromwich Albion,27,['f1629b91-b6b2-42c7-ada0-72ee23e4c4bc'],0,,,,,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:00:00.565,Pass,
,,,,,,,,,,,,,,,,,4.976873,,,,,,,,,,,,bdfc70ab-22f5-41c6-8db6-7c10a619406f,11,,"[23.1, 43.7]",3754332,0,,,,,0.45926648,,Right Foot,,,"[96.3, 79.9]",,High Pass,,81.66199,,Out,,José Salomón Rondón Giménez,4041.0,,,,,,,1,From Kick Off,Gareth McAuley,3596.0,Right Center Back,2,West Bromwich Albion,27,['d2d04be2-dea2-4dfd-99c3-a57b5a234eba'],4,,,,,,,,,,,,,,,,,,,,West Bromwich Albion,27,00:00:04.599,Pass,
,,,,,,,,,,,,,,,,,2.740546,,,,,,,,,,,,ee9faf3b-1091-4916-8644-a777059ef7de,13,,"[20.9, 0.1]",3754332,0,,,,,2.1004434,,,,,"[2.4, 31.7]",,Low Pass,,36.617073,,,,Hugo Lloris,3099.0,,,,,,Throw-in,1,From Throw In,Danny Rose,3594.0,Left Back,3,Tottenham Hotspur,38,['dea93f54-0d3e-42f8-b1de-8c5e3e5a37e9'],18,,,,,,,,,,,,,,,,,,,,Tottenham Hotspur,38,00:00:18.188,Pass,
