50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,7d5df79b-8ed4-483e-9786-920337a6495c,1,,,3754337,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Southampton,25,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 20201, 'name': 'Maarten Stekelenburg'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 3329, 'name': 'Cédric Ricardo Alves Soares'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 3960, 'name': 'José Miguel da Rocha Fonte'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 3300, 'name': 'Maya Yoshida'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 3651, 'name': 'Matt Targett'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 33}, {'player': {'id': 3272, 'name': 'Oriol Romeu Vidal'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 3328, 'name': 'James Ward-Prowse'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 3629, 'name': 'Sadio Mané'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 3828, 'name': 'Steven Davis'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 3831, 'name': 'Dušan Tadić'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 11062, 'name': 'Graziano Pellè'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Southampton,25,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,a2b811b5-501a-49aa-b1d3-2370d92a3d8b,2,,,3754337,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Southampton,25,,0,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 23635, 'name': 'John Ruddy'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 11124, 'name': 'Steven Whittaker'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 21212, 'name': 'Russell Martin'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 31296, 'name': 'Sébastien Aymar Bassong Nguena'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 10967, 'name': 'Robert Brady'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 3286, 'name': 'Nathan Redmond'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 22}, {'player': {'id': 16334, 'name': 'Graham Dorrans'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 9463, 'name': 'Alexander Banor Tettey'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 27}, {'player': {'id': 9578, 'name': 'Jonathan Howson'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 8}, {'player': {'id': 10966, 'name': 'Wes Hoolahan'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 14}, {'player': {'id': 4807, 'name': 'Cameron Jerome'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Norwich City,56,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,f4a5bcb7-f38b-4bae-bd19-0126fb43a9ee,3,,,3754337,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Southampton,25,['18e9ae4b-d35e-46f4-adcc-ad3a8d3ca8a6'],0,,,,,,,,,,,,,,,,,Norwich City,56,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,18e9ae4b-d35e-46f4-adcc-ad3a8d3ca8a6,4,,,3754337,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Southampton,25,['f4a5bcb7-f38b-4bae-bd19-0126fb43a9ee'],0,,,,,,,,,,,,,,,,,Southampton,25,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,71a44275-6be3-474c-bcf0-8624bf5dc8a4,1755,,,3754337,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,98,Norwich City,56,['2e431590-f7bc-4f3f-82be-0a2ea50f397e'],0,,,,,,,,,,,,,,,,,Southampton,25,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,2e431590-f7bc-4f3f-82be-0a2ea50f397e,1756,,,3754337,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,98,Norwich City,56,['71a44275-6be3-474c-bcf0-8624bf5dc8a4'],0,,,,,,,,,,,,,,,,,Norwich City,56,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.068129,,,,,,,,,,,33749513-4a95-43f7-acc1-71ecd3054075,5,,"[61.0, 40.1]",3754337,0,,,,1.7126933,,Right Foot,,"[60.6, 42.9]",,Ground Pass,,2.828427,,,,Graziano Pellè,11062.0,,,,,Kick Off,1,From Kick Off,Steven Davis,3828.0,Center Attacking Midfield,2,Southampton,25,['2172af28-69ad-4719-9c53-f14a97706017'],0,,,,,,,,,,,,,,,,,Southampton,25,00:00:00.943,Pass,
,,,,,,,,,,,,,,,,,,1.274421,,,,,,,,,,,30d42567-bf04-4b49-9fd9-b8d62945a96d,8,,"[57.8, 42.5]",3754337,0,,,,-2.6387494,,Right Foot,,"[45.8, 35.9]",,Ground Pass,,13.695254,,,,Oriol Romeu Vidal,3272.0,,,,,,1,From Kick Off,Graziano Pellè,11062.0,Center Forward,2,Southampton,25,['fe7256e7-f348-4e9a-afef-d4ac74ca0e5b'],1,,,,,,,,,,,,,,,,,Southampton,25,00:00:01.131,Pass,
,,,,,,,,,,,,,,,,,,1.804582,,,,,,,,,,,239042fb-37d4-4113-af73-64199785dbd1,11,,"[46.9, 36.1]",3754337,0,,,,-2.5256076,,Right Foot,,"[29.1, 23.5]",,Ground Pass,,21.808256,,,,Maya Yoshida,3300.0,,,,,,1,From Kick Off,Oriol Romeu Vidal,3272.0,Right Center Midfield,2,Southampton,25,['8ae7bbc8-ae40-4ba8-a962-2f7fe7e32150'],2,,,,,,,,,,,,,,,,,Southampton,25,00:00:02.805,Pass,
,,,,,,,,,,,,,,,,,,3.681878,,,,,,,,,,,9f786f24-6768-4d7a-8992-164f4b52772a,14,,"[29.1, 17.7]",3754337,0,,,,0.359636,,Left Foot,,"[92.4, 41.5]",,High Pass,,67.6264,,Unknown,,,,,,,,,1,From Kick Off,Maya Yoshida,3300.0,Left Center Back,2,Southampton,25,,6,,,,,,,,,,,,,,,,,Southampton,25,00:00:06.400,Pass,
